Municipios;Sexo;Periodo;Total
01 Araba/Álava;Total;2023;336.686
01051 Agurain/Salvatierra;Total;2023;5.085
01001 Alegría-Dulantzi;Total;2023;2.975
01002 Amurrio;Total;2023;10.313
01049 Añana;Total;2023;156
01003 Aramaio;Total;2023;1.409
01006 Armiñón;Total;2023;232
01037 Arraia-Maeztu;Total;2023;812
01008 Arratzua-Ubarrundia;Total;2023;1.043
01004 Artziniega;Total;2023;1.832
01009 Asparrena;Total;2023;1.609
01010 Ayala/Aiara;Total;2023;2.918
01011 Baños de Ebro/Mañueta;Total;2023;295
01013 Barrundia;Total;2023;897
01014 Berantevilla;Total;2023;451
01016 Bernedo;Total;2023;540
01017 Campezo/Kanpezu;Total;2023;1.072
01021 Elburgo/Burgelu;Total;2023;638
01022 Elciego;Total;2023;964
01023 Elvillar/Bilar;Total;2023;313
01047 Erriberabeitia;Total;2023;1.423
01046 Erriberagoitia/Ribera Alta;Total;2023;828
01056 Harana/Valle de Arana;Total;2023;219
01901 Iruña Oka/Iruña de Oca;Total;2023;3.597
01027 Iruraiz-Gauna;Total;2023;541
01019 Kripan;Total;2023;174
01020 Kuartango;Total;2023;401
01028 Labastida/Bastida;Total;2023;1.566
01030 Lagrán;Total;2023;172
01031 Laguardia;Total;2023;1.472
01032 Lanciego/Lantziego;Total;2023;708
01902 Lantarón;Total;2023;938
01033 Lapuebla de Labarca;Total;2023;865
01036 Laudio/Llodio;Total;2023;17.917
01058 Legutio;Total;2023;2.048
01034 Leza;Total;2023;220
01039 Moreda de Álava/Moreda Araba;Total;2023;208
01041 Navaridas;Total;2023;197
01042 Okondo;Total;2023;1.198
01043 Oyón-Oion;Total;2023;3.405
01044 Peñacerrada-Urizaharra;Total;2023;302
01052 Samaniego;Total;2023;305
01053 San Millán/Donemiliaga;Total;2023;726
01054 Urkabustaiz;Total;2023;1.434
01055 Valdegovía/Gaubea;Total;2023;1.066
01057 Villabuena de Álava/Eskuernaga;Total;2023;285
01059 Vitoria-Gasteiz;Total;2023;255.886
01060 Yécora/Iekora;Total;2023;249
01061 Zalduondo;Total;2023;196
01062 Zambrana;Total;2023;422
01018 Zigoitia;Total;2023;1.821
01063 Zuia;Total;2023;2.343
