Municipios;Sexo;Periodo;Total
02 Albacete;Total;2022;385.727
02001 Abengibre;Total;2022;739
02002 Alatoz;Total;2022;496
02003 Albacete;Total;2022;172.357
02004 Albatana;Total;2022;670
02005 Alborea;Total;2022;663
02006 Alcadozo;Total;2022;634
02007 Alcalá del Júcar;Total;2022;1.148
02008 Alcaraz;Total;2022;1.307
02009 Almansa;Total;2022;24.224
02010 Alpera;Total;2022;2.245
02011 Ayna;Total;2022;582
02012 Balazote;Total;2022;2.388
02014 Ballestero, El;Total;2022;427
02013 Balsa de Ves;Total;2022;126
02015 Barrax;Total;2022;1.831
02016 Bienservida;Total;2022;574
02017 Bogarra;Total;2022;756
02018 Bonete;Total;2022;1.006
02019 Bonillo, El;Total;2022;2.698
02020 Carcelén;Total;2022;483
02021 Casas de Juan Núñez;Total;2022;1.356
02022 Casas de Lázaro;Total;2022;321
02023 Casas de Ves;Total;2022;561
02024 Casas-Ibáñez;Total;2022;4.547
02025 Caudete;Total;2022;10.135
02026 Cenizate;Total;2022;1.183
02029 Chinchilla de Monte-Aragón;Total;2022;4.497
02027 Corral-Rubio;Total;2022;300
02028 Cotillas;Total;2022;129
02030 Elche de la Sierra;Total;2022;3.553
02031 Férez;Total;2022;614
02032 Fuensanta;Total;2022;281
02033 Fuente-Álamo;Total;2022;2.461
02034 Fuentealbilla;Total;2022;1.821
02035 Gineta, La;Total;2022;2.568
02036 Golosalvo;Total;2022;98
02037 Hellín;Total;2022;30.492
02038 Herrera, La;Total;2022;304
02039 Higueruela;Total;2022;1.125
02040 Hoya-Gonzalo;Total;2022;561
02041 Jorquera;Total;2022;350
02042 Letur;Total;2022;901
02043 Lezuza;Total;2022;1.300
02044 Liétor;Total;2022;1.096
02045 Madrigueras;Total;2022;4.644
02046 Mahora;Total;2022;1.430
02047 Masegoso;Total;2022;114
02048 Minaya;Total;2022;1.442
02049 Molinicos;Total;2022;837
02050 Montalvos;Total;2022;88
02051 Montealegre del Castillo;Total;2022;2.056
02052 Motilleja;Total;2022;660
02053 Munera;Total;2022;3.422
02054 Navas de Jorquera;Total;2022;528
02055 Nerpio;Total;2022;1.180
02056 Ontur;Total;2022;1.934
02057 Ossa de Montiel;Total;2022;2.215
02058 Paterna del Madera;Total;2022;329
02060 Peñas de San Pedro;Total;2022;1.433
02059 Peñascosa;Total;2022;323
02061 Pétrola;Total;2022;663
02062 Povedilla;Total;2022;388
02901 Pozo Cañada;Total;2022;2.763
02063 Pozohondo;Total;2022;1.569
02064 Pozo-Lorente;Total;2022;391
02065 Pozuelo;Total;2022;461
02066 Recueja, La;Total;2022;221
02067 Riópar;Total;2022;1.318
02068 Robledo;Total;2022;385
02069 Roda, La;Total;2022;15.497
02070 Salobre;Total;2022;438
02071 San Pedro;Total;2022;1.142
02072 Socovos;Total;2022;1.743
02073 Tarazona de la Mancha;Total;2022;6.183
02074 Tobarra;Total;2022;7.758
02075 Valdeganga;Total;2022;1.919
02076 Vianos;Total;2022;313
02077 Villa de Ves;Total;2022;60
02078 Villalgordo del Júcar;Total;2022;1.072
02079 Villamalea;Total;2022;4.000
02080 Villapalacios;Total;2022;555
02081 Villarrobledo;Total;2022;24.886
02082 Villatoya;Total;2022;106
02083 Villavaliente;Total;2022;202
02084 Villaverde de Guadalimar;Total;2022;321
02085 Viveros;Total;2022;335
02086 Yeste;Total;2022;2.495
