Provincias;Municipios;Sexo;Periodo;Total
03 Alicante/Alacant;;Total;2023;1.950.357
03 Alicante/Alacant;03002 Agost;Total;2023;5.067
03 Alicante/Alacant;03003 Agres;Total;2023;619
03 Alicante/Alacant;03004 Aigües;Total;2023;1.146
03 Alicante/Alacant;03014 Alacant/Alicante;Total;2023;349.282
03 Alicante/Alacant;03005 Albatera;Total;2023;13.092
03 Alicante/Alacant;03006 Alcalalí;Total;2023;1.397
03 Alicante/Alacant;03009 Alcoi/Alcoy;Total;2023;59.493
03 Alicante/Alacant;03008 Alcoleja;Total;2023;188
03 Alicante/Alacant;03007 Alcosser;Total;2023;259
03 Alicante/Alacant;03010 Alfafara;Total;2023;419
03 Alicante/Alacant;03011 Alfàs del Pi, l';Total;2023;20.518
03 Alicante/Alacant;03012 Algorfa;Total;2023;3.635
03 Alicante/Alacant;03013 Algueña;Total;2023;1.395
03 Alicante/Alacant;03015 Almoradí;Total;2023;21.874
03 Alicante/Alacant;03016 Almudaina;Total;2023;110
03 Alicante/Alacant;03017 Alqueria d'Asnar, l';Total;2023;511
03 Alicante/Alacant;03018 Altea;Total;2023;23.820
03 Alicante/Alacant;03019 Aspe;Total;2023;21.473
03 Alicante/Alacant;03001 Atzúbia, l';Total;2023;608
03 Alicante/Alacant;03020 Balones;Total;2023;119
03 Alicante/Alacant;03021 Banyeres de Mariola;Total;2023;7.255
03 Alicante/Alacant;03022 Benasau;Total;2023;173
03 Alicante/Alacant;03023 Beneixama;Total;2023;1.697
03 Alicante/Alacant;03024 Benejúzar;Total;2023;5.625
03 Alicante/Alacant;03025 Benferri;Total;2023;2.023
03 Alicante/Alacant;03026 Beniarbeig;Total;2023;2.353
03 Alicante/Alacant;03027 Beniardà;Total;2023;252
03 Alicante/Alacant;03028 Beniarrés;Total;2023;1.089
03 Alicante/Alacant;03030 Benidoleig;Total;2023;1.218
03 Alicante/Alacant;03031 Benidorm;Total;2023;72.342
03 Alicante/Alacant;03032 Benifallim;Total;2023;111
03 Alicante/Alacant;03033 Benifato;Total;2023;140
03 Alicante/Alacant;03029 Benigembla;Total;2023;537
03 Alicante/Alacant;03034 Benijófar;Total;2023;3.473
03 Alicante/Alacant;03035 Benilloba;Total;2023;737
03 Alicante/Alacant;03036 Benillup;Total;2023;105
03 Alicante/Alacant;03037 Benimantell;Total;2023;534
03 Alicante/Alacant;03038 Benimarfull;Total;2023;422
03 Alicante/Alacant;03039 Benimassot;Total;2023;105
03 Alicante/Alacant;03040 Benimeli;Total;2023;455
03 Alicante/Alacant;03041 Benissa;Total;2023;12.279
03 Alicante/Alacant;03043 Biar;Total;2023;3.607
03 Alicante/Alacant;03044 Bigastro;Total;2023;7.361
03 Alicante/Alacant;03045 Bolulla;Total;2023;440
03 Alicante/Alacant;03046 Busot;Total;2023;3.534
03 Alicante/Alacant;03049 Callosa de Segura;Total;2023;19.484
03 Alicante/Alacant;03048 Callosa d'en Sarrià;Total;2023;7.708
03 Alicante/Alacant;03047 Calp;Total;2023;25.854
03 Alicante/Alacant;03051 Camp de Mirra, el/Campo de Mirra;Total;2023;442
03 Alicante/Alacant;03050 Campello, el;Total;2023;29.993
03 Alicante/Alacant;03052 Cañada;Total;2023;1.210
03 Alicante/Alacant;03053 Castalla;Total;2023;11.365
03 Alicante/Alacant;03054 Castell de Castells;Total;2023;445
03 Alicante/Alacant;03075 Castell de Guadalest, el;Total;2023;274
03 Alicante/Alacant;03055 Catral;Total;2023;9.275
03 Alicante/Alacant;03056 Cocentaina;Total;2023;11.309
03 Alicante/Alacant;03057 Confrides;Total;2023;297
03 Alicante/Alacant;03058 Cox;Total;2023;7.513
03 Alicante/Alacant;03059 Crevillent;Total;2023;30.191
03 Alicante/Alacant;03061 Daya Nueva;Total;2023;1.767
03 Alicante/Alacant;03062 Daya Vieja;Total;2023;667
03 Alicante/Alacant;03063 Dénia;Total;2023;45.622
03 Alicante/Alacant;03064 Dolores;Total;2023;7.919
03 Alicante/Alacant;03066 Elda;Total;2023;53.034
03 Alicante/Alacant;03065 Elx/Elche;Total;2023;238.293
03 Alicante/Alacant;03067 Fageca;Total;2023;101
03 Alicante/Alacant;03068 Famorca;Total;2023;45
