Municipios;Sexo;Periodo;Total
04 Almería;Total;2023;753.920
04001 Abla;Total;2023;1.255
04002 Abrucena;Total;2023;1.275
04003 Adra;Total;2023;25.195
04004 Albanchez;Total;2023;682
04005 Alboloduy;Total;2023;596
04006 Albox;Total;2023;12.311
04007 Alcolea;Total;2023;803
04008 Alcóntar;Total;2023;560
04009 Alcudia de Monteagud;Total;2023;132
04010 Alhabia;Total;2023;708
04011 Alhama de Almería;Total;2023;3.817
04012 Alicún;Total;2023;221
04013 Almería;Total;2023;200.578
04014 Almócita;Total;2023;207
04015 Alsodux;Total;2023;146
04016 Antas;Total;2023;3.417
04017 Arboleas;Total;2023;4.439
04018 Armuña de Almanzora;Total;2023;335
04019 Bacares;Total;2023;237
04904 Balanegra;Total;2023;2.931
04020 Bayárcal;Total;2023;326
04021 Bayarque;Total;2023;221
04022 Bédar;Total;2023;1.012
04023 Beires;Total;2023;144
04024 Benahadux;Total;2023;4.643
04026 Benitagla;Total;2023;58
04027 Benizalón;Total;2023;254
04028 Bentarique;Total;2023;241
04029 Berja;Total;2023;12.917
04030 Canjáyar;Total;2023;1.153
04031 Cantoria;Total;2023;3.573
04032 Carboneras;Total;2023;8.375
04033 Castro de Filabres;Total;2023;109
04036 Chercos;Total;2023;302
04037 Chirivel;Total;2023;1.540
04034 Cóbdar;Total;2023;202
04035 Cuevas del Almanzora;Total;2023;15.023
04038 Dalías;Total;2023;4.202
04902 Ejido, El;Total;2023;89.975
04041 Enix;Total;2023;588
04043 Felix;Total;2023;767
04044 Fines;Total;2023;2.235
04045 Fiñana;Total;2023;1.991
04046 Fondón;Total;2023;1.094
04047 Gádor;Total;2023;3.029
04048 Gallardos, Los;Total;2023;3.034
04049 Garrucha;Total;2023;10.336
04050 Gérgal;Total;2023;1.191
04051 Huécija;Total;2023;533
04052 Huércal de Almería;Total;2023;18.507
04053 Huércal-Overa;Total;2023;20.425
04054 Íllar;Total;2023;451
04055 Instinción;Total;2023;484
04056 Laroya;Total;2023;198
04057 Láujar de Andarax;Total;2023;1.611
04058 Líjar;Total;2023;389
04059 Lubrín;Total;2023;1.422
04060 Lucainena de las Torres;Total;2023;704
04061 Lúcar;Total;2023;829
04062 Macael;Total;2023;5.381
04063 María;Total;2023;1.209
04064 Mojácar;Total;2023;7.386
04903 Mojonera, La;Total;2023;8.778
04065 Nacimiento;Total;2023;508
04066 Níjar;Total;2023;32.858
04067 Ohanes;Total;2023;550
04068 Olula de Castro;Total;2023;189
04069 Olula del Río;Total;2023;6.354
04070 Oria;Total;2023;2.233
04071 Padules;Total;2023;437
04072 Partaloa;Total;2023;924
04073 Paterna del Río;Total;2023;387
04074 Pechina;Total;2023;4.358
04075 Pulpí;Total;2023;11.247
04076 Purchena;Total;2023;1.551
04077 Rágol;Total;2023;297
04078 Rioja;Total;2023;1.594
04079 Roquetas de Mar;Total;2023;106.510
04080 Santa Cruz de Marchena;Total;2023;237
04081 Santa Fe de Mondújar;Total;2023;494
04082 Senés;Total;2023;288
04083 Serón;Total;2023;2.105
04084 Sierro;Total;2023;379
04085 Somontín;Total;2023;521
04086 Sorbas;Total;2023;2.527
04087 Suflí;Total;2023;229
04088 Tabernas;Total;2023;4.032
04089 Taberno;Total;2023;958
04090 Tahal;Total;2023;373
04091 Terque;Total;2023;400
04092 Tíjola;Total;2023;3.518
04901 Tres Villas, Las;Total;2023;581
04093 Turre;Total;2023;4.092
04094 Turrillas;Total;2023;278
04095 Uleila del Campo;Total;2023;820
04096 Urrácal;Total;2023;378
04097 Velefique;Total;2023;258
04098 Vélez-Blanco;Total;2023;1.914
04099 Vélez-Rubio;Total;2023;6.558
04100 Vera;Total;2023;18.919
04101 Viator;Total;2023;6.160
04102 Vícar;Total;2023;28.245
04103 Zurgena;Total;2023;2.972
