Municipios;Sexo;Periodo;Total
33 Asturias;Total;2023;1.005.283
33001 Allande;Total;2023;1.552
33002 Aller;Total;2023;10.076
33003 Amieva;Total;2023;599
33004 Avilés;Total;2023;75.518
33005 Belmonte de Miranda;Total;2023;1.399
33006 Bimenes;Total;2023;1.669
33007 Boal;Total;2023;1.412
33008 Cabrales;Total;2023;1.918
33009 Cabranes;Total;2023;1.105
33010 Candamo;Total;2023;1.932
33012 Cangas de Onís;Total;2023;6.362
33011 Cangas del Narcea;Total;2023;11.596
33013 Caravia;Total;2023;496
33014 Carreño;Total;2023;10.177
33015 Caso;Total;2023;1.449
33016 Castrillón;Total;2023;22.103
33017 Castropol;Total;2023;3.289
33018 Coaña;Total;2023;3.304
33019 Colunga;Total;2023;3.187
33020 Corvera de Asturias;Total;2023;15.612
33021 Cudillero;Total;2023;4.909
33022 Degaña;Total;2023;805
33023 Franco, El;Total;2023;3.749
33024 Gijón;Total;2023;268.313
33025 Gozón;Total;2023;10.470
33026 Grado;Total;2023;9.616
33027 Grandas de Salime;Total;2023;765
33028 Ibias;Total;2023;1.121
33029 Illano;Total;2023;288
33030 Illas;Total;2023;1.061
33031 Langreo;Total;2023;37.978
33032 Laviana;Total;2023;12.355
33033 Lena;Total;2023;10.312
33035 Llanera;Total;2023;13.948
33036 Llanes;Total;2023;13.524
33037 Mieres;Total;2023;36.195
33038 Morcín;Total;2023;2.540
33039 Muros de Nalón;Total;2023;1.955
33040 Nava;Total;2023;5.186
33041 Navia;Total;2023;8.136
33042 Noreña;Total;2023;5.058
33043 Onís;Total;2023;746
33044 Oviedo;Total;2023;217.584
33045 Parres;Total;2023;5.208
33046 Peñamellera Alta;Total;2023;535
33047 Peñamellera Baja;Total;2023;1.221
33048 Pesoz;Total;2023;138
33049 Piloña;Total;2023;6.822
33050 Ponga;Total;2023;579
33051 Pravia;Total;2023;7.830
33052 Proaza;Total;2023;709
33053 Quirós;Total;2023;1.175
33054 Regueras, Las;Total;2023;1.888
33055 Ribadedeva;Total;2023;1.731
33056 Ribadesella;Total;2023;5.548
33057 Ribera de Arriba;Total;2023;1.857
33058 Riosa;Total;2023;1.755
33059 Salas;Total;2023;4.806
33061 San Martín de Oscos;Total;2023;344
33060 San Martín del Rey Aurelio;Total;2023;15.431
33063 San Tirso de Abres;Total;2023;412
33062 Santa Eulalia de Oscos;Total;2023;431
33064 Santo Adriano;Total;2023;286
33065 Sariego;Total;2023;1.271
33066 Siero;Total;2023;52.194
33067 Sobrescobio;Total;2023;851
33068 Somiedo;Total;2023;1.083
33069 Soto del Barco;Total;2023;3.818
33070 Tapia de Casariego;Total;2023;3.652
33071 Taramundi;Total;2023;576
33072 Teverga;Total;2023;1.565
33073 Tineo;Total;2023;8.857
33034 Valdés;Total;2023;10.958
33074 Vegadeo;Total;2023;3.885
33075 Villanueva de Oscos;Total;2023;261
33076 Villaviciosa;Total;2023;15.000
33077 Villayón;Total;2023;1.104
33078 Yernes y Tameza;Total;2023;133
