Municipios;Sexo;Periodo;Total
05 Ávila;Total;2023;158.407
05001 Adanero;Total;2023;204
05002 Adrada, La;Total;2023;2.727
05005 Albornos;Total;2023;175
05007 Aldeanueva de Santa Cruz;Total;2023;100
05008 Aldeaseca;Total;2023;210
05010 Aldehuela, La;Total;2023;148
05012 Amavida;Total;2023;135
05013 Arenal, El;Total;2023;964
05014 Arenas de San Pedro;Total;2023;6.464
05015 Arevalillo;Total;2023;60
05016 Arévalo;Total;2023;7.768
05017 Aveinte;Total;2023;75
05018 Avellaneda;Total;2023;24
05019 Ávila;Total;2023;57.741
05021 Barco de Ávila, El;Total;2023;2.276
05022 Barraco, El;Total;2023;2.005
05023 Barromán;Total;2023;176
05024 Becedas;Total;2023;164
05025 Becedillas;Total;2023;70
05026 Bercial de Zapardiel;Total;2023;178
05027 Berlanas, Las;Total;2023;326
05029 Bernuy-Zapardiel;Total;2023;88
05030 Berrocalejo de Aragona;Total;2023;48
05033 Blascomillán;Total;2023;169
05034 Blasconuño de Matacabras;Total;2023;15
05035 Blascosancho;Total;2023;106
05036 Bohodón, El;Total;2023;107
05037 Bohoyo;Total;2023;215
05038 Bonilla de la Sierra;Total;2023;180
05039 Brabos;Total;2023;39
05040 Bularros;Total;2023;57
05041 Burgohondo;Total;2023;1.240
05042 Cabezas de Alambre;Total;2023;156
05043 Cabezas del Pozo;Total;2023;89
05044 Cabezas del Villar;Total;2023;234
05045 Cabizuela;Total;2023;88
05046 Canales;Total;2023;36
05047 Candeleda;Total;2023;5.001
05048 Cantiveros;Total;2023;97
05049 Cardeñosa;Total;2023;419
05051 Carrera, La;Total;2023;161
05052 Casas del Puerto;Total;2023;85
05053 Casasola;Total;2023;66
05054 Casavieja;Total;2023;1.410
05055 Casillas;Total;2023;663
05056 Castellanos de Zapardiel;Total;2023;135
05057 Cebreros;Total;2023;3.256
05058 Cepeda la Mora;Total;2023;67
05067 Chamartín;Total;2023;61
05059 Cillán;Total;2023;72
05060 Cisla;Total;2023;99
05061 Colilla, La;Total;2023;366
05062 Collado de Contreras;Total;2023;143
05063 Collado del Mirón;Total;2023;24
05064 Constanzana;Total;2023;98
05065 Crespos;Total;2023;465
05066 Cuevas del Valle;Total;2023;508
05903 Diego del Carpio;Total;2023;108
05069 Donjimeno;Total;2023;76
05070 Donvidas;Total;2023;31
05072 Espinosa de los Caballeros;Total;2023;102
05073 Flores de Ávila;Total;2023;271
05074 Fontiveros;Total;2023;716
05075 Fresnedilla;Total;2023;106
05076 Fresno, El;Total;2023;595
05077 Fuente el Saúz;Total;2023;158
05078 Fuentes de Año;Total;2023;89
05079 Gallegos de Altamiros;Total;2023;58
05080 Gallegos de Sobrinos;Total;2023;46
05081 Garganta del Villar;Total;2023;41
05082 Gavilanes;Total;2023;547
05083 Gemuño;Total;2023;150
05085 Gil García;Total;2023;44
05084 Gilbuena;Total;2023;49
05086 Gimialcón;Total;2023;74
05087 Gotarrendura;Total;2023;167
05088 Grandes y San Martín;Total;2023;36
05089 Guisando;Total;2023;488
05090 Gutierre-Muñoz;Total;2023;61
05092 Hernansancho;Total;2023;147
05093 Herradón de Pinares;Total;2023;487
05094 Herreros de Suso;Total;2023;149
05095 Higuera de las Dueñas;Total;2023;275
05096 Hija de Dios, La;Total;2023;80
05097 Horcajada, La;Total;2023;465
05099 Horcajo de las Torres;Total;2023;454
05100 Hornillo, El;Total;2023;266
