Municipios;Sexo;Periodo;Total
06 Badajoz;Total;2023;665.089
06 Badajoz;Total;2022;666.971
06 Badajoz;Total;2021;669.943
06 Badajoz;Total;2020;672.137
06 Badajoz;Total;2019;673.559
06 Badajoz;Total;2018;676.376
06 Badajoz;Total;2017;679.884
06 Badajoz;Total;2016;684.113
06 Badajoz;Total;2015;686.730
06 Badajoz;Total;2014;690.929
06 Badajoz;Total;2013;693.729
06 Badajoz;Total;2012;694.533
06 Badajoz;Total;2011;693.921
06 Badajoz;Total;2010;692.137
06 Badajoz;Total;2009;688.777
06 Badajoz;Total;2008;685.246
06 Badajoz;Total;2007;678.459
06 Badajoz;Total;2006;673.474
06 Badajoz;Total;2005;671.299
06 Badajoz;Total;2004;663.896
06 Badajoz;Total;2003;663.142
06 Badajoz;Total;2002;662.808
06 Badajoz;Total;2001;664.251
06 Badajoz;Total;2000;661.874
06 Badajoz;Total;1999;664.625
06 Badajoz;Total;1998;663.803
06 Badajoz;Total;1997;""
06 Badajoz;Total;1996;656.848
06 Badajoz;Hombres;2023;328.420
06 Badajoz;Hombres;2022;329.507
06 Badajoz;Hombres;2021;331.025
06 Badajoz;Hombres;2020;332.204
06 Badajoz;Hombres;2019;333.112
06 Badajoz;Hombres;2018;334.636
06 Badajoz;Hombres;2017;336.566
06 Badajoz;Hombres;2016;338.954
06 Badajoz;Hombres;2015;340.376
06 Badajoz;Hombres;2014;342.654
06 Badajoz;Hombres;2013;344.296
06 Badajoz;Hombres;2012;344.690
06 Badajoz;Hombres;2011;344.291
06 Badajoz;Hombres;2010;343.363
06 Badajoz;Hombres;2009;341.912
06 Badajoz;Hombres;2008;340.243
06 Badajoz;Hombres;2007;336.211
06 Badajoz;Hombres;2006;333.759
06 Badajoz;Hombres;2005;332.481
06 Badajoz;Hombres;2004;328.519
06 Badajoz;Hombres;2003;327.802
06 Badajoz;Hombres;2002;327.691
06 Badajoz;Hombres;2001;328.427
06 Badajoz;Hombres;2000;327.198
06 Badajoz;Hombres;1999;328.541
06 Badajoz;Hombres;1998;328.160
06 Badajoz;Hombres;1997;""
06 Badajoz;Hombres;1996;324.765
06 Badajoz;Mujeres;2023;336.669
06 Badajoz;Mujeres;2022;337.464
06 Badajoz;Mujeres;2021;338.918
06 Badajoz;Mujeres;2020;339.933
06 Badajoz;Mujeres;2019;340.447
06 Badajoz;Mujeres;2018;341.740
06 Badajoz;Mujeres;2017;343.318
06 Badajoz;Mujeres;2016;345.159
06 Badajoz;Mujeres;2015;346.354
06 Badajoz;Mujeres;2014;348.275
06 Badajoz;Mujeres;2013;349.433
06 Badajoz;Mujeres;2012;349.843
06 Badajoz;Mujeres;2011;349.630
06 Badajoz;Mujeres;2010;348.774
06 Badajoz;Mujeres;2009;346.865
06 Badajoz;Mujeres;2008;345.003
06 Badajoz;Mujeres;2007;342.248
06 Badajoz;Mujeres;2006;339.715
06 Badajoz;Mujeres;2005;338.818
06 Badajoz;Mujeres;2004;335.377
06 Badajoz;Mujeres;2003;335.340
06 Badajoz;Mujeres;2002;335.117
06 Badajoz;Mujeres;2001;335.824
06 Badajoz;Mujeres;2000;334.676
06 Badajoz;Mujeres;1999;336.084
06 Badajoz;Mujeres;1998;335.643
06 Badajoz;Mujeres;1997;""
06 Badajoz;Mujeres;1996;332.083
06001 Acedera;Total;2023;814
06001 Acedera;Total;2022;816
06001 Acedera;Total;2021;820
06001 Acedera;Total;2020;826
06001 Acedera;Total;2019;807
06001 Acedera;Total;2018;798
06001 Acedera;Total;2017;818
06001 Acedera;Total;2016;823
06001 Acedera;Total;2015;816
06001 Acedera;Total;2014;831
06001 Acedera;Total;2013;826
06001 Acedera;Total;2012;810
06001 Acedera;Total;2011;823
06001 Acedera;Total;2010;818
06001 Acedera;Total;2009;821
06001 Acedera;Total;2008;833
06001 Acedera;Total;2007;842
06001 Acedera;Total;2006;846
06001 Acedera;Total;2005;859
06001 Acedera;Total;2004;870
06001 Acedera;Total;2003;904
06001 Acedera;Total;2002;897
06001 Acedera;Total;2001;942
06001 Acedera;Total;2000;969
06001 Acedera;Total;1999;995
06001 Acedera;Total;1998;1.001
06001 Acedera;Total;1997;""
06001 Acedera;Total;1996;1.023
06001 Acedera;Hombres;2023;422
06001 Acedera;Hombres;2022;418
06001 Acedera;Hombres;2021;419
06001 Acedera;Hombres;2020;425
06001 Acedera;Hombres;2019;416
06001 Acedera;Hombres;2018;418
06001 Acedera;Hombres;2017;428
06001 Acedera;Hombres;2016;425
06001 Acedera;Hombres;2015;419
06001 Acedera;Hombres;2014;426
06001 Acedera;Hombres;2013;414
06001 Acedera;Hombres;2012;413
06001 Acedera;Hombres;2011;423
06001 Acedera;Hombres;2010;423
06001 Acedera;Hombres;2009;429
06001 Acedera;Hombres;2008;441
06001 Acedera;Hombres;2007;437
06001 Acedera;Hombres;2006;441
06001 Acedera;Hombres;2005;445
06001 Acedera;Hombres;2004;454
06001 Acedera;Hombres;2003;471
06001 Acedera;Hombres;2002;472
06001 Acedera;Hombres;2001;497
06001 Acedera;Hombres;2000;506
06001 Acedera;Hombres;1999;523
06001 Acedera;Hombres;1998;527
06001 Acedera;Hombres;1997;""
06001 Acedera;Hombres;1996;541
06001 Acedera;Mujeres;2023;392
06001 Acedera;Mujeres;2022;398
06001 Acedera;Mujeres;2021;401
06001 Acedera;Mujeres;2020;401
06001 Acedera;Mujeres;2019;391
06001 Acedera;Mujeres;2018;380
06001 Acedera;Mujeres;2017;390
06001 Acedera;Mujeres;2016;398
06001 Acedera;Mujeres;2015;397
06001 Acedera;Mujeres;2014;405
06001 Acedera;Mujeres;2013;412
06001 Acedera;Mujeres;2012;397
06001 Acedera;Mujeres;2011;400
06001 Acedera;Mujeres;2010;395
06001 Acedera;Mujeres;2009;392
06001 Acedera;Mujeres;2008;392
06001 Acedera;Mujeres;2007;405
06001 Acedera;Mujeres;2006;405
06001 Acedera;Mujeres;2005;414
06001 Acedera;Mujeres;2004;416
06001 Acedera;Mujeres;2003;433
06001 Acedera;Mujeres;2002;425
06001 Acedera;Mujeres;2001;445
06001 Acedera;Mujeres;2000;463
06001 Acedera;Mujeres;1999;472
06001 Acedera;Mujeres;1998;474
06001 Acedera;Mujeres;1997;""
06001 Acedera;Mujeres;1996;482
06002 Aceuchal;Total;2023;5.446
06002 Aceuchal;Total;2022;5.456
06002 Aceuchal;Total;2021;5.467
06002 Aceuchal;Total;2020;5.478
06002 Aceuchal;Total;2019;5.449
06002 Aceuchal;Total;2018;5.461
06002 Aceuchal;Total;2017;5.436
06002 Aceuchal;Total;2016;5.485
06002 Aceuchal;Total;2015;5.471
06002 Aceuchal;Total;2014;5.538
06002 Aceuchal;Total;2013;5.566
06002 Aceuchal;Total;2012;5.702
06002 Aceuchal;Total;2011;5.717
06002 Aceuchal;Total;2010;5.723
06002 Aceuchal;Total;2009;5.679
