Municipios;Sexo;Periodo;Total
07 Balears, Illes;Total;2023;1.197.261
07 Balears, Illes;Total;2022;1.176.659
07 Balears, Illes;Total;2021;1.173.008
07 Balears, Illes;Total;2020;1.171.543
07 Balears, Illes;Total;2019;1.149.460
07 Balears, Illes;Total;2018;1.128.908
07 Balears, Illes;Total;2017;1.115.999
07 Balears, Illes;Total;2016;1.107.220
07 Balears, Illes;Total;2015;1.104.479
07 Balears, Illes;Total;2014;1.103.442
07 Balears, Illes;Total;2013;1.111.674
07 Balears, Illes;Total;2012;1.119.439
07 Balears, Illes;Total;2011;1.113.114
07 Balears, Illes;Total;2010;1.106.049
07 Balears, Illes;Total;2009;1.095.426
07 Balears, Illes;Total;2008;1.072.844
07 Balears, Illes;Total;2007;1.030.650
07 Balears, Illes;Total;2006;1.001.062
07 Balears, Illes;Total;2005;983.131
07 Balears, Illes;Total;2004;955.045
07 Balears, Illes;Total;2003;947.361
07 Balears, Illes;Total;2002;916.968
07 Balears, Illes;Total;2001;878.627
07 Balears, Illes;Total;2000;845.630
07 Balears, Illes;Total;1999;821.820
07 Balears, Illes;Total;1998;796.483
07 Balears, Illes;Total;1997;""
07 Balears, Illes;Total;1996;760.379
07 Balears, Illes;Hombres;2023;595.216
07 Balears, Illes;Hombres;2022;585.696
07 Balears, Illes;Hombres;2021;584.853
07 Balears, Illes;Hombres;2020;584.298
07 Balears, Illes;Hombres;2019;572.757
07 Balears, Illes;Hombres;2018;561.803
07 Balears, Illes;Hombres;2017;554.925
07 Balears, Illes;Hombres;2016;550.682
07 Balears, Illes;Hombres;2015;549.678
07 Balears, Illes;Hombres;2014;549.801
07 Balears, Illes;Hombres;2013;554.603
07 Balears, Illes;Hombres;2012;560.091
07 Balears, Illes;Hombres;2011;557.577
07 Balears, Illes;Hombres;2010;555.204
07 Balears, Illes;Hombres;2009;551.079
07 Balears, Illes;Hombres;2008;540.395
07 Balears, Illes;Hombres;2007;517.593
07 Balears, Illes;Hombres;2006;501.899
07 Balears, Illes;Hombres;2005;492.642
07 Balears, Illes;Hombres;2004;478.046
07 Balears, Illes;Hombres;2003;474.248
07 Balears, Illes;Hombres;2002;458.349
07 Balears, Illes;Hombres;2001;437.340
07 Balears, Illes;Hombres;2000;419.095
07 Balears, Illes;Hombres;1999;406.358
07 Balears, Illes;Hombres;1998;392.835
07 Balears, Illes;Hombres;1997;""
07 Balears, Illes;Hombres;1996;373.891
07 Balears, Illes;Mujeres;2023;602.045
07 Balears, Illes;Mujeres;2022;590.963
07 Balears, Illes;Mujeres;2021;588.155
07 Balears, Illes;Mujeres;2020;587.245
07 Balears, Illes;Mujeres;2019;576.703
07 Balears, Illes;Mujeres;2018;567.105
07 Balears, Illes;Mujeres;2017;561.074
07 Balears, Illes;Mujeres;2016;556.538
07 Balears, Illes;Mujeres;2015;554.801
07 Balears, Illes;Mujeres;2014;553.641
07 Balears, Illes;Mujeres;2013;557.071
07 Balears, Illes;Mujeres;2012;559.348
07 Balears, Illes;Mujeres;2011;555.537
07 Balears, Illes;Mujeres;2010;550.845
07 Balears, Illes;Mujeres;2009;544.347
07 Balears, Illes;Mujeres;2008;532.449
07 Balears, Illes;Mujeres;2007;513.057
07 Balears, Illes;Mujeres;2006;499.163
07 Balears, Illes;Mujeres;2005;490.489
07 Balears, Illes;Mujeres;2004;476.999
07 Balears, Illes;Mujeres;2003;473.113
07 Balears, Illes;Mujeres;2002;458.619
07 Balears, Illes;Mujeres;2001;441.287
07 Balears, Illes;Mujeres;2000;426.535
07 Balears, Illes;Mujeres;1999;415.462
07 Balears, Illes;Mujeres;1998;403.648
07 Balears, Illes;Mujeres;1997;""
07 Balears, Illes;Mujeres;1996;386.488
07002 Alaior;Total;2023;9.748
07002 Alaior;Total;2022;9.606
07002 Alaior;Total;2021;9.477
07002 Alaior;Total;2020;9.467
07002 Alaior;Total;2019;9.065
07002 Alaior;Total;2018;9.012
07002 Alaior;Total;2017;9.097
07002 Alaior;Total;2016;8.959
07002 Alaior;Total;2015;8.997
07002 Alaior;Total;2014;9.162
07002 Alaior;Total;2013;9.769
07002 Alaior;Total;2012;9.610
07002 Alaior;Total;2011;9.600
07002 Alaior;Total;2010;9.399
07002 Alaior;Total;2009;9.257
07002 Alaior;Total;2008;9.133
07002 Alaior;Total;2007;8.972
07002 Alaior;Total;2006;8.933
07002 Alaior;Total;2005;8.671
07002 Alaior;Total;2004;8.308
07002 Alaior;Total;2003;8.197
07002 Alaior;Total;2002;7.982
07002 Alaior;Total;2001;7.684
07002 Alaior;Total;2000;7.390
07002 Alaior;Total;1999;7.229
07002 Alaior;Total;1998;7.046
07002 Alaior;Total;1997;""
07002 Alaior;Total;1996;6.705
07002 Alaior;Hombres;2023;4.896
07002 Alaior;Hombres;2022;4.814
07002 Alaior;Hombres;2021;4.776
07002 Alaior;Hombres;2020;4.798
07002 Alaior;Hombres;2019;4.576
07002 Alaior;Hombres;2018;4.520
07002 Alaior;Hombres;2017;4.573
07002 Alaior;Hombres;2016;4.492
07002 Alaior;Hombres;2015;4.490
07002 Alaior;Hombres;2014;4.571
07002 Alaior;Hombres;2013;4.892
07002 Alaior;Hombres;2012;4.806
07002 Alaior;Hombres;2011;4.805
07002 Alaior;Hombres;2010;4.690
07002 Alaior;Hombres;2009;4.643
07002 Alaior;Hombres;2008;4.598
07002 Alaior;Hombres;2007;4.551
07002 Alaior;Hombres;2006;4.524
07002 Alaior;Hombres;2005;4.378
07002 Alaior;Hombres;2004;4.182
07002 Alaior;Hombres;2003;4.121
07002 Alaior;Hombres;2002;4.007
07002 Alaior;Hombres;2001;3.841
07002 Alaior;Hombres;2000;3.679
07002 Alaior;Hombres;1999;3.584
07002 Alaior;Hombres;1998;3.490
07002 Alaior;Hombres;1997;""
07002 Alaior;Hombres;1996;3.320
07002 Alaior;Mujeres;2023;4.852
07002 Alaior;Mujeres;2022;4.792
07002 Alaior;Mujeres;2021;4.701
07002 Alaior;Mujeres;2020;4.669
07002 Alaior;Mujeres;2019;4.489
07002 Alaior;Mujeres;2018;4.492
07002 Alaior;Mujeres;2017;4.524
07002 Alaior;Mujeres;2016;4.467
07002 Alaior;Mujeres;2015;4.507
07002 Alaior;Mujeres;2014;4.591
07002 Alaior;Mujeres;2013;4.877
07002 Alaior;Mujeres;2012;4.804
07002 Alaior;Mujeres;2011;4.795
07002 Alaior;Mujeres;2010;4.709
07002 Alaior;Mujeres;2009;4.614
07002 Alaior;Mujeres;2008;4.535
07002 Alaior;Mujeres;2007;4.421
07002 Alaior;Mujeres;2006;4.409
07002 Alaior;Mujeres;2005;4.293
07002 Alaior;Mujeres;2004;4.126
07002 Alaior;Mujeres;2003;4.076
07002 Alaior;Mujeres;2002;3.975
07002 Alaior;Mujeres;2001;3.843
07002 Alaior;Mujeres;2000;3.711
07002 Alaior;Mujeres;1999;3.645
07002 Alaior;Mujeres;1998;3.556
07002 Alaior;Mujeres;1997;""
07002 Alaior;Mujeres;1996;3.385
07001 Alaró;Total;2023;5.909
07001 Alaró;Total;2022;5.811
07001 Alaró;Total;2021;5.741
07001 Alaró;Total;2020;5.617
07001 Alaró;Total;2019;5.572
07001 Alaró;Total;2018;5.494
07001 Alaró;Total;2017;5.389
07001 Alaró;Total;2016;5.282
07001 Alaró;Total;2015;5.275
07001 Alaró;Total;2014;5.227
07001 Alaró;Total;2013;5.217
07001 Alaró;Total;2012;5.508
07001 Alaró;Total;2011;5.438
07001 Alaró;Total;2010;5.401
07001 Alaró;Total;2009;5.327
07001 Alaró;Total;2008;5.178
07001 Alaró;Total;2007;5.018
07001 Alaró;Total;2006;4.869
07001 Alaró;Total;2005;4.707
07001 Alaró;Total;2004;4.607
07001 Alaró;Total;2003;4.540
07001 Alaró;Total;2002;4.320
07001 Alaró;Total;2001;4.121
07001 Alaró;Total;2000;4.032
07001 Alaró;Total;1999;3.834
07001 Alaró;Total;1998;3.834
07001 Alaró;Total;1997;""
07001 Alaró;Total;1996;3.840
07001 Alaró;Hombres;2023;2.875
07001 Alaró;Hombres;2022;2.825
07001 Alaró;Hombres;2021;2.777
07001 Alaró;Hombres;2020;2.717
07001 Alaró;Hombres;2019;2.689
07001 Alaró;Hombres;2018;2.658
07001 Alaró;Hombres;2017;2.603
07001 Alaró;Hombres;2016;2.577
07001 Alaró;Hombres;2015;2.592
07001 Alaró;Hombres;2014;2.578
07001 Alaró;Hombres;2013;2.589
07001 Alaró;Hombres;2012;2.734
07001 Alaró;Hombres;2011;2.672
07001 Alaró;Hombres;2010;2.644
07001 Alaró;Hombres;2009;2.629
