Municipios;Sexo;Periodo;Total
08 Barcelona;Total;2023;5.805.500
08001 Abrera;Total;2023;12.848
08002 Aguilar de Segarra;Total;2023;294
08014 Aiguafreda;Total;2023;2.567
08003 Alella;Total;2023;10.139
08004 Alpens;Total;2023;273
08005 Ametlla del Vallès, L';Total;2023;9.296
08006 Arenys de Mar;Total;2023;16.342
08007 Arenys de Munt;Total;2023;9.413
08008 Argençola;Total;2023;222
08009 Argentona;Total;2023;12.846
08010 Artés;Total;2023;5.994
08011 Avià;Total;2023;2.249
08012 Avinyó;Total;2023;2.289
08013 Avinyonet del Penedès;Total;2023;1.732
08015 Badalona;Total;2023;225.957
08904 Badia del Vallès;Total;2023;13.074
08016 Bagà;Total;2023;2.149
08017 Balenyà;Total;2023;3.969
08018 Balsareny;Total;2023;3.307
08252 Barberà del Vallès;Total;2023;33.322
08019 Barcelona;Total;2023;1.660.122
08020 Begues;Total;2023;7.432
08021 Bellprat;Total;2023;72
08022 Berga;Total;2023;16.959
08023 Bigues i Riells del Fai;Total;2023;9.949
08024 Borredà;Total;2023;430
08025 Bruc, El;Total;2023;2.268
08026 Brull, El;Total;2023;287
08027 Cabanyes, Les;Total;2023;998
08028 Cabrera d'Anoia;Total;2023;1.665
08029 Cabrera de Mar;Total;2023;4.945
08030 Cabrils;Total;2023;7.799
08031 Calaf;Total;2023;3.566
08034 Calders;Total;2023;1.097
08033 Caldes de Montbui;Total;2023;18.109
08032 Caldes d'Estrac;Total;2023;3.223
08035 Calella;Total;2023;19.862
08037 Calldetenes;Total;2023;2.601
08038 Callús;Total;2023;2.099
08036 Calonge de Segarra;Total;2023;188
08039 Campins;Total;2023;589
08040 Canet de Mar;Total;2023;15.010
08041 Canovelles;Total;2023;17.051
08042 Cànoves i Samalús;Total;2023;3.322
08043 Canyelles;Total;2023;5.218
08044 Capellades;Total;2023;5.417
08045 Capolat;Total;2023;88
08046 Cardedeu;Total;2023;19.023
08047 Cardona;Total;2023;4.569
08048 Carme;Total;2023;783
08049 Casserres;Total;2023;1.630
08057 Castell de l'Areny;Total;2023;69
08052 Castellar de n'Hug;Total;2023;171
08050 Castellar del Riu;Total;2023;169
08051 Castellar del Vallès;Total;2023;25.150
08053 Castellbell i el Vilar;Total;2023;4.054
08054 Castellbisbal;Total;2023;12.813
08055 Castellcir;Total;2023;778
08056 Castelldefels;Total;2023;68.427
08058 Castellet i la Gornal;Total;2023;2.572
08060 Castellfollit de Riubregós;Total;2023;162
08059 Castellfollit del Boix;Total;2023;461
08061 Castellgalí;Total;2023;2.311
08062 Castellnou de Bages;Total;2023;1.427
08063 Castellolí;Total;2023;651
08064 Castellterçol;Total;2023;2.735
08065 Castellví de la Marca;Total;2023;1.674
08066 Castellví de Rosanes;Total;2023;2.089
08067 Centelles;Total;2023;7.726
08268 Cercs;Total;2023;1.196
08266 Cerdanyola del Vallès;Total;2023;57.879
08068 Cervelló;Total;2023;9.469
08069 Collbató;Total;2023;4.828
08070 Collsuspina;Total;2023;387
08071 Copons;Total;2023;340
08072 Corbera de Llobregat;Total;2023;15.466
08073 Cornellà de Llobregat;Total;2023;90.303
08074 Cubelles;Total;2023;16.914
08075 Dosrius;Total;2023;5.910
08076 Esparreguera;Total;2023;22.442
08077 Esplugues de Llobregat;Total;2023;46.921
08078 Espunyola, L';Total;2023;266
08254 Esquirol, L';Total;2023;2.263
08079 Estany, L';Total;2023;405
08134 Figaró-Montmany;Total;2023;1.158
08080 Fígols;Total;2023;47
08082 Fogars de la Selva;Total;2023;1.632
08081 Fogars de Montclús;Total;2023;482
08083 Folgueroles;Total;2023;2.268
08084 Fonollosa;Total;2023;1.558
08085 Font-rubí;Total;2023;1.456
08086 Franqueses del Vallès, Les;Total;2023;20.522
08090 Gaià;Total;2023;177
08087 Gallifa;Total;2023;183
08088 Garriga, La;Total;2023;17.052
08089 Gavà;Total;2023;47.593
08091 Gelida;Total;2023;7.953
08092 Gironella;Total;2023;4.980
08093 Gisclareny;Total;2023;27
08094 Granada, La;Total;2023;2.218
08095 Granera;Total;2023;93
08096 Granollers;Total;2023;63.092
08097 Gualba;Total;2023;1.661
08099 Guardiola de Berguedà;Total;2023;939
08100 Gurb;Total;2023;2.697
08101 Hospitalet de Llobregat, L';Total;2023;274.455
08162 Hostalets de Pierola, Els;Total;2023;3.188
08102 Igualada;Total;2023;41.164
08103 Jorba;Total;2023;828
08104 Llacuna, La;Total;2023;952
08105 Llagosta, La;Total;2023;13.169
08107 Lliçà d'Amunt;Total;2023;16.092
08108 Lliçà de Vall;Total;2023;6.714
08106 Llinars del Vallès;Total;2023;10.499
08109 Lluçà;Total;2023;292
08110 Malgrat de Mar;Total;2023;19.213
08111 Malla;Total;2023;266
08112 Manlleu;Total;2023;21.172
08113 Manresa;Total;2023;78.877
08242 Marganell;Total;2023;293
08114 Martorell;Total;2023;28.760
08115 Martorelles;Total;2023;4.904
08116 Masies de Roda, Les;Total;2023;751
08117 Masies de Voltregà, Les;Total;2023;3.222
08118 Masnou, El;Total;2023;24.181
08119 Masquefa;Total;2023;9.839
08120 Matadepera;Total;2023;9.899
08121 Mataró;Total;2023;129.870
08122 Mediona;Total;2023;2.628
08138 Moià;Total;2023;6.690
08123 Molins de Rei;Total;2023;26.555
08124 Mollet del Vallès;Total;2023;51.824
08128 Monistrol de Calders;Total;2023;751
08127 Monistrol de Montserrat;Total;2023;3.179
08125 Montcada i Reixac;Total;2023;36.891
08130 Montclar;Total;2023;129
08131 Montesquiu;Total;2023;1.110
08126 Montgat;Total;2023;12.462
08132 Montmajor;Total;2023;482
08133 Montmaneu;Total;2023;198
08135 Montmeló;Total;2023;8.825
08136 Montornès del Vallès;Total;2023;16.800
08137 Montseny;Total;2023;379
08129 Muntanyola;Total;2023;721
08139 Mura;Total;2023;228
08140 Navarcles;Total;2023;6.109
08141 Navàs;Total;2023;6.150
08142 Nou de Berguedà, La;Total;2023;170
08143 Òdena;Total;2023;3.720
08145 Olèrdola;Total;2023;3.968
08146 Olesa de Bonesvalls;Total;2023;2.110
08147 Olesa de Montserrat;Total;2023;24.446
08148 Olivella;Total;2023;4.414
08149 Olost;Total;2023;1.218
08144 Olvan;Total;2023;890
08150 Orís;Total;2023;355
08151 Oristà;Total;2023;587
08152 Orpí;Total;2023;163
08153 Òrrius;Total;2023;799
08154 Pacs del Penedès;Total;2023;909
08155 Palafolls;Total;2023;9.819
08156 Palau-solità i Plegamans;Total;2023;15.130
08157 Pallejà;Total;2023;11.736
08905 Palma de Cervelló, La;Total;2023;3.040
08158 Papiol, El;Total;2023;4.325
08159 Parets del Vallès;Total;2023;18.893
08160 Perafita;Total;2023;423
08161 Piera;Total;2023;17.203
08163 Pineda de Mar;Total;2023;28.751
