Municipios;Sexo;Periodo;Total
48 Bizkaia;Total;2023;1.154.306
48001 Abadiño;Total;2023;7.708
48002 Abanto y Ciérvana-Abanto Zierbena;Total;2023;9.402
48911 Ajangiz;Total;2023;478
48912 Alonsotegi;Total;2023;2.950
48003 Amorebieta-Etxano;Total;2023;19.570
48004 Amoroto;Total;2023;392
48005 Arakaldo;Total;2023;164
48006 Arantzazu;Total;2023;389
48093 Areatza;Total;2023;1.247
48009 Arrankudiaga-Zollo;Total;2023;991
48914 Arratzu;Total;2023;426
48010 Arrieta;Total;2023;581
48011 Arrigorriaga;Total;2023;11.954
48023 Artea;Total;2023;754
48008 Artzentales;Total;2023;726
48091 Atxondo;Total;2023;1.367
48070 Aulesti;Total;2023;655
48012 Bakio;Total;2023;2.811
48090 Balmaseda;Total;2023;7.593
48013 Barakaldo;Total;2023;101.229
48014 Barrika;Total;2023;1.533
48015 Basauri;Total;2023;40.413
48092 Bedia;Total;2023;1.114
48016 Berango;Total;2023;7.454
48017 Bermeo;Total;2023;16.878
48018 Berriatua;Total;2023;1.216
48019 Berriz;Total;2023;4.543
48020 Bilbao;Total;2023;346.096
48021 Busturia;Total;2023;1.644
48901 Derio;Total;2023;7.071
48026 Dima;Total;2023;1.496
48027 Durango;Total;2023;29.767
48028 Ea;Total;2023;822
48031 Elantxobe;Total;2023;348
48032 Elorrio;Total;2023;7.292
48902 Erandio;Total;2023;24.411
48033 Ereño;Total;2023;277
48034 Ermua;Total;2023;15.599
48079 Errigoiti;Total;2023;509
48029 Etxebarri;Total;2023;11.975
48030 Etxebarria;Total;2023;782
48906 Forua;Total;2023;916
48035 Fruiz;Total;2023;551
48036 Galdakao;Total;2023;29.332
48037 Galdames;Total;2023;834
48038 Gamiz-Fika;Total;2023;1.395
48039 Garai;Total;2023;334
48040 Gatika;Total;2023;1.623
48041 Gautegiz Arteaga;Total;2023;889
48046 Gernika-Lumo;Total;2023;17.050
48044 Getxo;Total;2023;76.104
48047 Gizaburuaga;Total;2023;197
48042 Gordexola;Total;2023;1.678
48043 Gorliz;Total;2023;6.058
48045 Güeñes;Total;2023;6.740
48048 Ibarrangelu;Total;2023;695
48094 Igorre;Total;2023;4.296
48049 Ispaster;Total;2023;731
48910 Iurreta;Total;2023;3.738
48050 Izurtza;Total;2023;227
48022 Karrantza Harana/Valle de Carranza;Total;2023;2.713
48907 Kortezubi;Total;2023;440
48051 Lanestosa;Total;2023;246
48052 Larrabetzu;Total;2023;2.056
48053 Laukiz;Total;2023;1.225
48054 Leioa;Total;2023;32.491
48057 Lekeitio;Total;2023;7.143
48055 Lemoa;Total;2023;3.547
48056 Lemoiz;Total;2023;1.318
48081 Lezama;Total;2023;2.448
48903 Loiu;Total;2023;2.297
48058 Mallabia;Total;2023;1.160
48059 Mañaria;Total;2023;533
48060 Markina-Xemein;Total;2023;5.037
48061 Maruri-Jatabe;Total;2023;1.069
48062 Mendata;Total;2023;385
48063 Mendexa;Total;2023;425
48064 Meñaka;Total;2023;763
48066 Morga;Total;2023;414
48068 Mundaka;Total;2023;1.843
48069 Mungia;Total;2023;17.882
48007 Munitibar-Arbatzegi Gerrikaitz;Total;2023;470
48908 Murueta;Total;2023;337
48071 Muskiz;Total;2023;7.342
48067 Muxika;Total;2023;1.517
48909 Nabarniz;Total;2023;269
48073 Ondarroa;Total;2023;8.179
48075 Orozko;Total;2023;2.654
48083 Ortuella;Total;2023;8.536
48072 Otxandio;Total;2023;1.323
48077 Plentzia;Total;2023;4.361
48078 Portugalete;Total;2023;44.629
48082 Santurtzi;Total;2023;46.057
48084 Sestao;Total;2023;27.834
48904 Sondika;Total;2023;4.523
48085 Sopela;Total;2023;14.872
48086 Sopuerta;Total;2023;2.731
48076 Sukarrieta;Total;2023;355
48087 Trucios-Turtzioz;Total;2023;521
48088 Ubide;Total;2023;173
48065 Ugao-Miraballes;Total;2023;4.164
48089 Urduliz;Total;2023;5.469
48074 Urduña/Orduña;Total;2023;4.179
48080 Valle de Trápaga-Trapagaran;Total;2023;11.911
48095 Zaldibar;Total;2023;3.005
48096 Zalla;Total;2023;8.319
48905 Zamudio;Total;2023;3.294
48097 Zaratamo;Total;2023;1.610
48024 Zeanuri;Total;2023;1.247
48025 Zeberio;Total;2023;1.081
48913 Zierbena;Total;2023;1.496
48915 Ziortza-Bolibar;Total;2023;398
