Municipios;Sexo;Periodo;Total
09 Burgos;Total;2023;357.180
09001 Abajas;Total;2023;28
09003 Adrada de Haza;Total;2023;202
09006 Aguas Cándidas;Total;2023;60
09007 Aguilar de Bureba;Total;2023;54
09009 Albillos;Total;2023;221
09010 Alcocero de Mola;Total;2023;41
09011 Alfoz de Bricia;Total;2023;71
09907 Alfoz de Quintanadueñas;Total;2023;2.180
09012 Alfoz de Santa Gadea;Total;2023;99
09013 Altable;Total;2023;46
09014 Altos, Los;Total;2023;201
09016 Ameyugo;Total;2023;114
09017 Anguix;Total;2023;157
09018 Aranda de Duero;Total;2023;33.626
09019 Arandilla;Total;2023;156
09020 Arauzo de Miel;Total;2023;276
09021 Arauzo de Salce;Total;2023;48
09022 Arauzo de Torre;Total;2023;64
09023 Arcos;Total;2023;1.826
09024 Arenillas de Riopisuerga;Total;2023;174
09025 Arija;Total;2023;110
09026 Arlanzón;Total;2023;431
09027 Arraya de Oca;Total;2023;44
09029 Atapuerca;Total;2023;180
09030 Ausines, Los;Total;2023;162
09032 Avellanosa de Muñó;Total;2023;101
09033 Bahabón de Esgueva;Total;2023;78
09034 Balbases, Los;Total;2023;302
09035 Baños de Valdearados;Total;2023;318
09036 Bañuelos de Bureba;Total;2023;34
09037 Barbadillo de Herreros;Total;2023;106
09038 Barbadillo del Mercado;Total;2023;141
09039 Barbadillo del Pez;Total;2023;69
09041 Barrio de Muñó;Total;2023;31
09043 Barrios de Bureba, Los;Total;2023;186
09044 Barrios de Colina;Total;2023;57
09045 Basconcillos del Tozo;Total;2023;298
09046 Bascuñana;Total;2023;20
09047 Belbimbre;Total;2023;56
09048 Belorado;Total;2023;1.798
09050 Berberana;Total;2023;50
09051 Berlangas de Roa;Total;2023;191
09052 Berzosa de Bureba;Total;2023;26
09054 Bozoó;Total;2023;101
09055 Brazacorta;Total;2023;47
09056 Briviesca;Total;2023;6.414
09057 Bugedo;Total;2023;194
09058 Buniel;Total;2023;626
09059 Burgos;Total;2023;174.451
09060 Busto de Bureba;Total;2023;140
09061 Cabañes de Esgueva;Total;2023;158
09062 Cabezón de la Sierra;Total;2023;39
09064 Caleruega;Total;2023;393
09065 Campillo de Aranda;Total;2023;174
09066 Campolara;Total;2023;50
09067 Canicosa de la Sierra;Total;2023;422
09068 Cantabrana;Total;2023;22
09070 Carazo;Total;2023;41
09071 Carcedo de Bureba;Total;2023;50
09072 Carcedo de Burgos;Total;2023;488
09073 Cardeñadijo;Total;2023;1.452
09074 Cardeñajimeno;Total;2023;1.195
09075 Cardeñuela Riopico;Total;2023;109
09076 Carrias;Total;2023;24
09077 Cascajares de Bureba;Total;2023;28
09078 Cascajares de la Sierra;Total;2023;28
09079 Castellanos de Castro;Total;2023;50
09083 Castil de Peones;Total;2023;26
09082 Castildelgado;Total;2023;35
09084 Castrillo de la Reina;Total;2023;165
09085 Castrillo de la Vega;Total;2023;613
09088 Castrillo de Riopisuerga;Total;2023;57
09086 Castrillo del Val;Total;2023;835
09090 Castrillo Mota de Judíos;Total;2023;51
09091 Castrojeriz;Total;2023;763
09063 Cavia;Total;2023;245
09093 Cayuela;Total;2023;183
09094 Cebrecos;Total;2023;56
09095 Celada del Camino;Total;2023;91
09098 Cerezo de Río Tirón;Total;2023;494
09100 Cerratón de Juarros;Total;2023;50
09101 Ciadoncha;Total;2023;75
09102 Cillaperlata;Total;2023;34
09103 Cilleruelo de Abajo;Total;2023;203
09104 Cilleruelo de Arriba;Total;2023;48
09105 Ciruelos de Cervera;Total;2023;107
09108 Cogollos;Total;2023;616
09109 Condado de Treviño;Total;2023;1.479
09110 Contreras;Total;2023;91
09112 Coruña del Conde;Total;2023;100
09113 Covarrubias;Total;2023;529
09114 Cubillo del Campo;Total;2023;103
09115 Cubo de Bureba;Total;2023;101
09117 Cueva de Roa, La;Total;2023;95
09119 Cuevas de San Clemente;Total;2023;44
09120 Encío;Total;2023;43
09122 Espinosa de Cervera;Total;2023;82
09124 Espinosa de los Monteros;Total;2023;1.633
09123 Espinosa del Camino;Total;2023;44
09125 Estépar;Total;2023;636
09127 Fontioso;Total;2023;56
09128 Frandovínez;Total;2023;98
09129 Fresneda de la Sierra Tirón;Total;2023;101
09130 Fresneña;Total;2023;68
09131 Fresnillo de las Dueñas;Total;2023;688
09132 Fresno de Río Tirón;Total;2023;167
09133 Fresno de Rodilla;Total;2023;47
09134 Frías;Total;2023;267
09135 Fuentebureba;Total;2023;43
09136 Fuentecén;Total;2023;232
09137 Fuentelcésped;Total;2023;266
09138 Fuentelisendo;Total;2023;104
09139 Fuentemolinos;Total;2023;99
09140 Fuentenebro;Total;2023;135
09141 Fuentespina;Total;2023;809
09143 Galbarros;Total;2023;29
09144 Gallega, La;Total;2023;42
09148 Grijalba;Total;2023;107
09149 Grisaleña;Total;2023;59
09151 Gumiel de Izán;Total;2023;594
09152 Gumiel de Mercado;Total;2023;385
09154 Hacinas;Total;2023;150
09155 Haza;Total;2023;29
09159 Hontanas;Total;2023;68
09160 Hontangas;Total;2023;93
09162 Hontoria de la Cantera;Total;2023;168
09164 Hontoria de Valdearados;Total;2023;164
09163 Hontoria del Pinar;Total;2023;617
09166 Hormazas, Las;Total;2023;99
09167 Hornillos del Camino;Total;2023;54
09168 Horra, La;Total;2023;306
09169 Hortigüela;Total;2023;107
09170 Hoyales de Roa;Total;2023;208
09172 Huérmeces;Total;2023;157
09173 Huerta de Arriba;Total;2023;125
09174 Huerta de Rey;Total;2023;880
09175 Humada;Total;2023;115
09176 Hurones;Total;2023;54
09177 Ibeas de Juarros;Total;2023;1.411
09178 Ibrillos;Total;2023;33
09179 Iglesiarrubia;Total;2023;47
09180 Iglesias;Total;2023;144
09181 Isar;Total;2023;282
09182 Itero del Castillo;Total;2023;78
09183 Jaramillo de la Fuente;Total;2023;42
09184 Jaramillo Quemado;Total;2023;10
09189 Junta de Traslaloma;Total;2023;124
09190 Junta de Villalba de Losa;Total;2023;80
09191 Jurisdicción de Lara;Total;2023;43
09192 Jurisdicción de San Zadornil;Total;2023;68
