Municipios;Sexo;Periodo;Total
10 Cáceres;Total;2023;387.434
10001 Abadía;Total;2023;338
10002 Abertura;Total;2023;377
10003 Acebo;Total;2023;582
10004 Acehúche;Total;2023;802
10005 Aceituna;Total;2023;581
10006 Ahigal;Total;2023;1.361
10903 Alagón del Río;Total;2023;913
10007 Albalá;Total;2023;657
10008 Alcántara;Total;2023;1.348
10009 Alcollarín;Total;2023;255
10010 Alcuéscar;Total;2023;2.459
10012 Aldea del Cano;Total;2023;606
10013 Aldea del Obispo, La;Total;2023;297
10011 Aldeacentenera;Total;2023;597
10014 Aldeanueva de la Vera;Total;2023;2.015
10015 Aldeanueva del Camino;Total;2023;725
10016 Aldehuela de Jerte;Total;2023;362
10017 Alía;Total;2023;755
10018 Aliseda;Total;2023;1.710
10019 Almaraz;Total;2023;1.647
10020 Almoharín;Total;2023;1.799
10021 Arroyo de la Luz;Total;2023;5.565
10023 Arroyomolinos;Total;2023;809
10022 Arroyomolinos de la Vera;Total;2023;425
10024 Baños de Montemayor;Total;2023;735
10025 Barrado;Total;2023;373
10026 Belvís de Monroy;Total;2023;721
10027 Benquerencia;Total;2023;86
10028 Berrocalejo;Total;2023;120
10029 Berzocana;Total;2023;396
10030 Bohonal de Ibor;Total;2023;488
10031 Botija;Total;2023;185
10032 Brozas;Total;2023;1.734
10033 Cabañas del Castillo;Total;2023;400
10034 Cabezabellosa;Total;2023;344
10035 Cabezuela del Valle;Total;2023;2.149
10036 Cabrero;Total;2023;341
10037 Cáceres;Total;2023;96.215
10038 Cachorrilla;Total;2023;92
10039 Cadalso;Total;2023;419
10040 Calzadilla;Total;2023;459
10041 Caminomorisco;Total;2023;1.132
10042 Campillo de Deleitosa;Total;2023;83
10043 Campo Lugar;Total;2023;833
10044 Cañamero;Total;2023;1.615
10045 Cañaveral;Total;2023;1.009
10046 Carbajo;Total;2023;179
10047 Carcaboso;Total;2023;1.078
10048 Carrascalejo;Total;2023;230
10049 Casar de Cáceres;Total;2023;4.431
10050 Casar de Palomero;Total;2023;1.017
10051 Casares de las Hurdes;Total;2023;404
10052 Casas de Don Antonio;Total;2023;191
10053 Casas de Don Gómez;Total;2023;321
10056 Casas de Millán;Total;2023;549
10057 Casas de Miravete;Total;2023;114
10054 Casas del Castañar;Total;2023;579
10055 Casas del Monte;Total;2023;769
10058 Casatejada;Total;2023;1.360
10059 Casillas de Coria;Total;2023;343
10060 Castañar de Ibor;Total;2023;1.013
10061 Ceclavín;Total;2023;1.780
