Municipios;Sexo;Periodo;Total
11 Cádiz;Total;2023;1.250.539
11001 Alcalá de los Gazules;Total;2023;5.205
11002 Alcalá del Valle;Total;2023;4.995
11003 Algar;Total;2023;1.444
11004 Algeciras;Total;2023;123.639
11005 Algodonales;Total;2023;5.498
11006 Arcos de la Frontera;Total;2023;30.953
11007 Barbate;Total;2023;22.811
11008 Barrios, Los;Total;2023;24.219
11901 Benalup-Casas Viejas;Total;2023;7.164
11009 Benaocaz;Total;2023;714
11010 Bornos;Total;2023;7.559
11011 Bosque, El;Total;2023;2.224
11012 Cádiz;Total;2023;111.811
11013 Castellar de la Frontera;Total;2023;3.020
11015 Chiclana de la Frontera;Total;2023;88.709
11016 Chipiona;Total;2023;19.649
11014 Conil de la Frontera;Total;2023;23.661
11017 Espera;Total;2023;3.802
11018 Gastor, El;Total;2023;1.697
11019 Grazalema;Total;2023;2.002
11020 Jerez de la Frontera;Total;2023;213.231
11021 Jimena de la Frontera;Total;2023;6.675
11022 Línea de la Concepción, La;Total;2023;63.773
11023 Medina Sidonia;Total;2023;11.738
11024 Olvera;Total;2023;7.887
11025 Paterna de Rivera;Total;2023;5.441
11026 Prado del Rey;Total;2023;5.634
11027 Puerto de Santa María, El;Total;2023;89.813
11028 Puerto Real;Total;2023;42.069
11029 Puerto Serrano;Total;2023;6.929
11030 Rota;Total;2023;29.675
11031 San Fernando;Total;2023;93.927
11902 San José del Valle;Total;2023;4.486
11903 San Martín del Tesorillo;Total;2023;2.742
11033 San Roque;Total;2023;33.646
11032 Sanlúcar de Barrameda;Total;2023;69.805
11034 Setenil de las Bodegas;Total;2023;2.638
11035 Tarifa;Total;2023;18.621
11036 Torre Alháquime;Total;2023;799
11037 Trebujena;Total;2023;7.000
11038 Ubrique;Total;2023;16.363
11039 Vejer de la Frontera;Total;2023;12.864
11040 Villaluenga del Rosario;Total;2023;480
11041 Villamartín;Total;2023;12.165
11042 Zahara;Total;2023;1.362
