Municipios;Sexo;Periodo;Total
39 Cantabria;Total;2023;588.419
39001 Alfoz de Lloredo;Total;2023;2.471
39002 Ampuero;Total;2023;4.455
39003 Anievas;Total;2023;268
39004 Arenas de Iguña;Total;2023;1.742
39005 Argoños;Total;2023;1.860
39006 Arnuero;Total;2023;2.255
39007 Arredondo;Total;2023;478
39008 Astillero, El;Total;2023;18.220
39009 Bárcena de Cicero;Total;2023;4.653
39010 Bárcena de Pie de Concha;Total;2023;674
39011 Bareyo;Total;2023;2.144
39012 Cabezón de la Sal;Total;2023;8.181
39013 Cabezón de Liébana;Total;2023;565
39014 Cabuérniga;Total;2023;995
39015 Camaleño;Total;2023;963
39016 Camargo;Total;2023;30.349
39027 Campoo de Enmedio;Total;2023;3.763
39017 Campoo de Yuso;Total;2023;680
39018 Cartes;Total;2023;5.800
39019 Castañeda;Total;2023;3.160
39020 Castro-Urdiales;Total;2023;33.225
39021 Cieza;Total;2023;552
39022 Cillorigo de Liébana;Total;2023;1.344
39023 Colindres;Total;2023;8.549
39024 Comillas;Total;2023;2.135
39025 Corrales de Buelna, Los;Total;2023;10.785
39026 Corvera de Toranzo;Total;2023;2.096
39028 Entrambasaguas;Total;2023;5.568
39029 Escalante;Total;2023;749
39030 Guriezo;Total;2023;2.438
39031 Hazas de Cesto;Total;2023;1.782
39032 Hermandad de Campoo de Suso;Total;2023;1.588
39033 Herrerías;Total;2023;600
39034 Lamasón;Total;2023;257
39035 Laredo;Total;2023;10.849
39036 Liendo;Total;2023;1.242
39037 Liérganes;Total;2023;2.397
39038 Limpias;Total;2023;1.975
39039 Luena;Total;2023;622
39040 Marina de Cudeyo;Total;2023;5.148
39041 Mazcuerras;Total;2023;2.083
39042 Medio Cudeyo;Total;2023;7.696
39043 Meruelo;Total;2023;2.230
39044 Miengo;Total;2023;5.199
39045 Miera;Total;2023;393
39046 Molledo;Total;2023;1.476
39047 Noja;Total;2023;2.741
39048 Penagos;Total;2023;2.244
39049 Peñarrubia;Total;2023;316
39050 Pesaguero;Total;2023;282
39051 Pesquera;Total;2023;70
39052 Piélagos;Total;2023;26.605
39053 Polaciones;Total;2023;210
39054 Polanco;Total;2023;6.175
39055 Potes;Total;2023;1.336
39056 Puente Viesgo;Total;2023;2.884
39057 Ramales de la Victoria;Total;2023;3.027
39058 Rasines;Total;2023;975
39059 Reinosa;Total;2023;8.570
39060 Reocín;Total;2023;8.422
39061 Ribamontán al Mar;Total;2023;4.636
39062 Ribamontán al Monte;Total;2023;2.498
39063 Rionansa;Total;2023;1.034
39064 Riotuerto;Total;2023;1.666
39065 Rozas de Valdearroyo, Las;Total;2023;262
39066 Ruente;Total;2023;1.052
39067 Ruesga;Total;2023;809
39068 Ruiloba;Total;2023;778
39069 San Felices de Buelna;Total;2023;2.390
39070 San Miguel de Aguayo;Total;2023;178
39071 San Pedro del Romeral;Total;2023;445
39072 San Roque de Riomiera;Total;2023;351
39080 San Vicente de la Barquera;Total;2023;4.038
39073 Santa Cruz de Bezana;Total;2023;13.689
39074 Santa María de Cayón;Total;2023;9.316
39075 Santander;Total;2023;172.726
39076 Santillana del Mar;Total;2023;4.245
39077 Santiurde de Reinosa;Total;2023;247
39078 Santiurde de Toranzo;Total;2023;1.732
39079 Santoña;Total;2023;10.892
39081 Saro;Total;2023;518
39082 Selaya;Total;2023;1.845
39083 Soba;Total;2023;1.108
39084 Solórzano;Total;2023;1.080
39085 Suances;Total;2023;9.091
39086 Tojos, Los;Total;2023;380
39087 Torrelavega;Total;2023;51.361
39088 Tresviso;Total;2023;58
39089 Tudanca;Total;2023;155
39090 Udías;Total;2023;945
39095 Val de San Vicente;Total;2023;2.783
39091 Valdáliga;Total;2023;2.167
39092 Valdeolea;Total;2023;882
39093 Valdeprado del Río;Total;2023;331
39094 Valderredible;Total;2023;954
39101 Valle de Villaverde;Total;2023;254
39096 Vega de Liébana;Total;2023;702
39097 Vega de Pas;Total;2023;741
39098 Villacarriedo;Total;2023;1.674
39099 Villaescusa;Total;2023;3.949
39100 Villafufre;Total;2023;999
39102 Voto;Total;2023;2.947
