Provincias;Municipios;Sexo;Periodo;Total
12 Castellón/Castelló;;Total;2023;603.952
12 Castellón/Castelló;12002 Aín;Total;2023;130
12 Castellón/Castelló;12003 Albocàsser;Total;2023;1.302
12 Castellón/Castelló;12004 Alcalà de Xivert;Total;2023;7.160
12 Castellón/Castelló;12005 Alcora, l';Total;2023;10.526
12 Castellón/Castelló;12006 Alcudia de Veo;Total;2023;203
12 Castellón/Castelló;12007 Alfondeguilla;Total;2023;873
12 Castellón/Castelló;12008 Algimia de Almonacid;Total;2023;249
12 Castellón/Castelló;12009 Almassora;Total;2023;27.989
12 Castellón/Castelló;12010 Almedíjar;Total;2023;280
12 Castellón/Castelló;12011 Almenara;Total;2023;6.591
12 Castellón/Castelló;12901 Alqueries, les/Alquerías del Niño Perdido;Total;2023;4.539
12 Castellón/Castelló;12012 Altura;Total;2023;3.695
12 Castellón/Castelló;12013 Arañuel;Total;2023;165
12 Castellón/Castelló;12014 Ares del Maestrat;Total;2023;174
12 Castellón/Castelló;12015 Argelita;Total;2023;156
12 Castellón/Castelló;12016 Artana;Total;2023;1.980
12 Castellón/Castelló;12001 Atzeneta del Maestrat;Total;2023;1.319
12 Castellón/Castelló;12017 Ayódar;Total;2023;178
12 Castellón/Castelló;12018 Azuébar;Total;2023;336
12 Castellón/Castelló;12020 Barracas;Total;2023;198
12 Castellón/Castelló;12022 Bejís;Total;2023;409
12 Castellón/Castelló;12024 Benafer;Total;2023;164
12 Castellón/Castelló;12025 Benafigos;Total;2023;135
12 Castellón/Castelló;12026 Benassal;Total;2023;1.026
12 Castellón/Castelló;12027 Benicarló;Total;2023;28.681
12 Castellón/Castelló;12028 Benicàssim/Benicasim;Total;2023;19.951
12 Castellón/Castelló;12029 Benlloc;Total;2023;1.108
12 Castellón/Castelló;12021 Betxí;Total;2023;5.580
12 Castellón/Castelló;12032 Borriana/Burriana;Total;2023;35.750
12 Castellón/Castelló;12031 Borriol;Total;2023;5.865
12 Castellón/Castelló;12033 Cabanes;Total;2023;3.222
12 Castellón/Castelló;12034 Càlig;Total;2023;2.013
12 Castellón/Castelló;12036 Canet lo Roig;Total;2023;685
12 Castellón/Castelló;12037 Castell de Cabres;Total;2023;19
