Municipios;Sexo;Periodo;Total
51 Ceuta;Total;2023;83.039
51 Ceuta;Total;2022;83.117
51 Ceuta;Total;2021;83.517
51 Ceuta;Total;2020;84.202
51 Ceuta;Total;2019;84.777
51 Ceuta;Total;2018;85.144
51 Ceuta;Total;2017;84.959
51 Ceuta;Total;2016;84.519
51 Ceuta;Total;2015;84.263
51 Ceuta;Total;2014;84.963
51 Ceuta;Total;2013;84.180
51 Ceuta;Total;2012;84.018
51 Ceuta;Total;2011;82.376
51 Ceuta;Total;2010;80.579
51 Ceuta;Total;2009;78.674
51 Ceuta;Total;2008;77.389
51 Ceuta;Total;2007;76.603
51 Ceuta;Total;2006;75.861
51 Ceuta;Total;2005;75.276
51 Ceuta;Total;2004;74.654
51 Ceuta;Total;2003;74.931
51 Ceuta;Total;2002;76.152
51 Ceuta;Total;2001;75.694
51 Ceuta;Total;2000;75.241
51 Ceuta;Total;1999;73.704
51 Ceuta;Total;1998;72.117
51 Ceuta;Total;1997;""
51 Ceuta;Total;1996;68.796
51 Ceuta;Hombres;2023;41.894
51 Ceuta;Hombres;2022;41.927
51 Ceuta;Hombres;2021;42.208
51 Ceuta;Hombres;2020;42.542
51 Ceuta;Hombres;2019;42.912
51 Ceuta;Hombres;2018;43.177
51 Ceuta;Hombres;2017;43.034
51 Ceuta;Hombres;2016;42.846
51 Ceuta;Hombres;2015;42.757
51 Ceuta;Hombres;2014;43.354
51 Ceuta;Hombres;2013;43.060
51 Ceuta;Hombres;2012;42.948
51 Ceuta;Hombres;2011;42.165
51 Ceuta;Hombres;2010;41.269
51 Ceuta;Hombres;2009;40.118
51 Ceuta;Hombres;2008;39.385
51 Ceuta;Hombres;2007;38.913
51 Ceuta;Hombres;2006;38.581
51 Ceuta;Hombres;2005;38.315
51 Ceuta;Hombres;2004;38.113
51 Ceuta;Hombres;2003;38.395
51 Ceuta;Hombres;2002;39.195
51 Ceuta;Hombres;2001;38.884
51 Ceuta;Hombres;2000;38.497
51 Ceuta;Hombres;1999;37.115
51 Ceuta;Hombres;1998;36.102
51 Ceuta;Hombres;1997;""
51 Ceuta;Hombres;1996;34.229
51 Ceuta;Mujeres;2023;41.145
51 Ceuta;Mujeres;2022;41.190
51 Ceuta;Mujeres;2021;41.309
51 Ceuta;Mujeres;2020;41.660
51 Ceuta;Mujeres;2019;41.865
51 Ceuta;Mujeres;2018;41.967
51 Ceuta;Mujeres;2017;41.925
51 Ceuta;Mujeres;2016;41.673
51 Ceuta;Mujeres;2015;41.506
51 Ceuta;Mujeres;2014;41.609
51 Ceuta;Mujeres;2013;41.120
51 Ceuta;Mujeres;2012;41.070
51 Ceuta;Mujeres;2011;40.211
51 Ceuta;Mujeres;2010;39.310
51 Ceuta;Mujeres;2009;38.556
51 Ceuta;Mujeres;2008;38.004
51 Ceuta;Mujeres;2007;37.690
51 Ceuta;Mujeres;2006;37.280
51 Ceuta;Mujeres;2005;36.961
51 Ceuta;Mujeres;2004;36.541
51 Ceuta;Mujeres;2003;36.536
51 Ceuta;Mujeres;2002;36.957
51 Ceuta;Mujeres;2001;36.810
51 Ceuta;Mujeres;2000;36.744
51 Ceuta;Mujeres;1999;36.589
51 Ceuta;Mujeres;1998;36.015
51 Ceuta;Mujeres;1997;""
51 Ceuta;Mujeres;1996;34.567
51001 Ceuta;Total;2023;83.039
51001 Ceuta;Total;2022;83.117
51001 Ceuta;Total;2021;83.517
51001 Ceuta;Total;2020;84.202
51001 Ceuta;Total;2019;84.777
51001 Ceuta;Total;2018;85.144
51001 Ceuta;Total;2017;84.959
51001 Ceuta;Total;2016;84.519
51001 Ceuta;Total;2015;84.263
51001 Ceuta;Total;2014;84.963
51001 Ceuta;Total;2013;84.180
51001 Ceuta;Total;2012;84.018
51001 Ceuta;Total;2011;82.376
51001 Ceuta;Total;2010;80.579
51001 Ceuta;Total;2009;78.674
51001 Ceuta;Total;2008;77.389
51001 Ceuta;Total;2007;76.603
51001 Ceuta;Total;2006;75.861
51001 Ceuta;Total;2005;75.276
51001 Ceuta;Total;2004;74.654
51001 Ceuta;Total;2003;74.931
51001 Ceuta;Total;2002;76.152
51001 Ceuta;Total;2001;75.694
51001 Ceuta;Total;2000;75.241
51001 Ceuta;Total;1999;73.704
51001 Ceuta;Total;1998;72.117
51001 Ceuta;Total;1997;""
51001 Ceuta;Total;1996;68.796
51001 Ceuta;Hombres;2023;41.894
51001 Ceuta;Hombres;2022;41.927
51001 Ceuta;Hombres;2021;42.208
51001 Ceuta;Hombres;2020;42.542
51001 Ceuta;Hombres;2019;42.912
51001 Ceuta;Hombres;2018;43.177
51001 Ceuta;Hombres;2017;43.034
51001 Ceuta;Hombres;2016;42.846
51001 Ceuta;Hombres;2015;42.757
51001 Ceuta;Hombres;2014;43.354
51001 Ceuta;Hombres;2013;43.060
51001 Ceuta;Hombres;2012;42.948
51001 Ceuta;Hombres;2011;42.165
51001 Ceuta;Hombres;2010;41.269
51001 Ceuta;Hombres;2009;40.118
51001 Ceuta;Hombres;2008;39.385
51001 Ceuta;Hombres;2007;38.913
51001 Ceuta;Hombres;2006;38.581
51001 Ceuta;Hombres;2005;38.315
51001 Ceuta;Hombres;2004;38.113
51001 Ceuta;Hombres;2003;38.395
51001 Ceuta;Hombres;2002;39.195
51001 Ceuta;Hombres;2001;38.884
51001 Ceuta;Hombres;2000;38.497
51001 Ceuta;Hombres;1999;37.115
51001 Ceuta;Hombres;1998;36.102
51001 Ceuta;Hombres;1997;""
51001 Ceuta;Hombres;1996;34.229
51001 Ceuta;Mujeres;2023;41.145
51001 Ceuta;Mujeres;2022;41.190
51001 Ceuta;Mujeres;2021;41.309
51001 Ceuta;Mujeres;2020;41.660
51001 Ceuta;Mujeres;2019;41.865
51001 Ceuta;Mujeres;2018;41.967
51001 Ceuta;Mujeres;2017;41.925
51001 Ceuta;Mujeres;2016;41.673
51001 Ceuta;Mujeres;2015;41.506
51001 Ceuta;Mujeres;2014;41.609
51001 Ceuta;Mujeres;2013;41.120
51001 Ceuta;Mujeres;2012;41.070
51001 Ceuta;Mujeres;2011;40.211
51001 Ceuta;Mujeres;2010;39.310
51001 Ceuta;Mujeres;2009;38.556
51001 Ceuta;Mujeres;2008;38.004
51001 Ceuta;Mujeres;2007;37.690
51001 Ceuta;Mujeres;2006;37.280
51001 Ceuta;Mujeres;2005;36.961
51001 Ceuta;Mujeres;2004;36.541
51001 Ceuta;Mujeres;2003;36.536
51001 Ceuta;Mujeres;2002;36.957
51001 Ceuta;Mujeres;2001;36.810
51001 Ceuta;Mujeres;2000;36.744
51001 Ceuta;Mujeres;1999;36.589
51001 Ceuta;Mujeres;1998;36.015
51001 Ceuta;Mujeres;1997;""
51001 Ceuta;Mujeres;1996;34.567
