Municipios;Sexo;Periodo;Total
13 Ciudad Real;Total;2023;491.127
13001 Abenójar;Total;2023;1.328
13002 Agudo;Total;2023;1.611
13003 Alamillo;Total;2023;469
13004 Albaladejo;Total;2023;1.046
13005 Alcázar de San Juan;Total;2023;30.928
13006 Alcoba;Total;2023;551
13007 Alcolea de Calatrava;Total;2023;1.382
13008 Alcubillas;Total;2023;445
13009 Aldea del Rey;Total;2023;1.573
13010 Alhambra;Total;2023;967
13011 Almadén;Total;2023;4.968
13012 Almadenejos;Total;2023;397
13013 Almagro;Total;2023;8.958
13014 Almedina;Total;2023;485
13015 Almodóvar del Campo;Total;2023;5.788
13016 Almuradiel;Total;2023;746
13017 Anchuras;Total;2023;268
13903 Arenales de San Gregorio;Total;2023;597
13018 Arenas de San Juan;Total;2023;1.022
13019 Argamasilla de Alba;Total;2023;6.888
13020 Argamasilla de Calatrava;Total;2023;5.801
13021 Arroba de los Montes;Total;2023;415
13022 Ballesteros de Calatrava;Total;2023;371
13023 Bolaños de Calatrava;Total;2023;11.991
13024 Brazatortas;Total;2023;1.007
13025 Cabezarados;Total;2023;303
13026 Cabezarrubias del Puerto;Total;2023;494
13027 Calzada de Calatrava;Total;2023;3.779
13028 Campo de Criptana;Total;2023;12.960
13029 Cañada de Calatrava;Total;2023;101
13030 Caracuel de Calatrava;Total;2023;137
13031 Carrión de Calatrava;Total;2023;3.184
13032 Carrizosa;Total;2023;1.137
13033 Castellar de Santiago;Total;2023;1.803
13038 Chillón;Total;2023;1.772
13034 Ciudad Real;Total;2023;75.303
13035 Corral de Calatrava;Total;2023;1.113
13036 Cortijos, Los;Total;2023;857
13037 Cózar;Total;2023;933
13039 Daimiel;Total;2023;17.629
13040 Fernán Caballero;Total;2023;984
13041 Fontanarejo;Total;2023;237
13042 Fuencaliente;Total;2023;1.008
13043 Fuenllana;Total;2023;204
13044 Fuente el Fresno;Total;2023;3.072
13045 Granátula de Calatrava;Total;2023;696
13046 Guadalmez;Total;2023;715
13047 Herencia;Total;2023;8.385
13048 Hinojosas de Calatrava;Total;2023;497
13049 Horcajo de los Montes;Total;2023;789
13050 Labores, Las;Total;2023;546
13904 Llanos del Caudillo;Total;2023;681
13051 Luciana;Total;2023;371
13052 Malagón;Total;2023;7.745
13053 Manzanares;Total;2023;17.732
13054 Membrilla;Total;2023;5.825
13055 Mestanza;Total;2023;663
13056 Miguelturra;Total;2023;15.769
13057 Montiel;Total;2023;1.225
13058 Moral de Calatrava;Total;2023;5.109
13059 Navalpino;Total;2023;207
13060 Navas de Estena;Total;2023;286
13061 Pedro Muñoz;Total;2023;7.480
13062 Picón;Total;2023;679
13063 Piedrabuena;Total;2023;4.352
13064 Poblete;Total;2023;2.863
13065 Porzuna;Total;2023;3.509
13066 Pozuelo de Calatrava;Total;2023;3.709
13067 Pozuelos de Calatrava, Los;Total;2023;368
13068 Puebla de Don Rodrigo;Total;2023;1.108
13069 Puebla del Príncipe;Total;2023;658
13070 Puerto Lápice;Total;2023;883
13071 Puertollano;Total;2023;45.127
13072 Retuerta del Bullaque;Total;2023;880
13901 Robledo, El;Total;2023;1.061
13902 Ruidera;Total;2023;540
13073 Saceruela;Total;2023;530
13074 San Carlos del Valle;Total;2023;1.082
13075 San Lorenzo de Calatrava;Total;2023;199
13076 Santa Cruz de los Cáñamos;Total;2023;491
13077 Santa Cruz de Mudela;Total;2023;3.872
13078 Socuéllamos;Total;2023;12.123
13080 Solana del Pino;Total;2023;329
13079 Solana, La;Total;2023;15.242
13081 Terrinches;Total;2023;600
13082 Tomelloso;Total;2023;36.304
13083 Torralba de Calatrava;Total;2023;3.057
13084 Torre de Juan Abad;Total;2023;970
13085 Torrenueva;Total;2023;2.651
13086 Valdemanco del Esteras;Total;2023;161
13087 Valdepeñas;Total;2023;30.411
13088 Valenzuela de Calatrava;Total;2023;654
13089 Villahermosa;Total;2023;1.718
13090 Villamanrique;Total;2023;1.084
13091 Villamayor de Calatrava;Total;2023;638
13092 Villanueva de la Fuente;Total;2023;1.923
13093 Villanueva de los Infantes;Total;2023;4.775
13094 Villanueva de San Carlos;Total;2023;277
13095 Villar del Pozo;Total;2023;54
13096 Villarrubia de los Ojos;Total;2023;9.667
13097 Villarta de San Juan;Total;2023;2.710
13098 Viso del Marqués;Total;2023;2.135
