Municipios;Sexo;Periodo;Total
14 Córdoba;Total;2023;773.997
14001 Adamuz;Total;2023;4.092
14002 Aguilar de la Frontera;Total;2023;13.282
14003 Alcaracejos;Total;2023;1.493
14004 Almedinilla;Total;2023;2.340
14005 Almodóvar del Río;Total;2023;7.995
14006 Añora;Total;2023;1.507
14007 Baena;Total;2023;18.533
14008 Belalcázar;Total;2023;3.138
14009 Belmez;Total;2023;2.802
14010 Benamejí;Total;2023;4.979
14011 Blázquez, Los;Total;2023;643
14012 Bujalance;Total;2023;7.186
14013 Cabra;Total;2023;20.070
14014 Cañete de las Torres;Total;2023;2.829
14015 Carcabuey;Total;2023;2.318
14016 Cardeña;Total;2023;1.437
14017 Carlota, La;Total;2023;14.258
14018 Carpio, El;Total;2023;4.327
14019 Castro del Río;Total;2023;7.665
14020 Conquista;Total;2023;371
14021 Córdoba;Total;2023;323.763
14022 Doña Mencía;Total;2023;4.511
14023 Dos Torres;Total;2023;2.383
14024 Encinas Reales;Total;2023;2.252
14025 Espejo;Total;2023;3.209
14026 Espiel;Total;2023;2.386
14027 Fernán-Núñez;Total;2023;9.611
14901 Fuente Carreteros;Total;2023;1.089
14028 Fuente la Lancha;Total;2023;354
14029 Fuente Obejuna;Total;2023;4.415
14030 Fuente Palmera;Total;2023;9.850
14031 Fuente-Tójar;Total;2023;692
14032 Granjuela, La;Total;2023;410
14033 Guadalcázar;Total;2023;1.533
14902 Guijarrosa, La;Total;2023;1.336
14034 Guijo, El;Total;2023;341
14035 Hinojosa del Duque;Total;2023;6.579
14036 Hornachuelos;Total;2023;4.415
14037 Iznájar;Total;2023;3.804
14038 Lucena;Total;2023;42.813
14039 Luque;Total;2023;2.860
14040 Montalbán de Córdoba;Total;2023;4.465
14041 Montemayor;Total;2023;3.872
14042 Montilla;Total;2023;22.298
14043 Montoro;Total;2023;9.125
14044 Monturque;Total;2023;1.929
14045 Moriles;Total;2023;3.658
14046 Nueva Carteya;Total;2023;5.317
14047 Obejo;Total;2023;2.076
14048 Palenciana;Total;2023;1.441
14049 Palma del Río;Total;2023;20.688
14050 Pedro Abad;Total;2023;2.775
14051 Pedroche;Total;2023;1.485
14052 Peñarroya-Pueblonuevo;Total;2023;10.317
14053 Posadas;Total;2023;7.256
14054 Pozoblanco;Total;2023;16.946
14055 Priego de Córdoba;Total;2023;22.003
14056 Puente Genil;Total;2023;29.781
14057 Rambla, La;Total;2023;7.473
14058 Rute;Total;2023;9.779
14059 San Sebastián de los Ballesteros;Total;2023;833
14061 Santa Eufemia;Total;2023;710
14060 Santaella;Total;2023;4.640
14062 Torrecampo;Total;2023;1.003
14063 Valenzuela;Total;2023;1.045
14064 Valsequillo;Total;2023;356
14065 Victoria, La;Total;2023;2.312
14066 Villa del Río;Total;2023;6.882
14067 Villafranca de Córdoba;Total;2023;4.866
14068 Villaharta;Total;2023;628
14069 Villanueva de Córdoba;Total;2023;8.460
14070 Villanueva del Duque;Total;2023;1.406
14071 Villanueva del Rey;Total;2023;1.000
14072 Villaralto;Total;2023;1.088
14073 Villaviciosa de Córdoba;Total;2023;3.085
14074 Viso, El;Total;2023;2.507
14075 Zuheros;Total;2023;621
