Municipios;Sexo;Periodo;Total
15 Coruña, A;Total;2023;1.123.426
15001 Abegondo;Total;2023;5.584
15002 Ames;Total;2023;32.482
15003 Aranga;Total;2023;1.815
15004 Ares;Total;2023;6.132
15005 Arteixo;Total;2023;33.516
15006 Arzúa;Total;2023;5.901
15007 Baña, A;Total;2023;3.332
15008 Bergondo;Total;2023;6.951
15009 Betanzos;Total;2023;13.082
15010 Boimorto;Total;2023;1.849
15011 Boiro;Total;2023;18.984
15012 Boqueixón;Total;2023;4.146
15013 Brión;Total;2023;8.145
15014 Cabana de Bergantiños;Total;2023;4.123
15015 Cabanas;Total;2023;3.300
15016 Camariñas;Total;2023;5.151
15017 Cambre;Total;2023;24.739
15018 Capela, A;Total;2023;1.185
15019 Carballo;Total;2023;31.416
15901 Cariño;Total;2023;3.769
15020 Carnota;Total;2023;3.815
15021 Carral;Total;2023;6.700
15022 Cedeira;Total;2023;6.529
15023 Cee;Total;2023;7.660
15024 Cerceda;Total;2023;5.058
15025 Cerdido;Total;2023;1.033
15026 Cesuras;Total;2023;""
15027 Coirós;Total;2023;1.923
15028 Corcubión;Total;2023;1.647
15029 Coristanco;Total;2023;5.779
15030 Coruña, A;Total;2023;247.376
15031 Culleredo;Total;2023;30.864
15032 Curtis;Total;2023;4.135
15033 Dodro;Total;2023;2.659
15034 Dumbría;Total;2023;2.856
15035 Fene;Total;2023;12.561
15036 Ferrol;Total;2023;63.890
15037 Fisterra;Total;2023;4.697
15038 Frades;Total;2023;2.246
15039 Irixoa;Total;2023;1.316
15041 Laracha, A;Total;2023;11.543
15040 Laxe;Total;2023;2.939
15042 Lousame;Total;2023;3.145
15043 Malpica de Bergantiños;Total;2023;5.241
15044 Mañón;Total;2023;1.244
15045 Mazaricos;Total;2023;3.737
15046 Melide;Total;2023;7.553
15047 Mesía;Total;2023;2.418
15048 Miño;Total;2023;6.753
15049 Moeche;Total;2023;1.206
15050 Monfero;Total;2023;1.838
15051 Mugardos;Total;2023;5.228
15053 Muros;Total;2023;8.251
15052 Muxía;Total;2023;4.450
15054 Narón;Total;2023;39.051
15055 Neda;Total;2023;4.910
15056 Negreira;Total;2023;6.901
15057 Noia;Total;2023;14.115
15058 Oleiros;Total;2023;37.809
15059 Ordes;Total;2023;12.669
15060 Oroso;Total;2023;7.622
15061 Ortigueira;Total;2023;5.477
15062 Outes;Total;2023;6.082
15063 Oza dos Ríos;Total;2023;""
15902 Oza-Cesuras;Total;2023;5.203
15064 Paderne;Total;2023;2.436
15065 Padrón;Total;2023;8.355
15066 Pino, O;Total;2023;4.553
15067 Pobra do Caramiñal, A;Total;2023;9.227
15068 Ponteceso;Total;2023;5.399
15069 Pontedeume;Total;2023;7.520
15070 Pontes de García Rodríguez, As;Total;2023;9.867
15071 Porto do Son;Total;2023;9.125
15072 Rianxo;Total;2023;10.854
15073 Ribeira;Total;2023;27.030
15074 Rois;Total;2023;4.397
15075 Sada;Total;2023;16.874
15076 San Sadurniño;Total;2023;2.751
15077 Santa Comba;Total;2023;9.342
15078 Santiago de Compostela;Total;2023;98.687
15079 Santiso;Total;2023;1.473
15080 Sobrado;Total;2023;1.777
15081 Somozas, As;Total;2023;1.068
15082 Teo;Total;2023;19.034
15083 Toques;Total;2023;1.074
15084 Tordoia;Total;2023;3.168
15085 Touro;Total;2023;3.382
15086 Trazo;Total;2023;3.019
15088 Val do Dubra;Total;2023;3.761
15087 Valdoviño;Total;2023;6.889
15089 Vedra;Total;2023;5.019
15091 Vilarmaior;Total;2023;1.234
15090 Vilasantar;Total;2023;1.232
15092 Vimianzo;Total;2023;6.840
15093 Zas;Total;2023;4.308
