Municipios;Sexo;Periodo;Total
16 Cuenca;Total;2023;197.139
16001 Abia de la Obispalía;Total;2023;61
16002 Acebrón, El;Total;2023;226
16003 Alarcón;Total;2023;172
16004 Albaladejo del Cuende;Total;2023;225
16005 Albalate de las Nogueras;Total;2023;267
16006 Albendea;Total;2023;118
16007 Alberca de Záncara, La;Total;2023;1.553
16008 Alcalá de la Vega;Total;2023;79
16009 Alcantud;Total;2023;53
16010 Alcázar del Rey;Total;2023;159
16011 Alcohujate;Total;2023;19
16012 Alconchel de la Estrella;Total;2023;77
16013 Algarra;Total;2023;29
16014 Aliaguilla;Total;2023;620
16015 Almarcha, La;Total;2023;434
16016 Almendros;Total;2023;244
16017 Almodóvar del Pinar;Total;2023;398
16018 Almonacid del Marquesado;Total;2023;434
16019 Altarejos;Total;2023;210
16020 Arandilla del Arroyo;Total;2023;11
16905 Arcas;Total;2023;2.094
16022 Arcos de la Sierra;Total;2023;77
16024 Arguisuelas;Total;2023;133
16025 Arrancacepas;Total;2023;16
16026 Atalaya del Cañavate;Total;2023;105
16027 Barajas de Melo;Total;2023;1.012
16029 Barchín del Hoyo;Total;2023;92
16030 Bascuñana de San Pedro;Total;2023;24
16031 Beamud;Total;2023;52
16032 Belinchón;Total;2023;398
16033 Belmonte;Total;2023;1.782
16034 Belmontejo;Total;2023;135
16035 Beteta;Total;2023;235
16036 Boniches;Total;2023;145
16038 Buciegas;Total;2023;38
16039 Buenache de Alarcón;Total;2023;453
16040 Buenache de la Sierra;Total;2023;114
16041 Buendía;Total;2023;418
16042 Campillo de Altobuey;Total;2023;1.287
16043 Campillos-Paravientos;Total;2023;105
16044 Campillos-Sierra;Total;2023;29
16901 Campos del Paraíso;Total;2023;672
16045 Canalejas del Arroyo;Total;2023;169
16046 Cañada del Hoyo;Total;2023;244
16047 Cañada Juncosa;Total;2023;217
16048 Cañamares;Total;2023;449
16049 Cañavate, El;Total;2023;138
16050 Cañaveras;Total;2023;229
16051 Cañaveruelas;Total;2023;116
16052 Cañete;Total;2023;804
16053 Cañizares;Total;2023;442
16055 Carboneras de Guadazaón;Total;2023;774
16056 Cardenete;Total;2023;474
16057 Carrascosa;Total;2023;67
16058 Carrascosa de Haro;Total;2023;96
16060 Casas de Benítez;Total;2023;809
16061 Casas de Fernando Alonso;Total;2023;1.132
16062 Casas de Garcimolina;Total;2023;34
16063 Casas de Guijarro;Total;2023;110
16064 Casas de Haro;Total;2023;848
16065 Casas de los Pinos;Total;2023;419
16066 Casasimarro;Total;2023;3.157
16067 Castejón;Total;2023;117
16068 Castillejo de Iniesta;Total;2023;107
16070 Castillejo-Sierra;Total;2023;35
16072 Castillo de Garcimuñoz;Total;2023;131
16071 Castillo-Albaráñez;Total;2023;23
16073 Cervera del Llano;Total;2023;210
16023 Chillarón de Cuenca;Total;2023;771
16081 Chumillas;Total;2023;61
16074 Cierva, La;Total;2023;38
16078 Cuenca;Total;2023;53.512
16079 Cueva del Hierro;Total;2023;29
16082 Enguídanos;Total;2023;315
16083 Fresneda de Altarejos;Total;2023;37
16084 Fresneda de la Sierra;Total;2023;40
16085 Frontera, La;Total;2023;146
16086 Fuente de Pedro Naharro;Total;2023;1.234
16087 Fuentelespino de Haro;Total;2023;239
16088 Fuentelespino de Moya;Total;2023;107
16904 Fuentenava de Jábaga;Total;2023;579
16089 Fuentes;Total;2023;463
16091 Fuertescusa;Total;2023;70
16092 Gabaldón;Total;2023;156
16093 Garaballa;Total;2023;62
16094 Gascueña;Total;2023;140
16095 Graja de Campalbo;Total;2023;89
16096 Graja de Iniesta;Total;2023;357
16097 Henarejos;Total;2023;134
16098 Herrumblar, El;Total;2023;756
16099 Hinojosa, La;Total;2023;191
16100 Hinojosos, Los;Total;2023;731
16101 Hito, El;Total;2023;145
16102 Honrubia;Total;2023;1.554
16103 Hontanaya;Total;2023;256
16104 Hontecillas;Total;2023;55
16106 Horcajo de Santiago;Total;2023;3.671
16107 Huélamo;Total;2023;76
16108 Huelves;Total;2023;89
16109 Huérguina;Total;2023;48
16110 Huerta de la Obispalía;Total;2023;140
16111 Huerta del Marquesado;Total;2023;177
16112 Huete;Total;2023;1.708
16113 Iniesta;Total;2023;4.453
16115 Laguna del Marquesado;Total;2023;57
16116 Lagunaseca;Total;2023;49
16117 Landete;Total;2023;1.230
16118 Ledaña;Total;2023;1.622
16119 Leganiel;Total;2023;220
16121 Majadas, Las;Total;2023;225
16122 Mariana;Total;2023;319
16123 Masegosa;Total;2023;65
16124 Mesas, Las;Total;2023;2.276
16125 Minglanilla;Total;2023;2.280
16126 Mira;Total;2023;912
16128 Monreal del Llano;Total;2023;46
16129 Montalbanejo;Total;2023;87
16130 Montalbo;Total;2023;697
16131 Monteagudo de las Salinas;Total;2023;134
16132 Mota de Altarejos;Total;2023;29
