Municipios;Sexo;Periodo;Total
20 Gipuzkoa;Total;2023;728.027
20001 Abaltzisketa;Total;2023;326
20002 Aduna;Total;2023;506
20016 Aia;Total;2023;2.136
20003 Aizarnazabal;Total;2023;771
20004 Albiztur;Total;2023;325
20005 Alegia;Total;2023;1.771
20006 Alkiza;Total;2023;371
20906 Altzaga;Total;2023;173
20007 Altzo;Total;2023;448
20008 Amezketa;Total;2023;937
20009 Andoain;Total;2023;14.555
20010 Anoeta;Total;2023;2.095
20011 Antzuola;Total;2023;2.082
20012 Arama;Total;2023;189
20013 Aretxabaleta;Total;2023;7.155
20055 Arrasate/Mondragón;Total;2023;21.867
20014 Asteasu;Total;2023;1.546
20903 Astigarraga;Total;2023;7.666
20015 Ataun;Total;2023;1.694
20017 Azkoitia;Total;2023;11.636
20018 Azpeitia;Total;2023;15.183
20904 Baliarrain;Total;2023;149
20019 Beasain;Total;2023;13.970
20020 Beizama;Total;2023;134
20021 Belauntza;Total;2023;286
20022 Berastegi;Total;2023;1.083
20074 Bergara;Total;2023;14.487
20023 Berrobi;Total;2023;575
20024 Bidania-Goiatz;Total;2023;538
20029 Deba;Total;2023;5.393
20069 Donostia/San Sebastián;Total;2023;188.743
20030 Eibar;Total;2023;27.234
20031 Elduain;Total;2023;237
20033 Elgeta;Total;2023;1.119
20032 Elgoibar;Total;2023;11.500
20067 Errenteria;Total;2023;39.231
20066 Errezil;Total;2023;582
20034 Eskoriatza;Total;2023;4.194
20035 Ezkio-Itsaso;Total;2023;604
20038 Gabiria;Total;2023;506
20037 Gaintza;Total;2023;124
20907 Gaztelu;Total;2023;168
20039 Getaria;Total;2023;2.868
20040 Hernani;Total;2023;20.527
20041 Hernialde;Total;2023;313
20036 Hondarribia;Total;2023;16.887
20042 Ibarra;Total;2023;4.130
20043 Idiazabal;Total;2023;2.275
20044 Ikaztegieta;Total;2023;487
20045 Irun;Total;2023;62.920
20046 Irura;Total;2023;1.887
20047 Itsasondo;Total;2023;656
20048 Larraul;Total;2023;257
20902 Lasarte-Oria;Total;2023;19.133
20049 Lazkao;Total;2023;6.013
20050 Leaburu;Total;2023;394
20051 Legazpi;Total;2023;8.341
20052 Legorreta;Total;2023;1.464
20068 Leintz-Gatzaga;Total;2023;194
20053 Lezo;Total;2023;6.008
20054 Lizartza;Total;2023;637
20901 Mendaro;Total;2023;2.010
20057 Mutiloa;Total;2023;262
20056 Mutriku;Total;2023;5.313
20063 Oiartzun;Total;2023;10.331
20058 Olaberria;Total;2023;918
20059 Oñati;Total;2023;11.567
20076 Ordizia;Total;2023;10.641
20905 Orendain;Total;2023;240
20060 Orexa;Total;2023;108
20061 Orio;Total;2023;6.125
20062 Ormaiztegi;Total;2023;1.228
20064 Pasaia;Total;2023;15.857
20070 Segura;Total;2023;1.460
20065 Soraluze-Placencia de las Armas;Total;2023;3.751
20071 Tolosa;Total;2023;20.065
20072 Urnieta;Total;2023;6.200
20077 Urretxu;Total;2023;6.739
20073 Usurbil;Total;2023;6.345
20075 Villabona;Total;2023;5.826
20078 Zaldibia;Total;2023;1.735
20079 Zarautz;Total;2023;23.152
20025 Zegama;Total;2023;1.542
20026 Zerain;Total;2023;280
20027 Zestoa;Total;2023;3.785
20028 Zizurkil;Total;2023;2.975
20081 Zumaia;Total;2023;10.211
20080 Zumarraga;Total;2023;9.681
