Municipios;Sexo;Periodo;Total
17 Girona;Total;2023;809.266
17001 Agullana;Total;2023;923
17002 Aiguaviva;Total;2023;770
17003 Albanyà;Total;2023;171
17004 Albons;Total;2023;819
17006 Alp;Total;2023;1.719
17007 Amer;Total;2023;2.423
17008 Anglès;Total;2023;5.884
17009 Arbúcies;Total;2023;6.531
17010 Argelaguer;Total;2023;428
17011 Armentera, L';Total;2023;1.061
17012 Avinyonet de Puigventós;Total;2023;1.681
17015 Banyoles;Total;2023;20.506
17016 Bàscara;Total;2023;1.059
17013 Begur;Total;2023;4.216
17018 Bellcaire d'Empordà;Total;2023;730
17019 Besalú;Total;2023;2.518
17020 Bescanó;Total;2023;5.178
17021 Beuda;Total;2023;212
17022 Bisbal d'Empordà, La;Total;2023;11.383
17234 Biure;Total;2023;240
17023 Blanes;Total;2023;41.653
17029 Boadella i les Escaules;Total;2023;262
17024 Bolvir;Total;2023;506
17025 Bordils;Total;2023;1.794
17026 Borrassà;Total;2023;797
17027 Breda;Total;2023;3.898
17028 Brunyola i Sant Martí Sapresa;Total;2023;398
17031 Cabanelles;Total;2023;276
17030 Cabanes;Total;2023;941
17032 Cadaqués;Total;2023;2.912
17033 Caldes de Malavella;Total;2023;8.418
17034 Calonge i Sant Antoni;Total;2023;12.043
17035 Camós;Total;2023;719
17036 Campdevànol;Total;2023;3.212
17037 Campelles;Total;2023;164
17038 Campllong;Total;2023;535
17039 Camprodon;Total;2023;2.487
17040 Canet d'Adri;Total;2023;749
17041 Cantallops;Total;2023;325
17042 Capmany;Total;2023;668
17044 Cassà de la Selva;Total;2023;10.836
17046 Castellfollit de la Roca;Total;2023;941
17047 Castelló d'Empúries;Total;2023;11.731
17048 Castell-Platja d'Aro;Total;2023;12.566
17189 Cellera de Ter, La;Total;2023;2.012
17049 Celrà;Total;2023;5.486
17050 Cervià de Ter;Total;2023;1.007
17051 Cistella;Total;2023;298
17054 Colera;Total;2023;479
17055 Colomers;Total;2023;207
17057 Corçà;Total;2023;1.295
17056 Cornellà del Terri;Total;2023;2.401
17058 Crespià;Total;2023;242
17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Total;2023;1.323
17060 Darnius;Total;2023;546
17061 Das;Total;2023;257
17062 Escala, L';Total;2023;10.478
17063 Espinelves;Total;2023;248
17064 Espolla;Total;2023;409
17065 Esponellà;Total;2023;467
17005 Far d'Empordà, El;Total;2023;612
17066 Figueres;Total;2023;47.879
17067 Flaçà;Total;2023;1.155
17068 Foixà;Total;2023;292
17069 Fontanals de Cerdanya;Total;2023;533
17070 Fontanilles;Total;2023;170
17071 Fontcoberta;Total;2023;1.439
17902 Forallac;Total;2023;1.752
17073 Fornells de la Selva;Total;2023;2.732
17074 Fortià;Total;2023;786
17075 Garrigàs;Total;2023;463
17076 Garrigoles;Total;2023;190
17077 Garriguella;Total;2023;972
17078 Ger;Total;2023;507
17079 Girona;Total;2023;104.320
17080 Gombrèn;Total;2023;200
17081 Gualta;Total;2023;430
17082 Guils de Cerdanya;Total;2023;598
17083 Hostalric;Total;2023;4.410
17084 Isòvol;Total;2023;341
17085 Jafre;Total;2023;388
17086 Jonquera, La;Total;2023;3.387
17087 Juià;Total;2023;335
17088 Lladó;Total;2023;849
17089 Llagostera;Total;2023;9.208
17090 Llambilles;Total;2023;715
17091 Llanars;Total;2023;536
17092 Llançà;Total;2023;4.839
17093 Llers;Total;2023;1.216
17094 Llívia;Total;2023;1.506
17095 Lloret de Mar;Total;2023;41.559
17096 Llosses, Les;Total;2023;203
17102 Maçanet de Cabrenys;Total;2023;750
17103 Maçanet de la Selva;Total;2023;7.823
17097 Madremanya;Total;2023;294
17098 Maià de Montcal;Total;2023;466
17100 Masarac;Total;2023;299
17101 Massanes;Total;2023;832
17099 Meranges;Total;2023;114
17105 Mieres;Total;2023;353
17106 Mollet de Peralada;Total;2023;215
17107 Molló;Total;2023;376
17109 Montagut i Oix;Total;2023;979
17110 Mont-ras;Total;2023;1.671
17111 Navata;Total;2023;1.465
17112 Ogassa;Total;2023;228
17114 Olot;Total;2023;37.975
17115 Ordis;Total;2023;393
17116 Osor;Total;2023;420
17117 Palafrugell;Total;2023;23.848
17118 Palamós;Total;2023;18.293
17119 Palau de Santa Eulàlia;Total;2023;128
17121 Palau-sator;Total;2023;314
17120 Palau-saverdera;Total;2023;1.495
17123 Palol de Revardit;Total;2023;469
17124 Pals;Total;2023;2.539
17125 Pardines;Total;2023;169
17126 Parlavà;Total;2023;413
17128 Pau;Total;2023;555
17129 Pedret i Marzà;Total;2023;182
17130 Pera, La;Total;2023;450
17132 Peralada;Total;2023;2.018
17133 Planes d'Hostoles, Les;Total;2023;1.756
17134 Planoles;Total;2023;315
17135 Pont de Molins;Total;2023;557
17136 Pontós;Total;2023;281
17137 Porqueres;Total;2023;4.723
17140 Port de la Selva, El;Total;2023;1.045
17138 Portbou;Total;2023;1.066
17139 Preses, Les;Total;2023;1.903
17141 Puigcerdà;Total;2023;9.764
17142 Quart;Total;2023;4.026
17043 Queralbs;Total;2023;197
17143 Rabós;Total;2023;203
17144 Regencós;Total;2023;269
17145 Ribes de Freser;Total;2023;1.839
17146 Riells i Viabrea;Total;2023;4.426
