Municipios;Sexo;Periodo;Total
18 Granada;Total;2023;930.181
18001 Agrón;Total;2023;239
18002 Alamedilla;Total;2023;562
18003 Albolote;Total;2023;19.474
18004 Albondón;Total;2023;735
18005 Albuñán;Total;2023;419
18006 Albuñol;Total;2023;7.391
18007 Albuñuelas;Total;2023;785
18010 Aldeire;Total;2023;594
18011 Alfacar;Total;2023;5.688
18012 Algarinejo;Total;2023;2.396
18013 Alhama de Granada;Total;2023;5.655
18014 Alhendín;Total;2023;10.216
18015 Alicún de Ortega;Total;2023;450
18016 Almegíjar;Total;2023;335
18017 Almuñécar;Total;2023;27.305
18904 Alpujarra de la Sierra;Total;2023;940
18018 Alquife;Total;2023;581
18020 Arenas del Rey;Total;2023;617
18021 Armilla;Total;2023;25.059
18022 Atarfe;Total;2023;20.024
18023 Baza;Total;2023;20.579
18024 Beas de Granada;Total;2023;992
18025 Beas de Guadix;Total;2023;315
18027 Benalúa;Total;2023;3.324
18028 Benalúa de las Villas;Total;2023;1.030
18029 Benamaurel;Total;2023;2.250
18030 Bérchules;Total;2023;690
18032 Bubión;Total;2023;309
18033 Busquístar;Total;2023;319
18034 Cacín;Total;2023;527
18035 Cádiar;Total;2023;1.539
18036 Cájar;Total;2023;5.447
18114 Calahorra, La;Total;2023;683
18037 Calicasas;Total;2023;650
18038 Campotéjar;Total;2023;1.250
18039 Caniles;Total;2023;3.910
18040 Cáñar;Total;2023;397
18042 Capileira;Total;2023;582
18043 Carataunas;Total;2023;234
18044 Cástaras;Total;2023;224
18045 Castilléjar;Total;2023;1.288
18046 Castril;Total;2023;1.992
18047 Cenes de la Vega;Total;2023;8.231
18059 Chauchina;Total;2023;5.679
18061 Chimeneas;Total;2023;1.238
18062 Churriana de la Vega;Total;2023;16.445
18048 Cijuela;Total;2023;3.630
18049 Cogollos de Guadix;Total;2023;658
18050 Cogollos de la Vega;Total;2023;2.064
18051 Colomera;Total;2023;1.290
18053 Cortes de Baza;Total;2023;1.810
18054 Cortes y Graena;Total;2023;977
18912 Cuevas del Campo;Total;2023;1.793
18056 Cúllar;Total;2023;3.965
18057 Cúllar Vega;Total;2023;7.770
18063 Darro;Total;2023;1.658
18064 Dehesas de Guadix;Total;2023;395
18065 Dehesas Viejas;Total;2023;650
18066 Deifontes;Total;2023;2.624
