Municipios;Sexo;Periodo;Total
19 Guadalajara;Total;2023;274.598
19001 Abánades;Total;2023;62
19002 Ablanque;Total;2023;66
19003 Adobes;Total;2023;30
19004 Alaminos;Total;2023;62
19005 Alarilla;Total;2023;138
19006 Albalate de Zorita;Total;2023;1.132
19007 Albares;Total;2023;523
19008 Albendiego;Total;2023;45
19009 Alcocer;Total;2023;336
19010 Alcolea de las Peñas;Total;2023;12
19011 Alcolea del Pinar;Total;2023;329
19013 Alcoroches;Total;2023;131
19015 Aldeanueva de Guadalajara;Total;2023;104
19016 Algar de Mesa;Total;2023;46
19017 Algora;Total;2023;98
19018 Alhóndiga;Total;2023;169
19019 Alique;Total;2023;14
19020 Almadrones;Total;2023;55
19021 Almoguera;Total;2023;1.415
19022 Almonacid de Zorita;Total;2023;638
19023 Alocén;Total;2023;154
19024 Alovera;Total;2023;13.407
19027 Alustante;Total;2023;131
19031 Angón;Total;2023;7
19032 Anguita;Total;2023;157
19033 Anquela del Ducado;Total;2023;56
19034 Anquela del Pedregal;Total;2023;27
19036 Aranzueque;Total;2023;381
19037 Arbancón;Total;2023;145
19038 Arbeteta;Total;2023;19
19039 Argecilla;Total;2023;70
19040 Armallones;Total;2023;55
19041 Armuña de Tajuña;Total;2023;269
19042 Arroyo de las Fraguas;Total;2023;33
19043 Atanzón;Total;2023;94
19044 Atienza;Total;2023;434
19045 Auñón;Total;2023;146
19046 Azuqueca de Henares;Total;2023;35.498
19047 Baides;Total;2023;56
19048 Baños de Tajo;Total;2023;15
19049 Bañuelos;Total;2023;13
19050 Barriopedro;Total;2023;20
19051 Berninches;Total;2023;50
19052 Bodera, La;Total;2023;21
19053 Brihuega;Total;2023;2.734
19054 Budia;Total;2023;208
19055 Bujalaro;Total;2023;47
19057 Bustares;Total;2023;68
19058 Cabanillas del Campo;Total;2023;11.034
19059 Campillo de Dueñas;Total;2023;76
19060 Campillo de Ranas;Total;2023;155
19061 Campisábalos;Total;2023;84
19064 Canredondo;Total;2023;87
19065 Cantalojas;Total;2023;126
19066 Cañizar;Total;2023;71
19067 Cardoso de la Sierra, El;Total;2023;55
19070 Casa de Uceda;Total;2023;100
19071 Casar, El;Total;2023;13.327
19073 Casas de San Galindo;Total;2023;19
19074 Caspueñas;Total;2023;138
19075 Castejón de Henares;Total;2023;61
19076 Castellar de la Muela;Total;2023;23
19078 Castilforte;Total;2023;58
19079 Castilnuevo;Total;2023;8
19080 Cendejas de Enmedio;Total;2023;69
19081 Cendejas de la Torre;Total;2023;23
19082 Centenera;Total;2023;147
19103 Checa;Total;2023;285
19104 Chequilla;Total;2023;14
19106 Chillarón del Rey;Total;2023;85
19105 Chiloeches;Total;2023;3.977
19086 Cifuentes;Total;2023;1.682
19087 Cincovillas;Total;2023;23
19088 Ciruelas;Total;2023;141
19089 Ciruelos del Pinar;Total;2023;29
19090 Cobeta;Total;2023;101
19091 Cogollor;Total;2023;21
19092 Cogolludo;Total;2023;561
19095 Condemios de Abajo;Total;2023;12
19096 Condemios de Arriba;Total;2023;116
19097 Congostrina;Total;2023;13
19098 Copernal;Total;2023;38
19099 Corduente;Total;2023;310
19102 Cubillo de Uceda, El;Total;2023;118
19107 Driebes;Total;2023;349
19108 Durón;Total;2023;115
19109 Embid;Total;2023;30
19110 Escamilla;Total;2023;64
19111 Escariche;Total;2023;188
19112 Escopete;Total;2023;68
19113 Espinosa de Henares;Total;2023;663
19114 Esplegares;Total;2023;37
19115 Establés;Total;2023;29
19116 Estriégana;Total;2023;12
19117 Fontanar;Total;2023;2.637
19118 Fuembellida;Total;2023;11
19119 Fuencemillán;Total;2023;84
19120 Fuentelahiguera de Albatages;Total;2023;109
19121 Fuentelencina;Total;2023;324
19122 Fuentelsaz;Total;2023;90
19123 Fuentelviejo;Total;2023;53
19124 Fuentenovilla;Total;2023;587
19125 Gajanejos;Total;2023;61
19126 Galápagos;Total;2023;2.673
19127 Galve de Sorbe;Total;2023;96
19129 Gascueña de Bornova;Total;2023;31
19130 Guadalajara;Total;2023;89.010
19132 Henche;Total;2023;85
19133 Heras de Ayuso;Total;2023;224
19134 Herrería;Total;2023;20
19135 Hiendelaencina;Total;2023;115
19136 Hijes;Total;2023;20
19138 Hita;Total;2023;319
19139 Hombrados;Total;2023;51
19142 Hontoba;Total;2023;431
19143 Horche;Total;2023;2.778
19145 Hortezuela de Océn;Total;2023;37
19146 Huerce, La;Total;2023;56
19147 Huérmeces del Cerro;Total;2023;41
19148 Huertahernando;Total;2023;56
19150 Hueva;Total;2023;112
19151 Humanes;Total;2023;1.724
19152 Illana;Total;2023;878
19153 Iniéstola;Total;2023;18
19154 Inviernas, Las;Total;2023;58
19155 Irueste;Total;2023;68
19156 Jadraque;Total;2023;1.417
19157 Jirueque;Total;2023;49
19159 Ledanca;Total;2023;105
19160 Loranca de Tajuña;Total;2023;1.509
19161 Lupiana;Total;2023;293
19162 Luzaga;Total;2023;68
19163 Luzón;Total;2023;64
19165 Majaelrayo;Total;2023;53
19166 Málaga del Fresno;Total;2023;172
19167 Malaguilla;Total;2023;193
19168 Mandayona;Total;2023;300
19169 Mantiel;Total;2023;29
19170 Maranchón;Total;2023;213
19171 Marchamalo;Total;2023;8.273
19172 Masegoso de Tajuña;Total;2023;74
19173 Matarrubia;Total;2023;70
19174 Matillas;Total;2023;104
19175 Mazarete;Total;2023;27
19176 Mazuecos;Total;2023;312
19177 Medranda;Total;2023;68
19178 Megina;Total;2023;31
19179 Membrillera;Total;2023;95
19181 Miedes de Atienza;Total;2023;58
19182 Mierla, La;Total;2023;40
19184 Millana;Total;2023;113
19183 Milmarcos;Total;2023;70
19185 Miñosa, La;Total;2023;30
19186 Mirabueno;Total;2023;90
19187 Miralrío;Total;2023;56
19188 Mochales;Total;2023;40
19189 Mohernando;Total;2023;172
19190 Molina de Aragón;Total;2023;3.288
19191 Monasterio;Total;2023;15
19192 Mondéjar;Total;2023;2.839
19193 Montarrón;Total;2023;30
19194 Moratilla de los Meleros;Total;2023;107
19195 Morenilla;Total;2023;53
19196 Muduex;Total;2023;109
19197 Navas de Jadraque, Las;Total;2023;35
19198 Negredo;Total;2023;13
19199 Ocentejo;Total;2023;16
19200 Olivar, El;Total;2023;87
19201 Olmeda de Cobeta;Total;2023;61
19202 Olmeda de Jadraque, La;Total;2023;19
19203 Ordial, El;Total;2023;35
19204 Orea;Total;2023;196
19208 Pálmaces de Jadraque;Total;2023;46
19209 Pardos;Total;2023;37
19210 Paredes de Sigüenza;Total;2023;26
19211 Pareja;Total;2023;464
19212 Pastrana;Total;2023;901
19213 Pedregal, El;Total;2023;63
19214 Peñalén;Total;2023;79
19215 Peñalver;Total;2023;181
19216 Peralejos de las Truchas;Total;2023;158
19217 Peralveche;Total;2023;83
19218 Pinilla de Jadraque;Total;2023;51
19219 Pinilla de Molina;Total;2023;11
19220 Pioz;Total;2023;5.131
19221 Piqueras;Total;2023;36
19222 Pobo de Dueñas, El;Total;2023;100
19223 Poveda de la Sierra;Total;2023;113
19224 Pozo de Almoguera;Total;2023;113
19225 Pozo de Guadalajara;Total;2023;1.626
19226 Prádena de Atienza;Total;2023;56
19227 Prados Redondos;Total;2023;50
19228 Puebla de Beleña;Total;2023;52
19229 Puebla de Valles;Total;2023;67
19230 Quer;Total;2023;1.031
19231 Rebollosa de Jadraque;Total;2023;10
19232 Recuenco, El;Total;2023;71
19233 Renera;Total;2023;102
19234 Retiendas;Total;2023;54
19235 Riba de Saelices;Total;2023;103
19237 Rillo de Gallo;Total;2023;44
19238 Riofrío del Llano;Total;2023;64
19239 Robledillo de Mohernando;Total;2023;178
19240 Robledo de Corpes;Total;2023;45
19241 Romanillos de Atienza;Total;2023;31
19242 Romanones;Total;2023;116
19243 Rueda de la Sierra;Total;2023;38
19244 Sacecorbo;Total;2023;102
19245 Sacedón;Total;2023;1.566
19246 Saelices de la Sal;Total;2023;47
19247 Salmerón;Total;2023;144
19248 San Andrés del Congosto;Total;2023;75
19249 San Andrés del Rey;Total;2023;39
19250 Santiuste;Total;2023;15
19251 Saúca;Total;2023;47
