Municipios;Sexo;Periodo;Total
21 Huelva;Total;2023;530.824
21001 Alájar;Total;2023;780
21002 Aljaraque;Total;2023;22.259
21003 Almendro, El;Total;2023;848
21004 Almonaster la Real;Total;2023;1.793
21005 Almonte;Total;2023;25.233
21006 Alosno;Total;2023;3.971
21007 Aracena;Total;2023;8.340
21008 Aroche;Total;2023;3.030
21009 Arroyomolinos de León;Total;2023;943
21010 Ayamonte;Total;2023;21.645
21011 Beas;Total;2023;4.359
21012 Berrocal;Total;2023;296
21013 Bollullos Par del Condado;Total;2023;14.263
21014 Bonares;Total;2023;6.101
21015 Cabezas Rubias;Total;2023;704
21016 Cala;Total;2023;1.140
21017 Calañas;Total;2023;2.754
21018 Campillo, El;Total;2023;2.015
21019 Campofrío;Total;2023;745
21020 Cañaveral de León;Total;2023;382
21021 Cartaya;Total;2023;21.128
21022 Castaño del Robledo;Total;2023;222
21023 Cerro de Andévalo, El;Total;2023;2.272
21030 Chucena;Total;2023;2.235
21024 Corteconcepción;Total;2023;563
21025 Cortegana;Total;2023;4.649
21026 Cortelazor;Total;2023;299
21027 Cumbres de Enmedio;Total;2023;63
21028 Cumbres de San Bartolomé;Total;2023;366
21029 Cumbres Mayores;Total;2023;1.731
21031 Encinasola;Total;2023;1.269
21032 Escacena del Campo;Total;2023;2.325
21033 Fuenteheridos;Total;2023;806
21034 Galaroza;Total;2023;1.381
21035 Gibraleón;Total;2023;12.940
21036 Granada de Río-Tinto, La;Total;2023;247
21037 Granado, El;Total;2023;498
21038 Higuera de la Sierra;Total;2023;1.306
21039 Hinojales;Total;2023;329
21040 Hinojos;Total;2023;4.094
21041 Huelva;Total;2023;142.532
21042 Isla Cristina;Total;2023;21.603
21043 Jabugo;Total;2023;2.208
21044 Lepe;Total;2023;28.813
21045 Linares de la Sierra;Total;2023;283
21046 Lucena del Puerto;Total;2023;3.278
21047 Manzanilla;Total;2023;2.147
21048 Marines, Los;Total;2023;416
21049 Minas de Riotinto;Total;2023;3.703
21050 Moguer;Total;2023;22.956
21051 Nava, La;Total;2023;259
21052 Nerva;Total;2023;5.081
21053 Niebla;Total;2023;4.244
21054 Palma del Condado, La;Total;2023;10.726
21055 Palos de la Frontera;Total;2023;12.537
21056 Paterna del Campo;Total;2023;3.465
21057 Paymogo;Total;2023;1.137
21058 Puebla de Guzmán;Total;2023;3.115
21059 Puerto Moral;Total;2023;282
21060 Punta Umbría;Total;2023;16.069
21061 Rociana del Condado;Total;2023;8.048
21062 Rosal de la Frontera;Total;2023;1.665
21063 San Bartolomé de la Torre;Total;2023;3.997
21064 San Juan del Puerto;Total;2023;9.659
21066 San Silvestre de Guzmán;Total;2023;662
21065 Sanlúcar de Guadiana;Total;2023;422
21067 Santa Ana la Real;Total;2023;475
21068 Santa Bárbara de Casa;Total;2023;1.102
21069 Santa Olalla del Cala;Total;2023;2.038
21070 Trigueros;Total;2023;7.989
21071 Valdelarco;Total;2023;243
21072 Valverde del Camino;Total;2023;12.655
21073 Villablanca;Total;2023;2.921
21074 Villalba del Alcor;Total;2023;3.335
21075 Villanueva de las Cruces;Total;2023;393
21076 Villanueva de los Castillejos;Total;2023;2.953
21077 Villarrasa;Total;2023;2.148
21078 Zalamea la Real;Total;2023;2.973
21902 Zarza-Perrunal, La	;Total;2023;1.215
21079 Zufre;Total;2023;753
