Municipios;Sexo;Periodo;Total
22 Huesca;Total;2023;227.077
22001 Abiego;Total;2023;261
22002 Abizanda;Total;2023;162
22003 Adahuesca;Total;2023;210
22004 Agüero;Total;2023;143
22907 Aínsa-Sobrarbe;Total;2023;2.297
22006 Aisa;Total;2023;324
22007 Albalate de Cinca;Total;2023;1.138
22008 Albalatillo;Total;2023;200
22009 Albelda;Total;2023;702
22011 Albero Alto;Total;2023;125
22012 Albero Bajo;Total;2023;130
22013 Alberuela de Tubo;Total;2023;308
22014 Alcalá de Gurrea;Total;2023;231
22015 Alcalá del Obispo;Total;2023;370
22016 Alcampell;Total;2023;624
22017 Alcolea de Cinca;Total;2023;1.092
22018 Alcubierre;Total;2023;412
22019 Alerre;Total;2023;221
22020 Alfántega;Total;2023;130
22021 Almudévar;Total;2023;2.439
22022 Almunia de San Juan;Total;2023;722
22023 Almuniente;Total;2023;440
22024 Alquézar;Total;2023;348
22025 Altorricón;Total;2023;1.429
22027 Angüés;Total;2023;373
22028 Ansó;Total;2023;418
22029 Antillón;Total;2023;133
22032 Aragüés del Puerto;Total;2023;120
22035 Arén;Total;2023;308
22036 Argavieso;Total;2023;119
22037 Arguis;Total;2023;160
22039 Ayerbe;Total;2023;1.073
22040 Azanuy-Alins;Total;2023;175
22041 Azara;Total;2023;170
22042 Azlor;Total;2023;154
22043 Baélls;Total;2023;91
22044 Bailo;Total;2023;262
22045 Baldellou;Total;2023;90
22046 Ballobar;Total;2023;879
22047 Banastás;Total;2023;334
22048 Barbastro;Total;2023;17.295
22049 Barbués;Total;2023;86
22050 Barbuñales;Total;2023;96
22051 Bárcabo;Total;2023;117
22052 Belver de Cinca;Total;2023;1.306
22053 Benabarre;Total;2023;1.168
22054 Benasque;Total;2023;2.306
22246 Beranuy;Total;2023;68
22055 Berbegal;Total;2023;322
22057 Bielsa;Total;2023;482
22058 Bierge;Total;2023;253
22059 Biescas;Total;2023;1.602
22060 Binaced;Total;2023;1.577
22061 Binéfar;Total;2023;10.070
22062 Bisaurri;Total;2023;183
22063 Biscarrués;Total;2023;186
22064 Blecua y Torres;Total;2023;186
22066 Boltaña;Total;2023;1.104
22067 Bonansa;Total;2023;92
22068 Borau;Total;2023;87
22069 Broto;Total;2023;599
22072 Caldearenas;Total;2023;242
22074 Campo;Total;2023;463
22075 Camporrélls;Total;2023;151
22076 Canal de Berdún;Total;2023;337
22077 Candasnos;Total;2023;418
22078 Canfranc;Total;2023;596
22079 Capdesaso;Total;2023;204
22080 Capella;Total;2023;360
22081 Casbas de Huesca;Total;2023;291
22083 Castejón de Monegros;Total;2023;478
22084 Castejón de Sos;Total;2023;833
22082 Castejón del Puente;Total;2023;328
22085 Castelflorite;Total;2023;102
22086 Castiello de Jaca;Total;2023;242
22087 Castigaleu;Total;2023;96
22088 Castillazuelo;Total;2023;162
22089 Castillonroy;Total;2023;324
22094 Chalamera;Total;2023;130
22095 Chía;Total;2023;92
22096 Chimillas;Total;2023;396
22090 Colungo;Total;2023;128
22099 Esplús;Total;2023;673
22102 Estada;Total;2023;203
22103 Estadilla;Total;2023;840
22105 Estopiñán del Castillo;Total;2023;116
22106 Fago;Total;2023;26
22107 Fanlo;Total;2023;113
22109 Fiscal;Total;2023;386
22110 Fonz;Total;2023;886
22111 Foradada del Toscar;Total;2023;158
22112 Fraga;Total;2023;15.373
22113 Fueva, La;Total;2023;600
22114 Gistaín;Total;2023;122
22115 Grado, El;Total;2023;391
22116 Grañén;Total;2023;1.731
22117 Graus;Total;2023;3.415
22119 Gurrea de Gállego;Total;2023;1.450
22122 Hoz de Jaca;Total;2023;76
22908 Hoz y Costean;Total;2023;240
22124 Huerto;Total;2023;228
22125 Huesca;Total;2023;54.136
22126 Ibieca;Total;2023;108
22127 Igriés;Total;2023;719
