Municipios;Sexo;Periodo;Total
23 Jaén;Total;2023;620.242
23001 Albanchez de Mágina;Total;2023;958
23002 Alcalá la Real;Total;2023;21.587
23003 Alcaudete;Total;2023;10.265
23004 Aldeaquemada;Total;2023;468
23005 Andújar;Total;2023;35.788
23006 Arjona;Total;2023;5.349
23007 Arjonilla;Total;2023;3.539
23008 Arquillos;Total;2023;1.680
23905 Arroyo del Ojanco;Total;2023;2.187
23009 Baeza;Total;2023;15.723
23010 Bailén;Total;2023;17.211
23011 Baños de la Encina;Total;2023;2.558
23012 Beas de Segura;Total;2023;4.984
23902 Bedmar y Garcíez;Total;2023;2.605
23014 Begíjar;Total;2023;2.967
23015 Bélmez de la Moraleda;Total;2023;1.525
23016 Benatae;Total;2023;437
23017 Cabra del Santo Cristo;Total;2023;1.695
23018 Cambil;Total;2023;2.643
23019 Campillo de Arenas;Total;2023;1.708
23020 Canena;Total;2023;1.780
23021 Carboneros;Total;2023;606
23901 Cárcheles;Total;2023;1.300
23024 Carolina, La;Total;2023;14.801
23025 Castellar;Total;2023;3.173
23026 Castillo de Locubín;Total;2023;3.901
23027 Cazalilla;Total;2023;738
23028 Cazorla;Total;2023;7.067
23029 Chiclana de Segura;Total;2023;896
23030 Chilluévar;Total;2023;1.363
23031 Escañuela;Total;2023;934
23032 Espeluy;Total;2023;604
23033 Frailes;Total;2023;1.565
23034 Fuensanta de Martos;Total;2023;3.023
23035 Fuerte del Rey;Total;2023;1.352
23037 Génave;Total;2023;561
23038 Guardia de Jaén, La;Total;2023;5.175
23039 Guarromán;Total;2023;2.782
23041 Higuera de Calatrava;Total;2023;605
23042 Hinojares;Total;2023;348
23043 Hornos;Total;2023;574
23044 Huelma;Total;2023;5.559
23045 Huesa;Total;2023;2.436
23046 Ibros;Total;2023;2.737
23047 Iruela, La;Total;2023;1.881
23048 Iznatoraf;Total;2023;902
23049 Jabalquinto;Total;2023;1.962
23050 Jaén;Total;2023;111.888
23051 Jamilena;Total;2023;3.319
23052 Jimena;Total;2023;1.223
23053 Jódar;Total;2023;11.449
23040 Lahiguera;Total;2023;1.604
23054 Larva;Total;2023;444
23055 Linares;Total;2023;55.096
23056 Lopera;Total;2023;3.579
23057 Lupión;Total;2023;806
23058 Mancha Real;Total;2023;11.375
23059 Marmolejo;Total;2023;6.586
23060 Martos;Total;2023;24.363
23061 Mengíbar;Total;2023;10.041
23062 Montizón;Total;2023;1.606
23063 Navas de San Juan;Total;2023;4.427
23064 Noalejo;Total;2023;1.826
23065 Orcera;Total;2023;1.735
23066 Peal de Becerro;Total;2023;5.325
23067 Pegalajar;Total;2023;2.822
23069 Porcuna;Total;2023;5.975
23070 Pozo Alcón;Total;2023;4.594
23071 Puente de Génave;Total;2023;2.168
23072 Puerta de Segura, La;Total;2023;2.226
23073 Quesada;Total;2023;5.015
23074 Rus;Total;2023;3.453
23075 Sabiote;Total;2023;3.823
23076 Santa Elena;Total;2023;866
23077 Santiago de Calatrava;Total;2023;657
23904 Santiago-Pontones;Total;2023;2.729
23079 Santisteban del Puerto;Total;2023;4.442
23080 Santo Tomé;Total;2023;2.081
23081 Segura de la Sierra;Total;2023;1.710
23082 Siles;Total;2023;2.137
23084 Sorihuela del Guadalimar;Total;2023;1.043
23085 Torreblascopedro;Total;2023;2.434
23086 Torredelcampo;Total;2023;13.871
23087 Torredonjimeno;Total;2023;13.301
23088 Torreperogil;Total;2023;7.108
23090 Torres;Total;2023;1.349
23091 Torres de Albánchez;Total;2023;746
23092 Úbeda;Total;2023;33.810
23093 Valdepeñas de Jaén;Total;2023;3.566
23094 Vilches;Total;2023;4.238
23095 Villacarrillo;Total;2023;10.344
23096 Villanueva de la Reina;Total;2023;2.964
23097 Villanueva del Arzobispo;Total;2023;7.933
23098 Villardompardo;Total;2023;920
23099 Villares, Los;Total;2023;6.079
23101 Villarrodrigo;Total;2023;383
23903 Villatorres;Total;2023;4.261
