Municipios;Sexo;Periodo;Total
35 Palmas, Las;Total;2023;1.140.258
35001 Agaete;Total;2023;5.568
35002 Agüimes;Total;2023;32.643
35020 Aldea de San Nicolás, La;Total;2023;7.506
35003 Antigua;Total;2023;13.523
35004 Arrecife;Total;2023;64.826
35005 Artenara;Total;2023;1.032
35006 Arucas;Total;2023;38.601
35007 Betancuria;Total;2023;816
35008 Firgas;Total;2023;7.669
35009 Gáldar;Total;2023;24.678
35010 Haría;Total;2023;5.507
35011 Ingenio;Total;2023;32.354
35012 Mogán;Total;2023;20.845
35013 Moya;Total;2023;7.889
35014 Oliva, La;Total;2023;29.099
35015 Pájara;Total;2023;21.271
35016 Palmas de Gran Canaria, Las;Total;2023;378.027
35017 Puerto del Rosario;Total;2023;43.390
35018 San Bartolomé;Total;2023;19.200
35019 San Bartolomé de Tirajana;Total;2023;53.912
35021 Santa Brígida;Total;2023;18.510
35022 Santa Lucía de Tirajana;Total;2023;75.677
35023 Santa María de Guía de Gran Canaria;Total;2023;13.948
35024 Teguise;Total;2023;23.881
35025 Tejeda;Total;2023;1.844
35026 Telde;Total;2023;102.487
35027 Teror;Total;2023;12.799
35028 Tías;Total;2023;21.433
35029 Tinajo;Total;2023;6.759
35030 Tuineje;Total;2023;15.967
35032 Valleseco;Total;2023;3.733
35031 Valsequillo de Gran Canaria;Total;2023;9.667
35033 Vega de San Mateo;Total;2023;7.782
35034 Yaiza;Total;2023;17.415
