Municipios;Sexo;Periodo;Total
26 Rioja, La;Total;2023;322.490
26001 Ábalos;Total;2023;258
26002 Agoncillo;Total;2023;1.228
26003 Aguilar del Río Alhama;Total;2023;428
26004 Ajamil de Cameros;Total;2023;90
26005 Albelda de Iregua;Total;2023;3.738
26006 Alberite;Total;2023;2.628
26007 Alcanadre;Total;2023;669
26008 Aldeanueva de Ebro;Total;2023;2.726
26009 Alesanco;Total;2023;474
26010 Alesón;Total;2023;98
26011 Alfaro;Total;2023;9.823
26012 Almarza de Cameros;Total;2023;39
26013 Anguciana;Total;2023;435
26014 Anguiano;Total;2023;499
26015 Arenzana de Abajo;Total;2023;251
26016 Arenzana de Arriba;Total;2023;33
26017 Arnedillo;Total;2023;436
26018 Arnedo;Total;2023;15.201
26019 Arrúbal;Total;2023;582
26020 Ausejo;Total;2023;795
26021 Autol;Total;2023;4.834
26022 Azofra;Total;2023;215
26023 Badarán;Total;2023;496
26024 Bañares;Total;2023;201
26026 Baños de Río Tobía;Total;2023;1.608
26025 Baños de Rioja;Total;2023;84
26027 Berceo;Total;2023;139
26028 Bergasa;Total;2023;163
26029 Bergasillas Bajera;Total;2023;39
26030 Bezares;Total;2023;26
26031 Bobadilla;Total;2023;97
26032 Brieva de Cameros;Total;2023;43
26033 Briñas;Total;2023;182
26034 Briones;Total;2023;739
26035 Cabezón de Cameros;Total;2023;23
26036 Calahorra;Total;2023;24.994
26037 Camprovín;Total;2023;174
26038 Canales de la Sierra;Total;2023;81
26039 Canillas de Río Tuerto;Total;2023;50
26040 Cañas;Total;2023;92
26041 Cárdenas;Total;2023;132
26042 Casalarreina;Total;2023;1.062
26043 Castañares de Rioja;Total;2023;385
26044 Castroviejo;Total;2023;62
26045 Cellorigo;Total;2023;10
26046 Cenicero;Total;2023;2.067
26047 Cervera del Río Alhama;Total;2023;2.262
26048 Cidamón;Total;2023;22
26049 Cihuri;Total;2023;207
26050 Cirueña;Total;2023;198
26051 Clavijo;Total;2023;296
26052 Cordovín;Total;2023;153
26053 Corera;Total;2023;283
26054 Cornago;Total;2023;304
26055 Corporales;Total;2023;38
26056 Cuzcurrita de Río Tirón;Total;2023;566
26057 Daroca de Rioja;Total;2023;60
26058 Enciso;Total;2023;174
26059 Entrena;Total;2023;1.637
26060 Estollo;Total;2023;93
26061 Ezcaray;Total;2023;2.080
26062 Foncea;Total;2023;94
26063 Fonzaleche;Total;2023;130
26064 Fuenmayor;Total;2023;3.259
26065 Galbárruli;Total;2023;89
26066 Galilea;Total;2023;394
26067 Gallinero de Cameros;Total;2023;17
26068 Gimileo;Total;2023;112
26069 Grañón;Total;2023;235
26070 Grávalos;Total;2023;170
26071 Haro;Total;2023;11.763
26072 Herce;Total;2023;325
26073 Herramélluri;Total;2023;109
26074 Hervías;Total;2023;133
26075 Hormilla;Total;2023;441
26076 Hormilleja;Total;2023;131
26077 Hornillos de Cameros;Total;2023;15
26078 Hornos de Moncalvillo;Total;2023;96
26079 Huércanos;Total;2023;858
26080 Igea;Total;2023;648
26081 Jalón de Cameros;Total;2023;23
26082 Laguna de Cameros;Total;2023;115
26083 Lagunilla del Jubera;Total;2023;394
26084 Lardero;Total;2023;11.321
26086 Ledesma de la Cogolla;Total;2023;16
26087 Leiva;Total;2023;246
26088 Leza de Río Leza;Total;2023;40
26089 Logroño;Total;2023;150.583
26091 Lumbreras de Cameros;Total;2023;145
26092 Manjarrés;Total;2023;108
26093 Mansilla de la Sierra;Total;2023;60
26094 Manzanares de Rioja;Total;2023;58
26095 Matute;Total;2023;86
26096 Medrano;Total;2023;350
26098 Munilla;Total;2023;100
26099 Murillo de Río Leza;Total;2023;1.643
26100 Muro de Aguas;Total;2023;57
26101 Muro en Cameros;Total;2023;40
26102 Nájera;Total;2023;8.059
26103 Nalda;Total;2023;1.329
