Municipios;Sexo;Periodo;Total
24 León;Total;2023;447.463
24001 Acebedo;Total;2023;182
24002 Algadefe;Total;2023;290
24003 Alija del Infantado;Total;2023;593
24004 Almanza;Total;2023;626
24005 Antigua, La;Total;2023;331
24006 Ardón;Total;2023;558
24007 Arganza;Total;2023;798
24008 Astorga;Total;2023;10.321
24009 Balboa;Total;2023;261
24010 Bañeza, La;Total;2023;10.047
24011 Barjas;Total;2023;160
24012 Barrios de Luna, Los;Total;2023;300
24014 Bembibre;Total;2023;8.196
24015 Benavides;Total;2023;2.367
24016 Benuza;Total;2023;455
24017 Bercianos del Páramo;Total;2023;524
24018 Bercianos del Real Camino;Total;2023;186
24019 Berlanga del Bierzo;Total;2023;322
24020 Boca de Huérgano;Total;2023;435
24021 Boñar;Total;2023;1.804
24022 Borrenes;Total;2023;304
24023 Brazuelo;Total;2023;323
24024 Burgo Ranero, El;Total;2023;683
24025 Burón;Total;2023;294
24026 Bustillo del Páramo;Total;2023;1.076
24027 Cabañas Raras;Total;2023;1.316
24028 Cabreros del Río;Total;2023;401
24029 Cabrillanes;Total;2023;719
24030 Cacabelos;Total;2023;4.793
24031 Calzada del Coto;Total;2023;222
24032 Campazas;Total;2023;109
24033 Campo de Villavidel;Total;2023;200
24034 Camponaraya;Total;2023;4.096
24036 Candín;Total;2023;283
24037 Cármenes;Total;2023;337
24038 Carracedelo;Total;2023;3.431
24039 Carrizo;Total;2023;2.208
24040 Carrocera;Total;2023;445
24041 Carucedo;Total;2023;495
24042 Castilfalé;Total;2023;65
24043 Castrillo de Cabrera;Total;2023;106
24044 Castrillo de la Valduerna;Total;2023;142
24046 Castrocalbón;Total;2023;925
24047 Castrocontrigo;Total;2023;682
24049 Castropodame;Total;2023;1.588
24050 Castrotierra de Valmadrigal;Total;2023;107
24051 Cea;Total;2023;378
24052 Cebanico;Total;2023;144
24053 Cebrones del Río;Total;2023;435
24065 Chozas de Abajo;Total;2023;2.677
24054 Cimanes de la Vega;Total;2023;441
24055 Cimanes del Tejar;Total;2023;742
24056 Cistierna;Total;2023;2.951
24057 Congosto;Total;2023;1.436
24058 Corbillos de los Oteros;Total;2023;183
24059 Corullón;Total;2023;849
24060 Crémenes;Total;2023;530
24061 Cuadros;Total;2023;2.088
24062 Cubillas de los Oteros;Total;2023;138
24063 Cubillas de Rueda;Total;2023;393
24064 Cubillos del Sil;Total;2023;1.741
24066 Destriana;Total;2023;431
24067 Encinedo;Total;2023;623
24068 Ercina, La;Total;2023;442
24069 Escobar de Campos;Total;2023;33
24070 Fabero;Total;2023;4.112
24071 Folgoso de la Ribera;Total;2023;1.005
24073 Fresno de la Vega;Total;2023;464
24074 Fuentes de Carbajal;Total;2023;77
24076 Garrafe de Torío;Total;2023;1.646
24077 Gordaliza del Pino;Total;2023;246
24078 Gordoncillo;Total;2023;325
24079 Gradefes;Total;2023;944
24080 Grajal de Campos;Total;2023;221
24081 Gusendos de los Oteros;Total;2023;128
24082 Hospital de Órbigo;Total;2023;961
24083 Igüeña;Total;2023;1.083
24084 Izagre;Total;2023;143
24086 Joarilla de las Matas;Total;2023;240
24087 Laguna Dalga;Total;2023;621
24088 Laguna de Negrillos;Total;2023;1.050
24089 León;Total;2023;121.281
24092 Llamas de la Ribera;Total;2023;798
24090 Lucillo;Total;2023;361
24091 Luyego;Total;2023;568
24093 Magaz de Cepeda;Total;2023;354
24094 Mansilla de las Mulas;Total;2023;1.654
24095 Mansilla Mayor;Total;2023;324
24096 Maraña;Total;2023;120
24097 Matadeón de los Oteros;Total;2023;224
24098 Matallana de Torío;Total;2023;1.258
24099 Matanza;Total;2023;174
24100 Molinaseca;Total;2023;872
24101 Murias de Paredes;Total;2023;349
24102 Noceda del Bierzo;Total;2023;613
24103 Oencia;Total;2023;284
24104 Omañas, Las;Total;2023;257
24105 Onzonilla;Total;2023;1.880
24106 Oseja de Sajambre;Total;2023;230
24107 Pajares de los Oteros;Total;2023;241
24108 Palacios de la Valduerna;Total;2023;351
24109 Palacios del Sil;Total;2023;867
24110 Páramo del Sil;Total;2023;1.214
24112 Peranzanes;Total;2023;270
24113 Pobladura de Pelayo García;Total;2023;354
24114 Pola de Gordón, La;Total;2023;2.880
24115 Ponferrada;Total;2023;62.963
24116 Posada de Valdeón;Total;2023;420
24117 Pozuelo del Páramo;Total;2023;405
24118 Prado de la Guzpeña;Total;2023;109
24119 Priaranza del Bierzo;Total;2023;731
24120 Prioro;Total;2023;347
24121 Puebla de Lillo;Total;2023;674
24122 Puente de Domingo Flórez;Total;2023;1.406
24123 Quintana del Castillo;Total;2023;724
24124 Quintana del Marco;Total;2023;332
24125 Quintana y Congosto;Total;2023;416
24127 Regueras de Arriba;Total;2023;264
24129 Reyero;Total;2023;127
24130 Riaño;Total;2023;474
24131 Riego de la Vega;Total;2023;718
24132 Riello;Total;2023;603
24133 Rioseco de Tapia;Total;2023;382
24134 Robla, La;Total;2023;3.637
24136 Roperuelos del Páramo;Total;2023;505
24137 Sabero;Total;2023;1.046
24139 Sahagún;Total;2023;2.456
24141 San Adrián del Valle;Total;2023;92
24142 San Andrés del Rabanedo;Total;2023;29.961
24144 San Cristóbal de la Polantera;Total;2023;642
24145 San Emiliano;Total;2023;602
24146 San Esteban de Nogales;Total;2023;253
24148 San Justo de la Vega;Total;2023;1.761
24149 San Millán de los Caballeros;Total;2023;177
24150 San Pedro Bercianos;Total;2023;227
24143 Sancedo;Total;2023;532
24151 Santa Colomba de Curueño;Total;2023;496
24152 Santa Colomba de Somoza;Total;2023;496
24153 Santa Cristina de Valmadrigal;Total;2023;281
24154 Santa Elena de Jamuz;Total;2023;1.038
24155 Santa María de la Isla;Total;2023;453
24158 Santa María de Ordás;Total;2023;337
24156 Santa María del Monte de Cea;Total;2023;212
24157 Santa María del Páramo;Total;2023;3.041
24159 Santa Marina del Rey;Total;2023;1.772
24160 Santas Martas;Total;2023;732
24161 Santiago Millas;Total;2023;364
24162 Santovenia de la Valdoncina;Total;2023;2.081
24163 Sariegos;Total;2023;5.413
24164 Sena de Luna;Total;2023;395
24165 Sobrado;Total;2023;302
24166 Soto de la Vega;Total;2023;1.487
24167 Soto y Amío;Total;2023;729
24168 Toral de los Guzmanes;Total;2023;499
24206 Toral de los Vados;Total;2023;1.779
24169 Toreno;Total;2023;2.898
24170 Torre del Bierzo;Total;2023;2.026
24171 Trabadelo;Total;2023;337
24172 Truchas;Total;2023;404
24173 Turcia;Total;2023;973
24174 Urdiales del Páramo;Total;2023;457
24185 Val de San Lorenzo;Total;2023;502
24175 Valdefresno;Total;2023;2.302
24176 Valdefuentes del Páramo;Total;2023;308
24177 Valdelugueros;Total;2023;507
24178 Valdemora;Total;2023;66
24179 Valdepiélago;Total;2023;288
24180 Valdepolo;Total;2023;1.197
24181 Valderas;Total;2023;1.524
24182 Valderrey;Total;2023;425
24183 Valderrueda;Total;2023;831
24184 Valdesamario;Total;2023;179
24187 Valdevimbre;Total;2023;905
24188 Valencia de Don Juan;Total;2023;5.185
24191 Vallecillo;Total;2023;105
24189 Valverde de la Virgen;Total;2023;7.687
24190 Valverde-Enrique;Total;2023;156
24193 Vecilla, La;Total;2023;384
24196 Vega de Espinareda;Total;2023;2.016
24197 Vega de Infanzones;Total;2023;848
