Municipios;Sexo;Periodo;Total
25 Lleida;Total;2023;446.793
25001 Abella de la Conca;Total;2023;167
25002 Àger;Total;2023;582
25003 Agramunt;Total;2023;5.516
25038 Aitona;Total;2023;2.557
25004 Alamús, Els;Total;2023;794
25005 Alàs i Cerc;Total;2023;322
25006 Albagés, L';Total;2023;356
25007 Albatàrrec;Total;2023;2.238
25008 Albesa;Total;2023;1.588
25009 Albi, L';Total;2023;764
25010 Alcanó;Total;2023;243
25011 Alcarràs;Total;2023;9.787
25012 Alcoletge;Total;2023;3.495
25013 Alfarràs;Total;2023;2.783
25014 Alfés;Total;2023;286
25015 Algerri;Total;2023;434
25016 Alguaire;Total;2023;3.012
25017 Alins;Total;2023;282
25019 Almacelles;Total;2023;6.847
25020 Almatret;Total;2023;307
25021 Almenar;Total;2023;3.379
25022 Alòs de Balaguer;Total;2023;114
25023 Alpicat;Total;2023;6.394
25024 Alt Àneu;Total;2023;447
25027 Anglesola;Total;2023;1.361
25029 Arbeca;Total;2023;2.109
25031 Arres;Total;2023;71
25032 Arsèguel;Total;2023;77
25033 Artesa de Lleida;Total;2023;1.512
25034 Artesa de Segre;Total;2023;3.504
25036 Aspa;Total;2023;217
25037 Avellanes i Santa Linya, Les;Total;2023;445
25039 Baix Pallars;Total;2023;349
25040 Balaguer;Total;2023;17.649
25041 Barbens;Total;2023;929
25042 Baronia de Rialb, La;Total;2023;225
25044 Bassella;Total;2023;221
25045 Bausen;Total;2023;70
25046 Belianes;Total;2023;510
25170 Bellaguarda;Total;2023;289
25047 Bellcaire d'Urgell;Total;2023;1.231
25048 Bell-lloc d'Urgell;Total;2023;2.378
25049 Bellmunt d'Urgell;Total;2023;176
25050 Bellpuig;Total;2023;5.150
25051 Bellver de Cerdanya;Total;2023;2.250
25052 Bellvís;Total;2023;2.263
25053 Benavent de Segrià;Total;2023;1.579
25055 Biosca;Total;2023;184
25057 Bòrdes, Es;Total;2023;278
25058 Borges Blanques, Les;Total;2023;6.215
25059 Bossòst;Total;2023;1.137
25056 Bovera;Total;2023;258
25060 Cabanabona;Total;2023;61
25061 Cabó;Total;2023;99
25062 Camarasa;Total;2023;786
25063 Canejan;Total;2023;97
25904 Castell de Mur;Total;2023;179
25064 Castellar de la Ribera;Total;2023;142
25067 Castelldans;Total;2023;893
25068 Castellnou de Seana;Total;2023;706
25069 Castelló de Farfanya;Total;2023;531
25070 Castellserà;Total;2023;989
25071 Cava;Total;2023;44
25072 Cervera;Total;2023;9.453
25073 Cervià de les Garrigues;Total;2023;645
25074 Ciutadilla;Total;2023;188
25075 Clariana de Cardener;Total;2023;158
25076 Cogul, El;Total;2023;155
25077 Coll de Nargó;Total;2023;568
25163 Coma i la Pedra, La;Total;2023;275
25161 Conca de Dalt;Total;2023;436
25078 Corbins;Total;2023;1.486
25079 Cubells;Total;2023;344
25081 Espluga Calba, L';Total;2023;324
25082 Espot;Total;2023;386
25088 Estamariu;Total;2023;133
25085 Estaràs;Total;2023;164
25086 Esterri d'Àneu;Total;2023;874
25087 Esterri de Cardós;Total;2023;61
25089 Farrera;Total;2023;124
25908 Fígols i Alinyà;Total;2023;255
25092 Floresta, La;Total;2023;155
25093 Fondarella;Total;2023;780
25094 Foradada;Total;2023;179
25096 Fuliola, La;Total;2023;1.223
25097 Fulleda;Total;2023;87
25098 Gavet de la Conca;Total;2023;257
25912 Gimenells i el Pla de la Font;Total;2023;1.108
25099 Golmés;Total;2023;1.902
25100 Gósol;Total;2023;230
25101 Granadella, La;Total;2023;750
25102 Granja d'Escarp, La;Total;2023;927
25103 Granyanella;Total;2023;149
25105 Granyena de les Garrigues;Total;2023;157
25104 Granyena de Segarra;Total;2023;152
25109 Guimerà;Total;2023;255
25903 Guingueta d'Àneu, La;Total;2023;285
25110 Guissona;Total;2023;7.603
25111 Guixers;Total;2023;131
25115 Isona i Conca Dellà;Total;2023;1.061
25112 Ivars de Noguera;Total;2023;332
25113 Ivars d'Urgell;Total;2023;1.607
25114 Ivorra;Total;2023;99
25910 Josa i Tuixén;Total;2023;125
25118 Juncosa;Total;2023;382
25119 Juneda;Total;2023;3.478
25121 Les;Total;2023;994
25122 Linyola;Total;2023;2.744
25123 Lladorre;Total;2023;254
