Municipios;Sexo;Periodo;Total
27 Lugo;Total;2023;323.956
27001 Abadín;Total;2023;2.203
27002 Alfoz;Total;2023;1.553
27003 Antas de Ulla;Total;2023;1.887
27004 Baleira;Total;2023;1.153
27901 Baralla;Total;2023;2.484
27005 Barreiros;Total;2023;3.020
27006 Becerreá;Total;2023;2.711
27007 Begonte;Total;2023;2.925
27008 Bóveda;Total;2023;1.405
27902 Burela;Total;2023;9.454
27009 Carballedo;Total;2023;2.080
27010 Castro de Rei;Total;2023;5.015
27011 Castroverde;Total;2023;2.548
27012 Cervantes;Total;2023;1.209
27013 Cervo;Total;2023;4.200
27016 Chantada;Total;2023;8.006
27014 Corgo, O;Total;2023;3.396
27015 Cospeito;Total;2023;4.257
27017 Folgoso do Courel;Total;2023;1.004
27018 Fonsagrada, A;Total;2023;3.186
27019 Foz;Total;2023;10.163
27020 Friol;Total;2023;3.616
27022 Guitiriz;Total;2023;5.194
27023 Guntín;Total;2023;2.551
27024 Incio, O;Total;2023;1.524
27026 Láncara;Total;2023;2.492
27027 Lourenzá;Total;2023;2.115
27028 Lugo;Total;2023;98.214
27029 Meira;Total;2023;1.753
27030 Mondoñedo;Total;2023;3.439
27031 Monforte de Lemos;Total;2023;18.234
27032 Monterroso;Total;2023;3.593
27033 Muras;Total;2023;600
27034 Navia de Suarna;Total;2023;988
27035 Negueira de Muñiz;Total;2023;240
27037 Nogais, As;Total;2023;958
27038 Ourol;Total;2023;980
27039 Outeiro de Rei;Total;2023;5.359
27040 Palas de Rei;Total;2023;3.346
27041 Pantón;Total;2023;2.423
27042 Paradela;Total;2023;1.638
27043 Páramo, O;Total;2023;1.305
27044 Pastoriza, A;Total;2023;2.810
27045 Pedrafita do Cebreiro;Total;2023;909
27047 Pobra do Brollón, A;Total;2023;1.565
27046 Pol;Total;2023;1.582
27048 Pontenova, A;Total;2023;2.126
27049 Portomarín;Total;2023;1.345
27050 Quiroga;Total;2023;3.099
27056 Rábade;Total;2023;1.503
27051 Ribadeo;Total;2023;9.828
27052 Ribas de Sil;Total;2023;914
27053 Ribeira de Piquín;Total;2023;497
27054 Riotorto;Total;2023;1.200
27055 Samos;Total;2023;1.210
27057 Sarria;Total;2023;13.221
27058 Saviñao, O;Total;2023;3.504
27059 Sober;Total;2023;2.178
27060 Taboada;Total;2023;2.657
27061 Trabada;Total;2023;1.107
27062 Triacastela;Total;2023;622
27063 Valadouro, O;Total;2023;1.890
27064 Vicedo, O;Total;2023;1.613
27065 Vilalba;Total;2023;13.870
27066 Viveiro;Total;2023;15.221
27021 Xermade;Total;2023;1.734
27025 Xove;Total;2023;3.330
