Municipios;Sexo;Periodo;Total
28 Madrid;Total;2023;6.859.914
28001 Acebeda, La;Total;2023;67
28002 Ajalvir;Total;2023;4.779
28003 Alameda del Valle;Total;2023;274
28004 Álamo, El;Total;2023;10.322
28005 Alcalá de Henares;Total;2023;199.184
28006 Alcobendas;Total;2023;119.416
28007 Alcorcón;Total;2023;171.772
28008 Aldea del Fresno;Total;2023;3.408
28009 Algete;Total;2023;20.991
28010 Alpedrete;Total;2023;15.312
28011 Ambite;Total;2023;684
28012 Anchuelo;Total;2023;1.379
28013 Aranjuez;Total;2023;60.668
28014 Arganda del Rey;Total;2023;58.990
28015 Arroyomolinos;Total;2023;35.972
28016 Atazar, El;Total;2023;104
28017 Batres;Total;2023;1.872
28018 Becerril de la Sierra;Total;2023;6.277
28019 Belmonte de Tajo;Total;2023;1.840
28021 Berrueco, El;Total;2023;802
28020 Berzosa del Lozoya;Total;2023;217
28022 Boadilla del Monte;Total;2023;64.742
28023 Boalo, El;Total;2023;8.424
28024 Braojos;Total;2023;212
28025 Brea de Tajo;Total;2023;543
28026 Brunete;Total;2023;11.014
28027 Buitrago del Lozoya;Total;2023;1.967
28028 Bustarviejo;Total;2023;2.743
28029 Cabanillas de la Sierra;Total;2023;939
28030 Cabrera, La;Total;2023;2.882
28031 Cadalso de los Vidrios;Total;2023;3.173
28032 Camarma de Esteruelas;Total;2023;7.792
28033 Campo Real;Total;2023;6.781
28034 Canencia;Total;2023;460
28035 Carabaña;Total;2023;2.273
28036 Casarrubuelos;Total;2023;4.062
28037 Cenicientos;Total;2023;2.097
28038 Cercedilla;Total;2023;7.648
28039 Cervera de Buitrago;Total;2023;164
28051 Chapinería;Total;2023;2.604
28052 Chinchón;Total;2023;5.664
28040 Ciempozuelos;Total;2023;25.866
28041 Cobeña;Total;2023;7.698
28046 Collado Mediano;Total;2023;7.490
28047 Collado Villalba;Total;2023;65.657
28043 Colmenar de Oreja;Total;2023;8.649
28042 Colmenar del Arroyo;Total;2023;1.947
28045 Colmenar Viejo;Total;2023;55.198
28044 Colmenarejo;Total;2023;9.534
28048 Corpa;Total;2023;798
28049 Coslada;Total;2023;80.171
28050 Cubas de la Sagra;Total;2023;6.817
28053 Daganzo de Arriba;Total;2023;10.611
28054 Escorial, El;Total;2023;16.873
28055 Estremera;Total;2023;1.453
28056 Fresnedillas de la Oliva;Total;2023;1.791
28057 Fresno de Torote;Total;2023;2.522
28058 Fuenlabrada;Total;2023;188.736
