Municipios;Sexo;Periodo;Total
29 Málaga;Total;2023;1.751.600
29001 Alameda;Total;2023;5.434
29002 Alcaucín;Total;2023;2.554
29003 Alfarnate;Total;2023;1.059
29004 Alfarnatejo;Total;2023;380
29005 Algarrobo;Total;2023;6.773
29006 Algatocín;Total;2023;829
29007 Alhaurín de la Torre;Total;2023;43.674
29008 Alhaurín el Grande;Total;2023;26.879
29009 Almáchar;Total;2023;1.848
29010 Almargen;Total;2023;1.924
29011 Almogía;Total;2023;3.967
29012 Álora;Total;2023;13.512
29013 Alozaina;Total;2023;2.065
29014 Alpandeire;Total;2023;281
29015 Antequera;Total;2023;41.178
29016 Árchez;Total;2023;391
29017 Archidona;Total;2023;8.050
29018 Ardales;Total;2023;2.522
29019 Arenas;Total;2023;1.264
29020 Arriate;Total;2023;4.068
29021 Atajate;Total;2023;185
29022 Benadalid;Total;2023;230
29023 Benahavís;Total;2023;9.244
29024 Benalauría;Total;2023;460
29025 Benalmádena;Total;2023;75.801
29026 Benamargosa;Total;2023;1.557
29027 Benamocarra;Total;2023;3.079
29028 Benaoján;Total;2023;1.437
29029 Benarrabá;Total;2023;454
29030 Borge, El;Total;2023;925
29031 Burgo, El;Total;2023;1.780
29032 Campillos;Total;2023;8.435
29033 Canillas de Aceituno;Total;2023;1.767
29034 Canillas de Albaida;Total;2023;801
29035 Cañete la Real;Total;2023;1.598
29036 Carratraca;Total;2023;750
29037 Cartajima;Total;2023;232
29038 Cártama;Total;2023;28.412
29039 Casabermeja;Total;2023;3.910
29040 Casarabonela;Total;2023;2.522
29041 Casares;Total;2023;8.111
29042 Coín;Total;2023;25.023
29043 Colmenar;Total;2023;3.494
29044 Comares;Total;2023;1.339
29045 Cómpeta;Total;2023;3.875
29046 Cortes de la Frontera;Total;2023;3.014
29047 Cuevas Bajas;Total;2023;1.337
29049 Cuevas de San Marcos;Total;2023;3.647
29048 Cuevas del Becerro;Total;2023;1.592
29050 Cútar;Total;2023;592
29051 Estepona;Total;2023;76.975
29052 Faraján;Total;2023;280
29053 Frigiliana;Total;2023;3.322
29054 Fuengirola;Total;2023;85.598
29055 Fuente de Piedra;Total;2023;2.891
29056 Gaucín;Total;2023;1.591
29057 Genalguacil;Total;2023;410
29058 Guaro;Total;2023;2.307
29059 Humilladero;Total;2023;3.331
29060 Igualeja;Total;2023;774
29061 Istán;Total;2023;1.621
29062 Iznate;Total;2023;915
29063 Jimera de Líbar;Total;2023;400
29064 Jubrique;Total;2023;561
29065 Júzcar;Total;2023;243
29066 Macharaviaya;Total;2023;523
29067 Málaga;Total;2023;586.384
29068 Manilva;Total;2023;17.857
29069 Marbella;Total;2023;156.295
29070 Mijas;Total;2023;91.691
29071 Moclinejo;Total;2023;1.220
29072 Mollina;Total;2023;5.413
29073 Monda;Total;2023;2.937
29903 Montecorto;Total;2023;588
29074 Montejaque;Total;2023;970
29075 Nerja;Total;2023;21.913
29076 Ojén;Total;2023;4.480
29077 Parauta;Total;2023;280
29079 Periana;Total;2023;3.290
29080 Pizarra;Total;2023;9.886
29081 Pujerra;Total;2023;279
29082 Rincón de la Victoria;Total;2023;51.300
29083 Riogordo;Total;2023;2.795
29084 Ronda;Total;2023;33.329
29085 Salares;Total;2023;187
29086 Sayalonga;Total;2023;1.647
29087 Sedella;Total;2023;611
29904 Serrato;Total;2023;447
29088 Sierra de Yeguas;Total;2023;3.418
29089 Teba;Total;2023;3.678
29090 Tolox;Total;2023;2.347
29901 Torremolinos;Total;2023;70.434
29091 Torrox;Total;2023;20.932
29092 Totalán;Total;2023;767
29093 Valle de Abdalajís;Total;2023;2.441
29094 Vélez-Málaga;Total;2023;85.377
29095 Villanueva de Algaidas;Total;2023;4.113
29902 Villanueva de la Concepción;Total;2023;3.302
29098 Villanueva de Tapia;Total;2023;1.405
29096 Villanueva del Rosario;Total;2023;3.348
29097 Villanueva del Trabuco;Total;2023;5.360
29099 Viñuela;Total;2023;2.059
29100 Yunquera;Total;2023;2.823
