Municipios;Sexo;Periodo;Total
52 Melilla;Total;2023;85.491
52 Melilla;Total;2022;85.170
52 Melilla;Total;2021;86.261
52 Melilla;Total;2020;87.076
52 Melilla;Total;2019;86.487
52 Melilla;Total;2018;86.384
52 Melilla;Total;2017;86.120
52 Melilla;Total;2016;86.026
52 Melilla;Total;2015;85.584
52 Melilla;Total;2014;84.509
52 Melilla;Total;2013;83.679
52 Melilla;Total;2012;80.802
52 Melilla;Total;2011;78.476
52 Melilla;Total;2010;76.034
52 Melilla;Total;2009;73.460
52 Melilla;Total;2008;71.448
52 Melilla;Total;2007;69.440
52 Melilla;Total;2006;66.871
52 Melilla;Total;2005;65.488
52 Melilla;Total;2004;68.016
52 Melilla;Total;2003;68.463
52 Melilla;Total;2002;69.184
52 Melilla;Total;2001;68.789
52 Melilla;Total;2000;66.263
52 Melilla;Total;1999;56.929
52 Melilla;Total;1998;60.108
52 Melilla;Total;1997;""
52 Melilla;Total;1996;59.576
52 Melilla;Hombres;2023;43.047
52 Melilla;Hombres;2022;42.990
52 Melilla;Hombres;2021;43.603
52 Melilla;Hombres;2020;44.162
52 Melilla;Hombres;2019;43.894
52 Melilla;Hombres;2018;43.765
52 Melilla;Hombres;2017;43.629
52 Melilla;Hombres;2016;43.768
52 Melilla;Hombres;2015;43.593
52 Melilla;Hombres;2014;43.075
52 Melilla;Hombres;2013;43.017
52 Melilla;Hombres;2012;41.569
52 Melilla;Hombres;2011;40.256
52 Melilla;Hombres;2010;38.819
52 Melilla;Hombres;2009;37.244
52 Melilla;Hombres;2008;36.336
52 Melilla;Hombres;2007;35.208
52 Melilla;Hombres;2006;33.962
52 Melilla;Hombres;2005;33.322
52 Melilla;Hombres;2004;34.455
52 Melilla;Hombres;2003;34.737
52 Melilla;Hombres;2002;35.178
52 Melilla;Hombres;2001;35.027
52 Melilla;Hombres;2000;33.976
52 Melilla;Hombres;1999;28.952
52 Melilla;Hombres;1998;30.569
52 Melilla;Hombres;1997;""
52 Melilla;Hombres;1996;29.647
52 Melilla;Mujeres;2023;42.444
52 Melilla;Mujeres;2022;42.180
52 Melilla;Mujeres;2021;42.658
52 Melilla;Mujeres;2020;42.914
52 Melilla;Mujeres;2019;42.593
52 Melilla;Mujeres;2018;42.619
52 Melilla;Mujeres;2017;42.491
52 Melilla;Mujeres;2016;42.258
52 Melilla;Mujeres;2015;41.991
52 Melilla;Mujeres;2014;41.434
52 Melilla;Mujeres;2013;40.662
52 Melilla;Mujeres;2012;39.233
52 Melilla;Mujeres;2011;38.220
52 Melilla;Mujeres;2010;37.215
52 Melilla;Mujeres;2009;36.216
52 Melilla;Mujeres;2008;35.112
52 Melilla;Mujeres;2007;34.232
52 Melilla;Mujeres;2006;32.909
52 Melilla;Mujeres;2005;32.166
52 Melilla;Mujeres;2004;33.561
52 Melilla;Mujeres;2003;33.726
52 Melilla;Mujeres;2002;34.006
52 Melilla;Mujeres;2001;33.762
52 Melilla;Mujeres;2000;32.287
52 Melilla;Mujeres;1999;27.977
52 Melilla;Mujeres;1998;29.539
52 Melilla;Mujeres;1997;""
52 Melilla;Mujeres;1996;29.929
52001 Melilla;Total;2023;85.491
52001 Melilla;Total;2022;85.170
52001 Melilla;Total;2021;86.261
52001 Melilla;Total;2020;87.076
52001 Melilla;Total;2019;86.487
52001 Melilla;Total;2018;86.384
52001 Melilla;Total;2017;86.120
52001 Melilla;Total;2016;86.026
52001 Melilla;Total;2015;85.584
52001 Melilla;Total;2014;84.509
52001 Melilla;Total;2013;83.679
