Municipios;Sexo;Periodo;Total
30 Murcia;Total;2023;1.552.457
30001 Abanilla;Total;2023;6.216
30002 Abarán;Total;2023;12.964
30003 Águilas;Total;2023;36.862
30004 Albudeite;Total;2023;1.390
30005 Alcantarilla;Total;2023;43.049
30902 Alcázares, Los;Total;2023;18.598
30006 Aledo;Total;2023;1.123
30007 Alguazas;Total;2023;10.218
30008 Alhama de Murcia;Total;2023;23.280
30009 Archena;Total;2023;20.110
30010 Beniel;Total;2023;11.501
30011 Blanca;Total;2023;6.756
30012 Bullas;Total;2023;11.664
30013 Calasparra;Total;2023;10.161
30014 Campos del Río;Total;2023;2.143
30015 Caravaca de la Cruz;Total;2023;25.756
30016 Cartagena;Total;2023;218.050
30017 Cehegín;Total;2023;14.485
30018 Ceutí;Total;2023;12.668
30019 Cieza;Total;2023;35.286
30020 Fortuna;Total;2023;11.094
30021 Fuente Álamo de Murcia;Total;2023;18.063
30022 Jumilla;Total;2023;26.784
30023 Librilla;Total;2023;5.729
30024 Lorca;Total;2023;98.447
30025 Lorquí;Total;2023;7.706
30026 Mazarrón;Total;2023;34.462
30027 Molina de Segura;Total;2023;76.074
30028 Moratalla;Total;2023;7.588
30029 Mula;Total;2023;17.382
30030 Murcia;Total;2023;469.177
30031 Ojós;Total;2023;539
30032 Pliego;Total;2023;3.937
30033 Puerto Lumbreras;Total;2023;17.346
30034 Ricote;Total;2023;1.240
30035 San Javier;Total;2023;35.241
30036 San Pedro del Pinatar;Total;2023;27.691
30901 Santomera;Total;2023;16.245
30037 Torre-Pacheco;Total;2023;39.037
30038 Torres de Cotillas, Las;Total;2023;22.183
30039 Totana;Total;2023;33.149
30040 Ulea;Total;2023;874
30041 Unión, La;Total;2023;20.897
30042 Villanueva del Río Segura;Total;2023;3.771
30043 Yecla;Total;2023;35.521
