Municipios;Sexo;Periodo;Total
31 Navarra;Total;2023;671.746
31001 Abáigar;Total;2023;82
31002 Abárzuza/Abartzuza;Total;2023;514
31003 Abaurregaina/Abaurrea Alta;Total;2023;115
31004 Abaurrepea/Abaurrea Baja;Total;2023;29
31005 Aberin;Total;2023;368
31006 Ablitas;Total;2023;2.610
31007 Adiós;Total;2023;172
31008 Aguilar de Codés;Total;2023;76
31009 Aibar/Oibar;Total;2023;769
31011 Allín/Allin;Total;2023;908
31012 Allo;Total;2023;988
31010 Altsasu/Alsasua;Total;2023;7.590
31013 Améscoa Baja;Total;2023;724
31014 Ancín/Antzin;Total;2023;343
31015 Andosilla;Total;2023;2.882
31016 Ansoáin/Antsoain;Total;2023;10.608
31017 Anue;Total;2023;491
31018 Añorbe;Total;2023;628
31019 Aoiz/Agoitz;Total;2023;2.970
31020 Araitz;Total;2023;525
31025 Arakil;Total;2023;987
31021 Aranarache/Aranaratxe;Total;2023;70
31023 Aranguren;Total;2023;12.517
31024 Arano;Total;2023;110
31022 Arantza;Total;2023;609
31026 Aras;Total;2023;148
31027 Arbizu;Total;2023;1.126
31028 Arce/Artzi;Total;2023;296
31029 Arcos, Los;Total;2023;1.151
31030 Arellano;Total;2023;159
31031 Areso;Total;2023;267
31032 Arguedas;Total;2023;2.313
31033 Aria;Total;2023;49
31034 Aribe;Total;2023;34
31035 Armañanzas;Total;2023;54
31036 Arróniz;Total;2023;1.035
31037 Arruazu;Total;2023;119
31038 Artajona;Total;2023;1.772
31039 Artazu;Total;2023;116
31040 Atez/Atetz;Total;2023;214
31058 Auritz/Burguete;Total;2023;233
31041 Ayegui/Aiegi;Total;2023;2.531
31042 Azagra;Total;2023;3.749
31043 Azuelo;Total;2023;37
31044 Bakaiku;Total;2023;343
31901 Barañáin/Barañain;Total;2023;19.575
31045 Barásoain;Total;2023;602
31046 Barbarin;Total;2023;46
31047 Bargota;Total;2023;257
31048 Barillas;Total;2023;259
31049 Basaburua;Total;2023;845
31050 Baztan;Total;2023;7.831
31137 Beintza-Labaien;Total;2023;218
31051 Beire;Total;2023;301
31052 Belascoáin;Total;2023;138
31250 Bera;Total;2023;3.792
31053 Berbinzana;Total;2023;672
31905 Beriáin;Total;2023;4.129
31902 Berrioplano/Berriobeiti;Total;2023;7.541
31903 Berriozar;Total;2023;10.919
31054 Bertizarana;Total;2023;635
31055 Betelu;Total;2023;373
31253 Bidaurreta;Total;2023;165
31056 Biurrun-Olcoz;Total;2023;246
31057 Buñuel;Total;2023;2.309
31059 Burgui/Burgi;Total;2023;195
31060 Burlada/Burlata;Total;2023;20.865
31061 Busto, El;Total;2023;52
31062 Cabanillas;Total;2023;1.379
31063 Cabredo;Total;2023;75
31064 Cadreita;Total;2023;2.186
31065 Caparroso;Total;2023;2.786
31066 Cárcar;Total;2023;1.150
31067 Carcastillo;Total;2023;2.435
31068 Cascante;Total;2023;4.050
31069 Cáseda;Total;2023;969
31070 Castejón;Total;2023;4.435
31071 Castillonuevo;Total;2023;15
31193 Cendea de Olza/Oltza Zendea;Total;2023;1.836
31072 Cintruénigo;Total;2023;8.265
31074 Cirauqui/Zirauki;Total;2023;467
31075 Ciriza/Ziritza;Total;2023;158
31076 Cizur;Total;2023;3.891
31077 Corella;Total;2023;8.629
31078 Cortes;Total;2023;3.149
31079 Desojo;Total;2023;72
31080 Dicastillo;Total;2023;574
31081 Donamaria;Total;2023;455
31221 Doneztebe/Santesteban;Total;2023;1.858
31083 Echarri/Etxarri;Total;2023;75
31087 Elgorriaga;Total;2023;205
31089 Enériz/Eneritz;Total;2023;301
31090 Eratsun;Total;2023;155
31091 Ergoiena;Total;2023;380
31092 Erro;Total;2023;812
31094 Eslava;Total;2023;103
31095 Esparza de Salazar/Espartza Zaraitzu;Total;2023;74
31096 Espronceda;Total;2023;108
31097 Estella-Lizarra;Total;2023;14.195
31098 Esteribar;Total;2023;2.832
31099 Etayo;Total;2023;68
31082 Etxalar;Total;2023;833
31084 Etxarri Aranatz;Total;2023;2.521
31085 Etxauri;Total;2023;653
31100 Eulate;Total;2023;276
31101 Ezcabarte;Total;2023;1.837
31093 Ezcároz/Ezkaroze;Total;2023;299
31102 Ezkurra;Total;2023;142
31103 Ezprogui;Total;2023;53
31104 Falces;Total;2023;2.375
31105 Fitero;Total;2023;2.146
31106 Fontellas;Total;2023;1.005
31107 Funes;Total;2023;2.543
31108 Fustiñana;Total;2023;2.457
31109 Galar;Total;2023;2.353
31110 Gallipienzo/Galipentzu;Total;2023;96
31111 Gallués/Galoze;Total;2023;93
31112 Garaioa;Total;2023;84
31113 Garde;Total;2023;139
31114 Garínoain;Total;2023;523
31115 Garralda;Total;2023;186
31116 Genevilla;Total;2023;67
31117 Goizueta;Total;2023;708
31118 Goñi;Total;2023;172
31119 Güesa/Gorza;Total;2023;37
31120 Guesálaz/Gesalatz;Total;2023;431
31121 Guirguillano;Total;2023;71
31256 Hiriberri/Villanueva de Aezkoa;Total;2023;101
31122 Huarte/Uharte;Total;2023;7.562
31124 Ibargoiti;Total;2023;282
31259 Igantzi;Total;2023;572
31125 Igúzquiza;Total;2023;301
31126 Imotz;Total;2023;421
31127 Irañeta;Total;2023;165
31904 Irurtzun;Total;2023;2.316
31128 Isaba/Izaba;Total;2023;404
31129 Ituren;Total;2023;532
31130 Iturmendi;Total;2023;418
31131 Iza/Itza;Total;2023;1.330
31132 Izagaondoa;Total;2023;159
31133 Izalzu/Itzaltzu;Total;2023;38
31134 Jaurrieta;Total;2023;176
31135 Javier;Total;2023;122
31136 Juslapeña/Txulapain;Total;2023;564
31138 Lakuntza;Total;2023;1.297
31139 Lana;Total;2023;156
31140 Lantz;Total;2023;150
31141 Lapoblación;Total;2023;120
31142 Larraga;Total;2023;2.087
31143 Larraona;Total;2023;100
31144 Larraun;Total;2023;910
31145 Lazagurría;Total;2023;182
31146 Leache/Leatxe;Total;2023;37
31147 Legarda;Total;2023;135
31148 Legaria;Total;2023;108
31149 Leitza;Total;2023;3.016
31908 Lekunberri;Total;2023;1.689
31150 Leoz/Leotz;Total;2023;211
31151 Lerga;Total;2023;49
31152 Lerín;Total;2023;1.798
31153 Lesaka;Total;2023;2.731
31154 Lezaun;Total;2023;244
31155 Liédena;Total;2023;323
31156 Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti;Total;2023;303
31157 Lodosa;Total;2023;4.894
31158 Lónguida/Longida;Total;2023;309
31159 Lumbier;Total;2023;1.326
31160 Luquin;Total;2023;129
31248 Luzaide/Valcarlos;Total;2023;304
31161 Mañeru;Total;2023;445
31162 Marañón;Total;2023;52
31163 Marcilla;Total;2023;2.875
31164 Mélida;Total;2023;715
31165 Mendavia;Total;2023;3.496
31166 Mendaza;Total;2023;289
31167 Mendigorria;Total;2023;1.191
31168 Metauten;Total;2023;271
31169 Milagro;Total;2023;3.549
31170 Mirafuentes;Total;2023;58
31171 Miranda de Arga;Total;2023;917
31172 Monreal/Elo;Total;2023;503
31173 Monteagudo;Total;2023;1.102
31174 Morentin;Total;2023;116
31175 Mues;Total;2023;79
31176 Murchante;Total;2023;4.237
31177 Murieta;Total;2023;346
31178 Murillo el Cuende;Total;2023;685
31179 Murillo el Fruto;Total;2023;674
31180 Muruzábal;Total;2023;269
31181 Navascués/Nabaskoze;Total;2023;121
31182 Nazar;Total;2023;46
31088 Noáin (Valle de Elorz)/Noain (Elortzibar);Total;2023;8.429
31183 Obanos;Total;2023;920
31185 Ochagavía/Otsagabia;Total;2023;490
31184 Oco;Total;2023;68
31186 Odieta;Total;2023;373
31187 Oiz;Total;2023;133
31188 Olaibar;Total;2023;409
31189 Olazti/Olazagutía;Total;2023;1.483
31190 Olejua;Total;2023;49
31191 Olite/Erriberri;Total;2023;4.019
31192 Olóriz/Oloritz;Total;2023;221
31195 Orbaizeta;Total;2023;191
31196 Orbara;Total;2023;29
31197 Orísoain;Total;2023;74
31906 Orkoien;Total;2023;4.051
31198 Oronz/Orontze;Total;2023;47
31199 Oroz-Betelu/Orotz-Betelu;Total;2023;145
31211 Orreaga/Roncesvalles;Total;2023;19
31200 Oteiza;Total;2023;923
31201 Pamplona/Iruña;Total;2023;205.762
31202 Peralta/Azkoien;Total;2023;5.979
31203 Petilla de Aragón;Total;2023;28
31204 Piedramillera;Total;2023;41
31205 Pitillas;Total;2023;530
31206 Puente la Reina/Gares;Total;2023;2.944
31207 Pueyo/Puiu;Total;2023;346
31208 Ribaforada;Total;2023;3.715
31209 Romanzado/Erromantzatua;Total;2023;188
31210 Roncal/Erronkari;Total;2023;209
31212 Sada;Total;2023;130
31213 Saldías;Total;2023;124
31214 Salinas de Oro/Jaitz;Total;2023;109
31215 San Adrián;Total;2023;6.429
31217 San Martín de Unx;Total;2023;377
31216 Sangüesa/Zangoza;Total;2023;4.814
31219 Sansol;Total;2023;87
31220 Santacara;Total;2023;863
