Municipios;Sexo;Periodo;Total
32 Ourense;Total;2023;304.550
32001 Allariz;Total;2023;6.378
32002 Amoeiro;Total;2023;2.391
32003 Arnoia, A;Total;2023;1.002
32004 Avión;Total;2023;1.754
32005 Baltar;Total;2023;884
32006 Bande;Total;2023;1.482
32007 Baños de Molgas;Total;2023;1.535
32008 Barbadás;Total;2023;11.140
32009 Barco de Valdeorras, O;Total;2023;13.277
32010 Beade;Total;2023;364
32011 Beariz;Total;2023;946
32012 Blancos, Os;Total;2023;716
32013 Boborás;Total;2023;2.232
32014 Bola, A;Total;2023;1.069
32015 Bolo, O;Total;2023;806
32016 Calvos de Randín;Total;2023;679
32018 Carballeda de Avia;Total;2023;1.218
32017 Carballeda de Valdeorras;Total;2023;1.373
32019 Carballiño, O;Total;2023;13.968
32020 Cartelle;Total;2023;2.521
32022 Castrelo de Miño;Total;2023;1.337
32021 Castrelo do Val;Total;2023;989
32023 Castro Caldelas;Total;2023;1.222
32024 Celanova;Total;2023;5.709
32025 Cenlle;Total;2023;1.087
32029 Chandrexa de Queixa;Total;2023;493
32026 Coles;Total;2023;3.176
32027 Cortegada;Total;2023;1.032
32028 Cualedro;Total;2023;1.606
32030 Entrimo;Total;2023;1.098
32031 Esgos;Total;2023;1.099
32033 Gomesende;Total;2023;667
32034 Gudiña, A;Total;2023;1.180
32035 Irixo, O;Total;2023;1.391
32038 Larouco;Total;2023;444
32039 Laza;Total;2023;1.167
32040 Leiro;Total;2023;1.481
32041 Lobeira;Total;2023;768
32042 Lobios;Total;2023;1.786
32043 Maceda;Total;2023;2.878
32044 Manzaneda;Total;2023;832
32045 Maside;Total;2023;2.743
32046 Melón;Total;2023;1.123
32047 Merca, A;Total;2023;1.954
32048 Mezquita, A;Total;2023;1.007
32049 Montederramo;Total;2023;688
32050 Monterrei;Total;2023;2.424
32051 Muíños;Total;2023;1.439
32052 Nogueira de Ramuín;Total;2023;2.085
32053 Oímbra;Total;2023;1.730
32054 Ourense;Total;2023;104.250
32055 Paderne de Allariz;Total;2023;1.368
32056 Padrenda;Total;2023;1.614
32057 Parada de Sil;Total;2023;520
32058 Pereiro de Aguiar, O;Total;2023;6.647
32059 Peroxa, A;Total;2023;1.779
32060 Petín;Total;2023;875
32061 Piñor;Total;2023;1.151
32063 Pobra de Trives, A;Total;2023;1.977
32064 Pontedeva;Total;2023;468
32062 Porqueira;Total;2023;841
32065 Punxín;Total;2023;751
32066 Quintela de Leirado;Total;2023;607
32067 Rairiz de Veiga;Total;2023;1.220
32068 Ramirás;Total;2023;1.521
32069 Ribadavia;Total;2023;4.973
32071 Riós;Total;2023;1.414
32072 Rúa, A;Total;2023;4.141
32073 Rubiá;Total;2023;1.384
32074 San Amaro;Total;2023;1.049
32075 San Cibrao das Viñas;Total;2023;5.675
32076 San Cristovo de Cea;Total;2023;2.003
32070 San Xoán de Río;Total;2023;518
32077 Sandiás;Total;2023;1.134
32078 Sarreaus;Total;2023;1.095
32079 Taboadela;Total;2023;1.487
32080 Teixeira, A;Total;2023;342
32081 Toén;Total;2023;2.378
32082 Trasmiras;Total;2023;1.228
32083 Veiga, A;Total;2023;925
32084 Verea;Total;2023;964
32085 Verín;Total;2023;13.612
32086 Viana do Bolo;Total;2023;2.750
32087 Vilamarín;Total;2023;1.866
32088 Vilamartín de Valdeorras;Total;2023;1.851
32089 Vilar de Barrio;Total;2023;1.201
32090 Vilar de Santos;Total;2023;792
32091 Vilardevós;Total;2023;1.702
32092 Vilariño de Conso;Total;2023;521
32032 Xinzo de Limia;Total;2023;9.529
32036 Xunqueira de Ambía;Total;2023;1.368
32037 Xunqueira de Espadanedo;Total;2023;689
