Municipios;Sexo;Periodo;Total
34 Palencia;Total;2023;157.752
34001 Abarca de Campos;Total;2023;42
34003 Abia de las Torres;Total;2023;167
34004 Aguilar de Campoo;Total;2023;6.733
34005 Alar del Rey;Total;2023;922
34006 Alba de Cerrato;Total;2023;82
34009 Amayuelas de Arriba;Total;2023;36
34010 Ampudia;Total;2023;589
34011 Amusco;Total;2023;422
34012 Antigüedad;Total;2023;340
34015 Arconada;Total;2023;45
34017 Astudillo;Total;2023;1.036
34018 Autilla del Pino;Total;2023;210
34019 Autillo de Campos;Total;2023;129
34020 Ayuela;Total;2023;53
34022 Baltanás;Total;2023;1.212
34024 Baquerín de Campos;Total;2023;25
34025 Bárcena de Campos;Total;2023;54
34027 Barruelo de Santullán;Total;2023;1.182
34028 Báscones de Ojeda;Total;2023;134
34029 Becerril de Campos;Total;2023;756
34031 Belmonte de Campos;Total;2023;33
34032 Berzosilla;Total;2023;43
34033 Boada de Campos;Total;2023;19
34035 Boadilla de Rioseco;Total;2023;99
34034 Boadilla del Camino;Total;2023;117
34036 Brañosera;Total;2023;254
34037 Buenavista de Valdavia;Total;2023;309
34038 Bustillo de la Vega;Total;2023;275
34039 Bustillo del Páramo de Carrión;Total;2023;52
34041 Calahorra de Boedo;Total;2023;87
34042 Calzada de los Molinos;Total;2023;305
34045 Capillas;Total;2023;71
34046 Cardeñosa de Volpejera;Total;2023;59
34047 Carrión de los Condes;Total;2023;2.005
34048 Castil de Vela;Total;2023;57
34049 Castrejón de la Peña;Total;2023;323
34050 Castrillo de Don Juan;Total;2023;181
34051 Castrillo de Onielo;Total;2023;99
34052 Castrillo de Villavega;Total;2023;174
34053 Castromocho;Total;2023;202
34055 Cervatos de la Cueza;Total;2023;261
34056 Cervera de Pisuerga;Total;2023;2.265
34057 Cevico de la Torre;Total;2023;466
34058 Cevico Navero;Total;2023;178
34059 Cisneros;Total;2023;409
34060 Cobos de Cerrato;Total;2023;133
34061 Collazos de Boedo;Total;2023;106
34062 Congosto de Valdavia;Total;2023;141
34063 Cordovilla la Real;Total;2023;129
34066 Cubillas de Cerrato;Total;2023;62
34067 Dehesa de Montejo;Total;2023;133
34068 Dehesa de Romanos;Total;2023;53
34069 Dueñas;Total;2023;2.597
34070 Espinosa de Cerrato;Total;2023;123
