Municipios;Sexo;Periodo;Total
36 Pontevedra;Total;2023;944.245
36020 Agolada;Total;2023;2.254
36001 Arbo;Total;2023;2.647
36003 Baiona;Total;2023;12.407
36002 Barro;Total;2023;3.651
36004 Bueu;Total;2023;11.922
36005 Caldas de Reis;Total;2023;9.620
36006 Cambados;Total;2023;13.681
36007 Campo Lameiro;Total;2023;1.723
36008 Cangas;Total;2023;26.807
36009 Cañiza, A;Total;2023;5.090
36010 Catoira;Total;2023;3.289
36011 Cerdedo;Total;2023;""
36902 Cerdedo-Cotobade;Total;2023;5.687
36012 Cotobade;Total;2023;""
36013 Covelo;Total;2023;2.426
36014 Crecente;Total;2023;1.978
36015 Cuntis;Total;2023;4.549
36016 Dozón;Total;2023;1.017
36017 Estrada, A;Total;2023;20.081
36018 Forcarei;Total;2023;3.186
36019 Fornelos de Montes;Total;2023;1.647
36021 Gondomar;Total;2023;15.043
36022 Grove, O;Total;2023;10.828
36023 Guarda, A;Total;2023;9.998
36901 Illa de Arousa, A;Total;2023;4.876
36024 Lalín;Total;2023;20.282
36025 Lama, A;Total;2023;2.520
36026 Marín;Total;2023;24.197
36027 Meaño;Total;2023;5.258
36028 Meis;Total;2023;4.706
36029 Moaña;Total;2023;19.315
36030 Mondariz;Total;2023;4.444
36031 Mondariz-Balneario;Total;2023;703
36032 Moraña;Total;2023;4.126
36033 Mos;Total;2023;15.076
36034 Neves, As;Total;2023;3.739
36035 Nigrán;Total;2023;18.045
36036 Oia;Total;2023;3.104
36037 Pazos de Borbén;Total;2023;2.993
36041 Poio;Total;2023;17.297
36043 Ponte Caldelas;Total;2023;5.553
36042 Ponteareas;Total;2023;23.154
36044 Pontecesures;Total;2023;3.096
36038 Pontevedra;Total;2023;82.535
36039 Porriño, O;Total;2023;20.562
36040 Portas;Total;2023;2.823
36045 Redondela;Total;2023;28.937
36046 Ribadumia;Total;2023;5.189
36047 Rodeiro;Total;2023;2.260
36048 Rosal, O;Total;2023;6.431
36049 Salceda de Caselas;Total;2023;9.421
36050 Salvaterra de Miño;Total;2023;10.274
36051 Sanxenxo;Total;2023;17.854
36052 Silleda;Total;2023;8.876
36053 Soutomaior;Total;2023;7.603
36054 Tomiño;Total;2023;13.836
36055 Tui;Total;2023;17.327
36056 Valga;Total;2023;5.704
36057 Vigo;Total;2023;293.652
36059 Vila de Cruces;Total;2023;5.082
36058 Vilaboa;Total;2023;5.950
36060 Vilagarcía de Arousa;Total;2023;37.689
36061 Vilanova de Arousa;Total;2023;10.225
