Municipios;Sexo;Periodo;Total
37 Salamanca;Total;2023;327.170
37001 Abusejo;Total;2023;150
37002 Agallas;Total;2023;126
37003 Ahigal de los Aceiteros;Total;2023;94
37004 Ahigal de Villarino;Total;2023;31
37005 Alameda de Gardón, La;Total;2023;79
37006 Alamedilla, La;Total;2023;108
37007 Alaraz;Total;2023;437
37008 Alba de Tormes;Total;2023;5.058
37009 Alba de Yeltes;Total;2023;201
37010 Alberca, La;Total;2023;1.061
37011 Alberguería de Argañán, La;Total;2023;103
37012 Alconada;Total;2023;140
37015 Aldea del Obispo;Total;2023;275
37013 Aldeacipreste;Total;2023;94
37014 Aldeadávila de la Ribera;Total;2023;1.131
37016 Aldealengua;Total;2023;668
37017 Aldeanueva de Figueroa;Total;2023;254
37018 Aldeanueva de la Sierra;Total;2023;106
37019 Aldearrodrigo;Total;2023;146
37020 Aldearrubia;Total;2023;514
37021 Aldeaseca de Alba;Total;2023;66
37022 Aldeaseca de la Frontera;Total;2023;254
37023 Aldeatejada;Total;2023;2.518
37024 Aldeavieja de Tormes;Total;2023;100
37025 Aldehuela de la Bóveda;Total;2023;271
37026 Aldehuela de Yeltes;Total;2023;191
37027 Almenara de Tormes;Total;2023;299
37028 Almendra;Total;2023;125
37029 Anaya de Alba;Total;2023;187
37030 Añover de Tormes;Total;2023;89
37031 Arabayona de Mógica;Total;2023;333
37032 Arapiles;Total;2023;725
37033 Arcediano;Total;2023;100
37034 Arco, El;Total;2023;93
37035 Armenteros;Total;2023;256
37037 Atalaya, La;Total;2023;100
37038 Babilafuente;Total;2023;927
37039 Bañobárez;Total;2023;280
37040 Barbadillo;Total;2023;395
37041 Barbalos;Total;2023;71
37042 Barceo;Total;2023;48
37044 Barruecopardo;Total;2023;418
37045 Bastida, La;Total;2023;28
37046 Béjar;Total;2023;12.021
37047 Beleña;Total;2023;277
37049 Bermellar;Total;2023;131
37050 Berrocal de Huebra;Total;2023;75
37051 Berrocal de Salvatierra;Total;2023;72
37052 Boada;Total;2023;273
37054 Bodón, El;Total;2023;245
37055 Bogajo;Total;2023;130
37056 Bouza, La;Total;2023;47
37057 Bóveda del Río Almar;Total;2023;199
37058 Brincones;Total;2023;60
37059 Buenamadre;Total;2023;116
37060 Buenavista;Total;2023;373
37061 Cabaco, El;Total;2023;238
37063 Cabeza de Béjar, La;Total;2023;58
37065 Cabeza del Caballo;Total;2023;248
37062 Cabezabellosa de la Calzada;Total;2023;75
37067 Cabrerizos;Total;2023;4.224
37068 Cabrillas;Total;2023;324
37069 Calvarrasa de Abajo;Total;2023;1.191
37070 Calvarrasa de Arriba;Total;2023;597
37071 Calzada de Béjar, La;Total;2023;88
37072 Calzada de Don Diego;Total;2023;137
37073 Calzada de Valdunciel;Total;2023;702
37074 Campillo de Azaba;Total;2023;141
37077 Campo de Peñaranda, El;Total;2023;263
37078 Candelario;Total;2023;841
37079 Canillas de Abajo;Total;2023;75
37080 Cantagallo;Total;2023;275
37081 Cantalapiedra;Total;2023;909
37082 Cantalpino;Total;2023;817
37083 Cantaracillo;Total;2023;188
37085 Carbajosa de la Sagrada;Total;2023;7.555
37086 Carpio de Azaba;Total;2023;111
37087 Carrascal de Barregas;Total;2023;1.415
37088 Carrascal del Obispo;Total;2023;192
37089 Casafranca;Total;2023;72
37090 Casas del Conde, Las;Total;2023;61
37091 Casillas de Flores;Total;2023;179
37092 Castellanos de Moriscos;Total;2023;2.989
37185 Castellanos de Villiquera;Total;2023;683
37096 Castillejo de Martín Viejo;Total;2023;219
37097 Castraz;Total;2023;37
37098 Cepeda;Total;2023;290
37099 Cereceda de la Sierra;Total;2023;66
37100 Cerezal de Peñahorcada;Total;2023;73
37101 Cerralbo;Total;2023;119
37102 Cerro, El;Total;2023;368
37103 Cespedosa de Tormes;Total;2023;501
37114 Chagarcía Medianero;Total;2023;80
37104 Cilleros de la Bastida;Total;2023;21
37106 Cipérez;Total;2023;242
37107 Ciudad Rodrigo;Total;2023;11.810
37108 Coca de Alba;Total;2023;102
37109 Colmenar de Montemayor;Total;2023;179
37110 Cordovilla;Total;2023;111
37112 Cristóbal;Total;2023;166
37113 Cubo de Don Sancho, El;Total;2023;396
37115 Dios le Guarde;Total;2023;122
37116 Doñinos de Ledesma;Total;2023;67
37117 Doñinos de Salamanca;Total;2023;2.288
37118 Éjeme;Total;2023;144
37120 Encina de San Silvestre;Total;2023;111
37119 Encina, La;Total;2023;101
37121 Encinas de Abajo;Total;2023;618
37122 Encinas de Arriba;Total;2023;235
37123 Encinasola de los Comendadores;Total;2023;153
37124 Endrinal;Total;2023;203
37125 Escurial de la Sierra;Total;2023;233
37126 Espadaña;Total;2023;34
37127 Espeja;Total;2023;211
37128 Espino de la Orbada;Total;2023;240
37129 Florida de Liébana;Total;2023;251
37130 Forfoleda;Total;2023;208
37131 Frades de la Sierra;Total;2023;181
37132 Fregeneda, La;Total;2023;310
37133 Fresnedoso;Total;2023;102
37134 Fresno Alhándiga;Total;2023;191
37135 Fuente de San Esteban, La;Total;2023;1.284
37136 Fuenteguinaldo;Total;2023;662
37137 Fuenteliante;Total;2023;89
37138 Fuenterroble de Salvatierra;Total;2023;253
37139 Fuentes de Béjar;Total;2023;233
37140 Fuentes de Oñoro;Total;2023;1.043
37141 Gajates;Total;2023;146
37142 Galindo y Perahuy;Total;2023;665
37143 Galinduste;Total;2023;394
37144 Galisancho;Total;2023;333
37145 Gallegos de Argañán;Total;2023;269
37146 Gallegos de Solmirón;Total;2023;109
37147 Garcibuey;Total;2023;200
37148 Garcihernández;Total;2023;418
37149 Garcirrey;Total;2023;57
37150 Gejuelo del Barro;Total;2023;31
37151 Golpejas;Total;2023;148
37152 Gomecello;Total;2023;409
37154 Guadramiro;Total;2023;133
37155 Guijo de Ávila;Total;2023;77
37156 Guijuelo;Total;2023;5.484
37157 Herguijuela de Ciudad Rodrigo;Total;2023;70
37158 Herguijuela de la Sierra;Total;2023;230
37159 Herguijuela del Campo;Total;2023;66
37160 Hinojosa de Duero;Total;2023;600
37161 Horcajo de Montemayor;Total;2023;110
37162 Horcajo Medianero;Total;2023;212
37163 Hoya, La;Total;2023;31
37164 Huerta;Total;2023;278
37165 Iruelos;Total;2023;26
37166 Ituero de Azaba;Total;2023;205
37167 Juzbado;Total;2023;189
37168 Lagunilla;Total;2023;436
37169 Larrodrigo;Total;2023;183
37170 Ledesma;Total;2023;1.539
37171 Ledrada;Total;2023;447
37172 Linares de Riofrío;Total;2023;923
37173 Lumbrales;Total;2023;1.517
37175 Machacón;Total;2023;444
37174 Macotera;Total;2023;1.003
37176 Madroñal;Total;2023;140
37177 Maíllo, El;Total;2023;290
37178 Malpartida;Total;2023;90
37179 Mancera de Abajo;Total;2023;203
37180 Manzano, El;Total;2023;60
37181 Martiago;Total;2023;264
37183 Martín de Yeltes;Total;2023;397
37182 Martinamor;Total;2023;79
37184 Masueco;Total;2023;262
37186 Mata de Ledesma, La;Total;2023;104
37187 Matilla de los Caños del Río;Total;2023;628
37188 Maya, La;Total;2023;159
37189 Membribe de la Sierra;Total;2023;102
37190 Mieza;Total;2023;179
37191 Milano, El;Total;2023;93
37192 Miranda de Azán;Total;2023;455
37193 Miranda del Castañar;Total;2023;392
37194 Mogarraz;Total;2023;253
37195 Molinillo;Total;2023;47
37196 Monforte de la Sierra;Total;2023;59
37197 Monleón;Total;2023;89
37198 Monleras;Total;2023;241
37199 Monsagro;Total;2023;133
37200 Montejo;Total;2023;211
37201 Montemayor del Río;Total;2023;266
37202 Monterrubio de Armuña;Total;2023;1.315
37203 Monterrubio de la Sierra;Total;2023;152
37204 Morasverdes;Total;2023;245
37205 Morille;Total;2023;227
37206 Moríñigo;Total;2023;87
37207 Moriscos;Total;2023;552
37208 Moronta;Total;2023;74
37209 Mozárbez;Total;2023;514
37211 Narros de Matalayegua;Total;2023;208
37213 Nava de Béjar;Total;2023;76
37214 Nava de Francia;Total;2023;122
37215 Nava de Sotrobal;Total;2023;165
37212 Navacarros;Total;2023;132
37216 Navales;Total;2023;305
37217 Navalmoral de Béjar;Total;2023;60
37218 Navamorales;Total;2023;43
37219 Navarredonda de la Rinconada;Total;2023;156
37221 Navasfrías;Total;2023;370
37222 Negrilla de Palencia;Total;2023;80
37223 Olmedo de Camaces;Total;2023;100
37224 Orbada, La;Total;2023;181
37225 Pajares de la Laguna;Total;2023;109
37226 Palacios del Arzobispo;Total;2023;151
37228 Palaciosrubios;Total;2023;305
37229 Palencia de Negrilla;Total;2023;145
37230 Parada de Arriba;Total;2023;259
37231 Parada de Rubiales;Total;2023;249
37232 Paradinas de San Juan;Total;2023;394
37233 Pastores;Total;2023;54
37234 Payo, El;Total;2023;325
37235 Pedraza de Alba;Total;2023;222
37236 Pedrosillo de Alba;Total;2023;124
37237 Pedrosillo de los Aires;Total;2023;321
37238 Pedrosillo el Ralo;Total;2023;129
37239 Pedroso de la Armuña, El;Total;2023;209
37240 Pelabravo;Total;2023;1.323
37241 Pelarrodríguez;Total;2023;162
37242 Pelayos;Total;2023;74
37243 Peña, La;Total;2023;72
37244 Peñacaballera;Total;2023;155
37245 Peñaparda;Total;2023;319
37246 Peñaranda de Bracamonte;Total;2023;6.079
37247 Peñarandilla;Total;2023;184
37248 Peralejos de Abajo;Total;2023;168
37249 Peralejos de Arriba;Total;2023;35
37250 Pereña de la Ribera;Total;2023;312
37251 Peromingo;Total;2023;122
37252 Pinedas;Total;2023;106
37253 Pino de Tormes, El;Total;2023;155
37254 Pitiegua;Total;2023;179
37255 Pizarral;Total;2023;60
37256 Poveda de las Cintas;Total;2023;197
37257 Pozos de Hinojo;Total;2023;54
37258 Puebla de Azaba;Total;2023;145
37259 Puebla de San Medel;Total;2023;33
