Municipios;Sexo;Periodo;Total
38 Santa Cruz de Tenerife;Total;2023;1.061.790
38001 Adeje;Total;2023;50.167
38002 Agulo;Total;2023;1.113
38003 Alajeró;Total;2023;2.056
38004 Arafo;Total;2023;5.712
38005 Arico;Total;2023;9.020
38006 Arona;Total;2023;85.249
38007 Barlovento;Total;2023;1.944
38008 Breña Alta;Total;2023;7.305
38009 Breña Baja;Total;2023;5.963
38010 Buenavista del Norte;Total;2023;4.710
38011 Candelaria;Total;2023;28.694
38012 Fasnia;Total;2023;2.984
38013 Frontera;Total;2023;4.465
38014 Fuencaliente de la Palma;Total;2023;1.841
38015 Garachico;Total;2023;4.936
38016 Garafía;Total;2023;1.916
38017 Granadilla de Abona;Total;2023;54.942
38018 Guancha, La;Total;2023;5.562
38019 Guía de Isora;Total;2023;22.301
38020 Güímar;Total;2023;21.536
38021 Hermigua;Total;2023;1.838
38022 Icod de los Vinos;Total;2023;23.971
38024 Llanos de Aridane, Los;Total;2023;20.189
38025 Matanza de Acentejo, La;Total;2023;9.092
38026 Orotava, La;Total;2023;42.454
38027 Paso, El;Total;2023;7.967
38901 Pinar de El Hierro, El;Total;2023;2.016
38028 Puerto de la Cruz;Total;2023;30.849
38029 Puntagorda;Total;2023;2.320
38030 Puntallana;Total;2023;2.605
38031 Realejos, Los;Total;2023;37.207
38032 Rosario, El;Total;2023;17.866
38033 San Andrés y Sauces;Total;2023;4.219
38023 San Cristóbal de La Laguna;Total;2023;159.034
38034 San Juan de la Rambla;Total;2023;4.908
38035 San Miguel de Abona;Total;2023;22.606
38036 San Sebastián de la Gomera;Total;2023;9.501
38037 Santa Cruz de la Palma;Total;2023;15.441
38038 Santa Cruz de Tenerife;Total;2023;209.395
38039 Santa Úrsula;Total;2023;15.285
38040 Santiago del Teide;Total;2023;11.972
38041 Sauzal, El;Total;2023;9.145
38042 Silos, Los;Total;2023;4.679
38043 Tacoronte;Total;2023;24.652
38044 Tanque, El;Total;2023;2.784
38045 Tazacorte;Total;2023;4.575
38046 Tegueste;Total;2023;11.344
38047 Tijarafe;Total;2023;2.640
38049 Valle Gran Rey;Total;2023;4.719
38050 Vallehermoso;Total;2023;2.935
38048 Valverde;Total;2023;5.165
38051 Victoria de Acentejo, La;Total;2023;9.228
38052 Vilaflor de Chasna;Total;2023;1.823
38053 Villa de Mazo;Total;2023;4.950
