Municipios;Sexo;Periodo;Total
40 Segovia;Total;2023;155.258
40001 Abades;Total;2023;859
40002 Adrada de Pirón;Total;2023;38
40003 Adrados;Total;2023;122
40004 Aguilafuente;Total;2023;562
40005 Alconada de Maderuelo;Total;2023;24
40012 Aldea Real;Total;2023;281
40006 Aldealcorvo;Total;2023;18
40007 Aldealengua de Pedraza;Total;2023;83
40008 Aldealengua de Santa María;Total;2023;66
40009 Aldeanueva de la Serrezuela;Total;2023;42
40010 Aldeanueva del Codonal;Total;2023;110
40013 Aldeasoña;Total;2023;64
40014 Aldehorno;Total;2023;55
40015 Aldehuela del Codonal;Total;2023;23
40016 Aldeonte;Total;2023;55
40017 Anaya;Total;2023;120
40018 Añe;Total;2023;69
40019 Arahuetes;Total;2023;25
40020 Arcones;Total;2023;191
40021 Arevalillo de Cega;Total;2023;18
40022 Armuña;Total;2023;238
40024 Ayllón;Total;2023;1.124
40025 Barbolla;Total;2023;143
40026 Basardilla;Total;2023;148
40028 Bercial;Total;2023;107
40029 Bercimuel;Total;2023;34
40030 Bernardos;Total;2023;475
40031 Bernuy de Porreros;Total;2023;1.059
40032 Boceguillas;Total;2023;699
40033 Brieva;Total;2023;91
40034 Caballar;Total;2023;74
40035 Cabañas de Polendos;Total;2023;203
40036 Cabezuela;Total;2023;626
40037 Calabazas de Fuentidueña;Total;2023;25
40039 Campo de San Pedro;Total;2023;255
40040 Cantalejo;Total;2023;3.546
40041 Cantimpalos;Total;2023;1.364
40161 Carabias;Total;2023;57
40043 Carbonero el Mayor;Total;2023;2.492
40044 Carrascal del Río;Total;2023;137
40045 Casla;Total;2023;155
40046 Castillejo de Mesleón;Total;2023;111
40047 Castro de Fuentidueña;Total;2023;46
40048 Castrojimeno;Total;2023;31
40049 Castroserna de Abajo;Total;2023;36
40051 Castroserracín;Total;2023;35
40052 Cedillo de la Torre;Total;2023;85
40053 Cerezo de Abajo;Total;2023;126
40054 Cerezo de Arriba;Total;2023;134
40065 Chañe;Total;2023;699
40055 Cilleruelo de San Mamés;Total;2023;33
40056 Cobos de Fuentidueña;Total;2023;36
40057 Coca;Total;2023;1.741
40058 Codorniz;Total;2023;317
40059 Collado Hermoso;Total;2023;128
40060 Condado de Castilnovo;Total;2023;85
40061 Corral de Ayllón;Total;2023;75
40902 Cozuelos de Fuentidueña;Total;2023;114
40062 Cubillo;Total;2023;72
40063 Cuéllar;Total;2023;9.608
40905 Cuevas de Provanco;Total;2023;127
40068 Domingo García;Total;2023;32
40069 Donhierro;Total;2023;86
40070 Duruelo;Total;2023;160
40071 Encinas;Total;2023;37
40072 Encinillas;Total;2023;340
40073 Escalona del Prado;Total;2023;475
40074 Escarabajosa de Cabezas;Total;2023;281
40075 Escobar de Polendos;Total;2023;176
40076 Espinar, El;Total;2023;9.814
40077 Espirdo;Total;2023;1.543
40078 Fresneda de Cuéllar;Total;2023;174
40079 Fresno de Cantespino;Total;2023;303
40080 Fresno de la Fuente;Total;2023;77
40081 Frumales;Total;2023;124
40082 Fuente de Santa Cruz;Total;2023;109
40083 Fuente el Olmo de Fuentidueña;Total;2023;278
40084 Fuente el Olmo de Íscar;Total;2023;51
40086 Fuentepelayo;Total;2023;775
40087 Fuentepiñel;Total;2023;72
40088 Fuenterrebollo;Total;2023;316
40089 Fuentesaúco de Fuentidueña;Total;2023;244
40091 Fuentesoto;Total;2023;96
40092 Fuentidueña;Total;2023;144
40093 Gallegos;Total;2023;95
40094 Garcillán;Total;2023;519
40095 Gomezserracín;Total;2023;636
40097 Grajera;Total;2023;256
40099 Honrubia de la Cuesta;Total;2023;52
40100 Hontalbilla;Total;2023;302
40101 Hontanares de Eresma;Total;2023;1.601
40103 Huertos, Los;Total;2023;171
40104 Ituero y Lama;Total;2023;437
40105 Juarros de Riomoros;Total;2023;45
40106 Juarros de Voltoya;Total;2023;186
40107 Labajos;Total;2023;110
40108 Laguna de Contreras;Total;2023;110
40109 Languilla;Total;2023;83
40110 Lastras de Cuéllar;Total;2023;318
40111 Lastras del Pozo;Total;2023;65
40112 Lastrilla, La;Total;2023;4.559
40113 Losa, La;Total;2023;537
40115 Maderuelo;Total;2023;109
40903 Marazoleja;Total;2023;97
40118 Marazuela;Total;2023;52
40119 Martín Miguel;Total;2023;248
40120 Martín Muñoz de la Dehesa;Total;2023;317
40121 Martín Muñoz de las Posadas;Total;2023;259
40122 Marugán;Total;2023;757
40124 Mata de Cuéllar;Total;2023;266
40123 Matabuena;Total;2023;203
40125 Matilla, La;Total;2023;73
40126 Melque de Cercos;Total;2023;69
40127 Membibre de la Hoz;Total;2023;46
40128 Migueláñez;Total;2023;131
40129 Montejo de Arévalo;Total;2023;163
40130 Montejo de la Vega de la Serrezuela;Total;2023;128
40131 Monterrubio;Total;2023;61
40132 Moral de Hornuez;Total;2023;42
40134 Mozoncillo;Total;2023;880
40135 Muñopedro;Total;2023;306
40136 Muñoveros;Total;2023;142
40138 Nava de la Asunción;Total;2023;2.753
40139 Navafría;Total;2023;286
40140 Navalilla;Total;2023;96
40141 Navalmanzano;Total;2023;1.040
40142 Navares de Ayuso;Total;2023;46
40143 Navares de Enmedio;Total;2023;91
40144 Navares de las Cuevas;Total;2023;20
40145 Navas de Oro;Total;2023;1.272
40904 Navas de Riofrío;Total;2023;413
40146 Navas de San Antonio;Total;2023;371
40148 Nieva;Total;2023;249
40149 Olombrada;Total;2023;489
40150 Orejana;Total;2023;62
40151 Ortigosa de Pestaño;Total;2023;49
40901 Ortigosa del Monte;Total;2023;576
40152 Otero de Herreros;Total;2023;959
40154 Pajarejos;Total;2023;26
40155 Palazuelos de Eresma;Total;2023;5.830
40156 Pedraza;Total;2023;358
40157 Pelayos del Arroyo;Total;2023;45
40158 Perosillo;Total;2023;18
40159 Pinarejos;Total;2023;178
40160 Pinarnegrillo;Total;2023;101
40162 Prádena;Total;2023;487
40163 Puebla de Pedraza;Total;2023;51
40164 Rapariegos;Total;2023;197
40181 Real Sitio de San Ildefonso;Total;2023;5.183
40165 Rebollo;Total;2023;75
40166 Remondo;Total;2023;307
40168 Riaguas de San Bartolomé;Total;2023;29
40170 Riaza;Total;2023;2.150
40171 Ribota;Total;2023;47
40172 Riofrío de Riaza;Total;2023;39
40173 Roda de Eresma;Total;2023;250
40174 Sacramenia;Total;2023;352
40176 Samboal;Total;2023;464
40177 San Cristóbal de Cuéllar;Total;2023;152
40178 San Cristóbal de la Vega;Total;2023;83
40906 San Cristóbal de Segovia;Total;2023;3.152
40182 San Martín y Mudrián;Total;2023;232
40183 San Miguel de Bernuy;Total;2023;136
40184 San Pedro de Gaíllos;Total;2023;306
40179 Sanchonuño;Total;2023;1.012
40180 Sangarcía;Total;2023;289
40185 Santa María la Real de Nieva;Total;2023;891
40186 Santa Marta del Cerro;Total;2023;56
40188 Santiuste de Pedraza;Total;2023;84
40189 Santiuste de San Juan Bautista;Total;2023;534
40190 Santo Domingo de Pirón;Total;2023;48
40191 Santo Tomé del Puerto;Total;2023;248
40192 Sauquillo de Cabezas;Total;2023;141
40193 Sebúlcor;Total;2023;254
40194 Segovia;Total;2023;51.011
40195 Sepúlveda;Total;2023;990
40196 Sequera de Fresno;Total;2023;44
40198 Sotillo;Total;2023;30
40199 Sotosalbos;Total;2023;135
40200 Tabanera la Luenga;Total;2023;54
40201 Tolocirio;Total;2023;42
40206 Torre Val de San Pedro;Total;2023;190
40202 Torreadrada;Total;2023;52
40203 Torrecaballeros;Total;2023;1.454
40204 Torrecilla del Pinar;Total;2023;180
40205 Torreiglesias;Total;2023;256
40207 Trescasas;Total;2023;1.103
40208 Turégano;Total;2023;1.004
40210 Urueñas;Total;2023;100
40211 Valdeprados;Total;2023;61
40212 Valdevacas de Montejo;Total;2023;29
40213 Valdevacas y Guijar;Total;2023;85
40218 Valle de Tabladillo;Total;2023;76
40219 Vallelado;Total;2023;702
40220 Valleruela de Pedraza;Total;2023;80
40221 Valleruela de Sepúlveda;Total;2023;54
40214 Valseca;Total;2023;228
40215 Valtiendas;Total;2023;78
40216 Valverde del Majano;Total;2023;1.152
40222 Veganzones;Total;2023;204
40223 Vegas de Matute;Total;2023;329
40224 Ventosilla y Tejadilla;Total;2023;15
40225 Villacastín;Total;2023;1.530
40228 Villaverde de Íscar;Total;2023;585
40229 Villaverde de Montejo;Total;2023;24
40230 Villeguillo;Total;2023;123
40231 Yanguas de Eresma;Total;2023;123
40233 Zarzuela del Monte;Total;2023;494
40234 Zarzuela del Pinar;Total;2023;410
