Municipios;Sexo;Periodo;Total
41 Sevilla;Total;2023;1.957.210
41001 Aguadulce;Total;2023;2.046
41002 Alanís;Total;2023;1.675
41003 Albaida del Aljarafe;Total;2023;3.254
41004 Alcalá de Guadaíra;Total;2023;76.547
41005 Alcalá del Río;Total;2023;12.288
41006 Alcolea del Río;Total;2023;3.307
41007 Algaba, La;Total;2023;16.618
41008 Algámitas;Total;2023;1.251
41009 Almadén de la Plata;Total;2023;1.324
41010 Almensilla;Total;2023;6.537
41011 Arahal;Total;2023;19.491
41012 Aznalcázar;Total;2023;4.820
41013 Aznalcóllar;Total;2023;6.057
41014 Badolatosa;Total;2023;3.089
41015 Benacazón;Total;2023;7.324
41016 Bollullos de la Mitación;Total;2023;11.160
41017 Bormujos;Total;2023;22.780
41018 Brenes;Total;2023;12.804
41019 Burguillos;Total;2023;7.098
41020 Cabezas de San Juan, Las;Total;2023;16.400
41021 Camas;Total;2023;28.157
41022 Campana, La;Total;2023;5.137
41023 Cantillana;Total;2023;10.782
41901 Cañada Rosal;Total;2023;3.391
41024 Carmona;Total;2023;29.551
41025 Carrión de los Céspedes;Total;2023;2.597
41026 Casariche;Total;2023;5.305
41027 Castilblanco de los Arroyos;Total;2023;5.107
41028 Castilleja de Guzmán;Total;2023;2.874
41029 Castilleja de la Cuesta;Total;2023;17.167
41030 Castilleja del Campo;Total;2023;622
41031 Castillo de las Guardas, El;Total;2023;1.500
41032 Cazalla de la Sierra;Total;2023;4.660
41033 Constantina;Total;2023;5.742
41034 Coria del Río;Total;2023;30.887
41035 Coripe;Total;2023;1.215
41036 Coronil, El;Total;2023;4.690
41037 Corrales, Los;Total;2023;3.996
41903 Cuervo de Sevilla, El;Total;2023;8.635
41038 Dos Hermanas;Total;2023;138.981
41039 Écija;Total;2023;39.530
41040 Espartinas;Total;2023;16.505
41041 Estepa;Total;2023;12.373
41042 Fuentes de Andalucía;Total;2023;7.217
41043 Garrobo, El;Total;2023;825
41044 Gelves;Total;2023;10.388
41045 Gerena;Total;2023;7.833
41046 Gilena;Total;2023;3.686
41047 Gines;Total;2023;13.481
41048 Guadalcanal;Total;2023;2.545
41049 Guillena;Total;2023;13.682
41050 Herrera;Total;2023;6.544
41051 Huévar del Aljarafe;Total;2023;3.289
41902 Isla Mayor;Total;2023;5.741
41052 Lantejuela;Total;2023;3.851
41053 Lebrija;Total;2023;27.727
41054 Lora de Estepa;Total;2023;888
41055 Lora del Río;Total;2023;18.316
41056 Luisiana, La;Total;2023;4.608
41057 Madroño, El;Total;2023;297
41058 Mairena del Alcor;Total;2023;24.125
41059 Mairena del Aljarafe;Total;2023;47.541
41060 Marchena;Total;2023;19.271
41061 Marinaleda;Total;2023;2.577
41062 Martín de la Jara;Total;2023;2.642
41063 Molares, Los;Total;2023;3.559
41064 Montellano;Total;2023;7.003
41065 Morón de la Frontera;Total;2023;27.229
41066 Navas de la Concepción, Las;Total;2023;1.523
41067 Olivares;Total;2023;9.427
41068 Osuna;Total;2023;17.418
41069 Palacios y Villafranca, Los;Total;2023;38.698
41904 Palmar de Troya, El;Total;2023;2.325
41070 Palomares del Río;Total;2023;9.161
41071 Paradas;Total;2023;6.798
41072 Pedrera;Total;2023;5.104
41073 Pedroso, El;Total;2023;2.054
41074 Peñaflor;Total;2023;3.646
41075 Pilas;Total;2023;14.052
41076 Pruna;Total;2023;2.542
41077 Puebla de Cazalla, La;Total;2023;10.884
41078 Puebla de los Infantes, La;Total;2023;2.966
41079 Puebla del Río, La;Total;2023;11.862
41080 Real de la Jara, El;Total;2023;1.523
41081 Rinconada, La;Total;2023;40.162
41082 Roda de Andalucía, La;Total;2023;4.222
41083 Ronquillo, El;Total;2023;1.441
41084 Rubio, El;Total;2023;3.305
41085 Salteras;Total;2023;5.627
41086 San Juan de Aznalfarache;Total;2023;22.472
41088 San Nicolás del Puerto;Total;2023;608
41087 Sanlúcar la Mayor;Total;2023;14.172
41089 Santiponce;Total;2023;8.539
41090 Saucejo, El;Total;2023;4.246
41091 Sevilla;Total;2023;684.025
41092 Tocina;Total;2023;9.420
41093 Tomares;Total;2023;25.374
41094 Umbrete;Total;2023;9.376
41095 Utrera;Total;2023;51.718
41096 Valencina de la Concepción;Total;2023;8.029
41097 Villamanrique de la Condesa;Total;2023;4.640
41100 Villanueva de San Juan;Total;2023;994
41098 Villanueva del Ariscal;Total;2023;6.814
41099 Villanueva del Río y Minas;Total;2023;4.939
41101 Villaverde del Río;Total;2023;7.700
41102 Viso del Alcor, El;Total;2023;19.265
