Municipios;Sexo;Periodo;Total
42 Soria;Total;2023;89.482
42001 Abejar;Total;2023;376
42003 Adradas;Total;2023;61
42004 Ágreda;Total;2023;3.056
42006 Alconaba;Total;2023;198
42007 Alcubilla de Avellaneda;Total;2023;114
42008 Alcubilla de las Peñas;Total;2023;58
42009 Aldealafuente;Total;2023;79
42010 Aldealices;Total;2023;21
42011 Aldealpozo;Total;2023;20
42012 Aldealseñor;Total;2023;25
42013 Aldehuela de Periáñez;Total;2023;34
42014 Aldehuelas, Las;Total;2023;61
42015 Alentisque;Total;2023;26
42016 Aliud;Total;2023;21
42017 Almajano;Total;2023;178
42018 Almaluez;Total;2023;125
42019 Almarza;Total;2023;620
42020 Almazán;Total;2023;5.426
42021 Almazul;Total;2023;61
42022 Almenar de Soria;Total;2023;225
42023 Alpanseque;Total;2023;53
42024 Arancón;Total;2023;82
42025 Arcos de Jalón;Total;2023;1.525
42026 Arenillas;Total;2023;49
42027 Arévalo de la Sierra;Total;2023;69
42028 Ausejo de la Sierra;Total;2023;109
42029 Baraona;Total;2023;130
42030 Barca;Total;2023;107
42031 Barcones;Total;2023;26
42032 Bayubas de Abajo;Total;2023;150
42033 Bayubas de Arriba;Total;2023;62
42034 Beratón;Total;2023;46
42035 Berlanga de Duero;Total;2023;852
42036 Blacos;Total;2023;41
42037 Bliecos;Total;2023;27
42038 Borjabad;Total;2023;30
42039 Borobia;Total;2023;231
42041 Buberos;Total;2023;28
42042 Buitrago;Total;2023;75
42043 Burgo de Osma-Ciudad de Osma;Total;2023;5.166
42044 Cabrejas del Campo;Total;2023;51
42045 Cabrejas del Pinar;Total;2023;301
42046 Calatañazor;Total;2023;45
42048 Caltojar;Total;2023;52
42049 Candilichera;Total;2023;102
42050 Cañamaque;Total;2023;27
42051 Carabantes;Total;2023;20
42052 Caracena;Total;2023;15
42053 Carrascosa de Abajo;Total;2023;17
42054 Carrascosa de la Sierra;Total;2023;20
42055 Casarejos;Total;2023;146
42056 Castilfrío de la Sierra;Total;2023;38
42058 Castillejo de Robledo;Total;2023;101
42057 Castilruiz;Total;2023;156
42059 Centenera de Andaluz;Total;2023;24
42060 Cerbón;Total;2023;29
42061 Cidones;Total;2023;311
42062 Cigudosa;Total;2023;15
42063 Cihuela;Total;2023;40
42064 Ciria;Total;2023;71
42065 Cirujales del Río;Total;2023;20
42068 Coscurita;Total;2023;66
42069 Covaleda;Total;2023;1.582
42070 Cubilla;Total;2023;24
42071 Cubo de la Solana;Total;2023;170
42073 Cueva de Ágreda;Total;2023;71
42075 Dévanos;Total;2023;77
42076 Deza;Total;2023;181
42078 Duruelo de la Sierra;Total;2023;1.050
42079 Escobosa de Almazán;Total;2023;19
42080 Espeja de San Marcelino;Total;2023;147
42081 Espejón;Total;2023;136
42082 Estepa de San Juan;Total;2023;13
42083 Frechilla de Almazán;Total;2023;20
42084 Fresno de Caracena;Total;2023;22
42085 Fuentearmegil;Total;2023;153
42086 Fuentecambrón;Total;2023;32
42087 Fuentecantos;Total;2023;68
42088 Fuentelmonge;Total;2023;64
42089 Fuentelsaz de Soria;Total;2023;62
42090 Fuentepinilla;Total;2023;80
42092 Fuentes de Magaña;Total;2023;53
42093 Fuentestrún;Total;2023;47
42094 Garray;Total;2023;767
42095 Golmayo;Total;2023;3.014
42096 Gómara;Total;2023;299
42097 Gormaz;Total;2023;28
42098 Herrera de Soria;Total;2023;11
42100 Hinojosa del Campo;Total;2023;26
42103 Langa de Duero;Total;2023;699
42105 Liceras;Total;2023;49
42106 Losilla, La;Total;2023;13
42107 Magaña;Total;2023;67
42108 Maján;Total;2023;9
42110 Matalebreras;Total;2023;75
42111 Matamala de Almazán;Total;2023;260
42113 Medinaceli;Total;2023;679
42115 Miño de Medinaceli;Total;2023;87
42116 Miño de San Esteban;Total;2023;39
42117 Molinos de Duero;Total;2023;161
42118 Momblona;Total;2023;18
42119 Monteagudo de las Vicarías;Total;2023;173
42120 Montejo de Tiermes;Total;2023;148
42121 Montenegro de Cameros;Total;2023;52
42123 Morón de Almazán;Total;2023;198
42124 Muriel de la Fuente;Total;2023;55
42125 Muriel Viejo;Total;2023;75
42127 Nafría de Ucero;Total;2023;38
42128 Narros;Total;2023;68
42129 Navaleno;Total;2023;741
42130 Nepas;Total;2023;52
42131 Nolay;Total;2023;50
42132 Noviercas;Total;2023;165
42134 Ólvega;Total;2023;3.782
42135 Oncala;Total;2023;62
42139 Pinilla del Campo;Total;2023;18
42140 Portillo de Soria;Total;2023;13
42141 Póveda de Soria, La;Total;2023;107
42142 Pozalmuro;Total;2023;48
42144 Quintana Redonda;Total;2023;508
42145 Quintanas de Gormaz;Total;2023;130
42148 Quiñonería;Total;2023;9
42149 Rábanos, Los;Total;2023;447
42151 Rebollar;Total;2023;36
42152 Recuerda;Total;2023;63
42153 Rello;Total;2023;20
42154 Renieblas;Total;2023;113
42155 Retortillo de Soria;Total;2023;143
42156 Reznos;Total;2023;25
42157 Riba de Escalote, La;Total;2023;10
42158 Rioseco de Soria;Total;2023;130
42159 Rollamienta;Total;2023;45
42160 Royo, El;Total;2023;259
42161 Salduero;Total;2023;140
42162 San Esteban de Gormaz;Total;2023;2.950
42163 San Felices;Total;2023;60
42164 San Leonardo de Yagüe;Total;2023;1.986
42165 San Pedro Manrique;Total;2023;614
42166 Santa Cruz de Yanguas;Total;2023;57
42167 Santa María de Huerta;Total;2023;246
42168 Santa María de las Hoyas;Total;2023;102
42171 Serón de Nágima;Total;2023;116
42172 Soliedra;Total;2023;32
42173 Soria;Total;2023;40.096
42174 Sotillo del Rincón;Total;2023;185
42175 Suellacabras;Total;2023;31
42176 Tajahuerce;Total;2023;23
42177 Tajueco;Total;2023;56
42178 Talveila;Total;2023;102
42181 Tardelcuende;Total;2023;424
42182 Taroda;Total;2023;43
42183 Tejado;Total;2023;96
42184 Torlengua;Total;2023;48
42185 Torreblacos;Total;2023;26
42187 Torrubia de Soria;Total;2023;56
42188 Trévago;Total;2023;53
42189 Ucero;Total;2023;85
42190 Vadillo;Total;2023;82
42191 Valdeavellano de Tera;Total;2023;209
42192 Valdegeña;Total;2023;37
42193 Valdelagua del Cerro;Total;2023;13
42194 Valdemaluque;Total;2023;141
42195 Valdenebro;Total;2023;92
42196 Valdeprado;Total;2023;8
42197 Valderrodilla;Total;2023;63
42198 Valtajeros;Total;2023;19
42200 Velamazán;Total;2023;67
42201 Velilla de la Sierra;Total;2023;28
42202 Velilla de los Ajos;Total;2023;16
42204 Viana de Duero;Total;2023;50
42205 Villaciervos;Total;2023;77
42206 Villanueva de Gormaz;Total;2023;8
42207 Villar del Ala;Total;2023;52
42208 Villar del Campo;Total;2023;24
42209 Villar del Río;Total;2023;161
42211 Villares de Soria, Los;Total;2023;82
42212 Villasayas;Total;2023;65
42213 Villaseca de Arciel;Total;2023;23
42215 Vinuesa;Total;2023;853
42216 Vizmanos;Total;2023;31
42217 Vozmediano;Total;2023;36
42218 Yanguas;Total;2023;113
42219 Yelo;Total;2023;40
