Provincias;Municipios;Sexo;Periodo;Total
43 Tarragona;;Total;2023;847.566
43 Tarragona;43001 Aiguamúrcia;Total;2023;974
43 Tarragona;43002 Albinyana;Total;2023;2.666
43 Tarragona;43003 Albiol, L';Total;2023;535
43 Tarragona;43004 Alcanar;Total;2023;9.827
43 Tarragona;43005 Alcover;Total;2023;5.278
43 Tarragona;43904 Aldea, L';Total;2023;4.445
43 Tarragona;43006 Aldover;Total;2023;867
43 Tarragona;43007 Aleixar, L';Total;2023;940
43 Tarragona;43008 Alfara de Carles;Total;2023;361
43 Tarragona;43009 Alforja;Total;2023;1.965
43 Tarragona;43010 Alió;Total;2023;508
43 Tarragona;43011 Almoster;Total;2023;1.310
43 Tarragona;43012 Altafulla;Total;2023;5.693
43 Tarragona;43013 Ametlla de Mar, L';Total;2023;7.325
43 Tarragona;43906 Ampolla, L';Total;2023;3.603
43 Tarragona;43014 Amposta;Total;2023;22.270
43 Tarragona;43016 Arboç, L';Total;2023;5.713
43 Tarragona;43015 Arbolí;Total;2023;129
43 Tarragona;43017 Argentera, L';Total;2023;133
43 Tarragona;43018 Arnes;Total;2023;455
43 Tarragona;43019 Ascó;Total;2023;1.638
43 Tarragona;43020 Banyeres del Penedès;Total;2023;3.356
43 Tarragona;43021 Barberà de la Conca;Total;2023;486
43 Tarragona;43022 Batea;Total;2023;1.869
43 Tarragona;43023 Bellmunt del Priorat;Total;2023;284
43 Tarragona;43024 Bellvei;Total;2023;2.368
43 Tarragona;43025 Benifallet;Total;2023;733
43 Tarragona;43026 Benissanet;Total;2023;1.159
43 Tarragona;43027 Bisbal de Falset, La;Total;2023;207
43 Tarragona;43028 Bisbal del Penedès, La;Total;2023;4.148
43 Tarragona;43029 Blancafort;Total;2023;393
43 Tarragona;43030 Bonastre;Total;2023;745
43 Tarragona;43031 Borges del Camp, Les;Total;2023;2.194
43 Tarragona;43032 Bot;Total;2023;559
43 Tarragona;43033 Botarell;Total;2023;1.156
43 Tarragona;43034 Bràfim;Total;2023;693
