Municipios;Sexo;Periodo;Total
44 Teruel;Total;2023;135.237
44001 Ababuj;Total;2023;70
44002 Abejuela;Total;2023;55
44003 Aguatón;Total;2023;15
44004 Aguaviva;Total;2023;565
44005 Aguilar del Alfambra;Total;2023;83
44006 Alacón;Total;2023;212
44007 Alba;Total;2023;187
44008 Albalate del Arzobispo;Total;2023;1.955
44009 Albarracín;Total;2023;1.015
44010 Albentosa;Total;2023;302
44011 Alcaine;Total;2023;48
44012 Alcalá de la Selva;Total;2023;382
44013 Alcañiz;Total;2023;16.151
44014 Alcorisa;Total;2023;3.243
44016 Alfambra;Total;2023;482
44017 Aliaga;Total;2023;343
44021 Allepuz;Total;2023;121
44022 Alloza;Total;2023;540
44023 Allueva;Total;2023;27
44018 Almohaja;Total;2023;17
44019 Alobras;Total;2023;71
44020 Alpeñés;Total;2023;25
44024 Anadón;Total;2023;33
44025 Andorra;Total;2023;7.214
44026 Arcos de las Salinas;Total;2023;116
44027 Arens de Lledó;Total;2023;205
44028 Argente;Total;2023;193
44029 Ariño;Total;2023;649
44031 Azaila;Total;2023;98
44032 Bádenas;Total;2023;21
44033 Báguena;Total;2023;270
44034 Bañón;Total;2023;151
44035 Barrachina;Total;2023;120
44036 Bea;Total;2023;28
44037 Beceite;Total;2023;569
44039 Bello;Total;2023;217
44038 Belmonte de San José;Total;2023;127
44040 Berge;Total;2023;226
44041 Bezas;Total;2023;64
44042 Blancas;Total;2023;135
44043 Blesa;Total;2023;78
44044 Bordón;Total;2023;112
44045 Bronchales;Total;2023;454
44046 Bueña;Total;2023;54
44047 Burbáguena;Total;2023;376
44048 Cabra de Mora;Total;2023;71
44049 Calaceite;Total;2023;979
44050 Calamocha;Total;2023;4.505
44051 Calanda;Total;2023;3.759
44052 Calomarde;Total;2023;73
44053 Camañas;Total;2023;132
44054 Camarena de la Sierra;Total;2023;134
44055 Camarillas;Total;2023;119
44056 Caminreal;Total;2023;617
44059 Cantavieja;Total;2023;726
44060 Cañada de Benatanduz;Total;2023;34
44061 Cañada de Verich, La;Total;2023;88
44062 Cañada Vellida;Total;2023;40
44063 Cañizar del Olivar;Total;2023;103
44064 Cascante del Río;Total;2023;70
44065 Castejón de Tornos;Total;2023;68
44066 Castel de Cabra;Total;2023;89
44070 Castellar, El;Total;2023;55
44071 Castellote;Total;2023;678
44067 Castelnou;Total;2023;108
44068 Castelserás;Total;2023;795
44074 Cedrillas;Total;2023;653
44075 Celadas;Total;2023;345
44076 Cella;Total;2023;2.644
44077 Cerollera, La;Total;2023;75
44080 Codoñera, La;Total;2023;320
44082 Corbalán;Total;2023;113
44084 Cortes de Aragón;Total;2023;61
44085 Cosa;Total;2023;61
44086 Cretas;Total;2023;556
44087 Crivillén;Total;2023;90
44088 Cuba, La;Total;2023;49
44089 Cubla;Total;2023;71
44090 Cucalón;Total;2023;78
44092 Cuervo, El;Total;2023;98
44093 Cuevas de Almudén;Total;2023;119
44094 Cuevas Labradas;Total;2023;135
44096 Ejulve;Total;2023;176
44097 Escorihuela;Total;2023;141
44099 Escucha;Total;2023;766
44100 Estercuel;Total;2023;196
44101 Ferreruela de Huerva;Total;2023;71
44102 Fonfría;Total;2023;32
44103 Formiche Alto;Total;2023;159
44105 Fórnoles;Total;2023;84
44106 Fortanete;Total;2023;222
44107 Foz-Calanda;Total;2023;279
44108 Fresneda, La;Total;2023;463
44109 Frías de Albarracín;Total;2023;111
44110 Fuenferrada;Total;2023;37
44111 Fuentes Calientes;Total;2023;81
44112 Fuentes Claras;Total;2023;435
44113 Fuentes de Rubielos;Total;2023;169
44114 Fuentespalda;Total;2023;288
44115 Galve;Total;2023;144
44116 Gargallo;Total;2023;91
44117 Gea de Albarracín;Total;2023;452
44118 Ginebrosa, La;Total;2023;192
44119 Griegos;Total;2023;140
44120 Guadalaviar;Total;2023;242
44121 Gúdar;Total;2023;70
44122 Híjar;Total;2023;1.797
44123 Hinojosa de Jarque;Total;2023;104
44124 Hoz de la Vieja, La;Total;2023;87
44125 Huesa del Común;Total;2023;64
44126 Iglesuela del Cid, La;Total;2023;382
44127 Jabaloyas;Total;2023;74
44128 Jarque de la Val;Total;2023;64
44129 Jatiel;Total;2023;46
44130 Jorcas;Total;2023;43
44131 Josa;Total;2023;37
44132 Lagueruela;Total;2023;72
44133 Lanzuela;Total;2023;28
44135 Libros;Total;2023;101
44136 Lidón;Total;2023;51
44137 Linares de Mora;Total;2023;232
44141 Lledó;Total;2023;171
44138 Loscos;Total;2023;116
44142 Maicas;Total;2023;32
44143 Manzanera;Total;2023;540
44144 Martín del Río;Total;2023;370
44145 Mas de las Matas;Total;2023;1.237
44146 Mata de los Olmos, La;Total;2023;281
44147 Mazaleón;Total;2023;487
44148 Mezquita de Jarque;Total;2023;82
44149 Mirambel;Total;2023;105
44150 Miravete de la Sierra;Total;2023;28
44151 Molinos;Total;2023;225
44152 Monforte de Moyuela;Total;2023;83
44153 Monreal del Campo;Total;2023;2.486
44154 Monroyo;Total;2023;315
44155 Montalbán;Total;2023;1.180
44156 Monteagudo del Castillo;Total;2023;43
44157 Monterde de Albarracín;Total;2023;56
44158 Mora de Rubielos;Total;2023;1.568
44159 Moscardón;Total;2023;56
44160 Mosqueruela;Total;2023;538
44161 Muniesa;Total;2023;571
44163 Noguera de Albarracín;Total;2023;131
44164 Nogueras;Total;2023;32
44165 Nogueruelas;Total;2023;192
44167 Obón;Total;2023;35
44168 Odón;Total;2023;207
44169 Ojos Negros;Total;2023;330
44171 Olba;Total;2023;279
44172 Oliete;Total;2023;349
44173 Olmos, Los;Total;2023;119
44174 Orihuela del Tremedal;Total;2023;453
44175 Orrios;Total;2023;122
44176 Palomar de Arroyos;Total;2023;167
44177 Pancrudo;Total;2023;114
44178 Parras de Castellote, Las;Total;2023;61
44179 Peñarroya de Tastavins;Total;2023;443
44180 Peracense;Total;2023;75
44181 Peralejos;Total;2023;86
44182 Perales del Alfambra;Total;2023;264
44183 Pitarque;Total;2023;65
44184 Plou;Total;2023;49
44185 Pobo, El;Total;2023;102
44187 Portellada, La;Total;2023;242
44189 Pozondón;Total;2023;54
44190 Pozuel del Campo;Total;2023;66
44191 Puebla de Híjar, La;Total;2023;917
44192 Puebla de Valverde, La;Total;2023;470
44193 Puertomingalvo;Total;2023;137
44194 Ráfales;Total;2023;150
44195 Rillo;Total;2023;97
44196 Riodeva;Total;2023;132
44197 Ródenas;Total;2023;62
44198 Royuela;Total;2023;231
44199 Rubiales;Total;2023;42
44200 Rubielos de la Cérida;Total;2023;30
44201 Rubielos de Mora;Total;2023;627
44203 Salcedillo;Total;2023;10
44204 Saldón;Total;2023;21
44205 Samper de Calanda;Total;2023;725
44206 San Agustín;Total;2023;134
44207 San Martín del Río;Total;2023;135
44208 Santa Cruz de Nogueras;Total;2023;23
44209 Santa Eulalia;Total;2023;1.017
44210 Sarrión;Total;2023;1.197
44211 Segura de los Baños;Total;2023;42
44212 Seno;Total;2023;41
44213 Singra;Total;2023;80
44215 Terriente;Total;2023;206
44216 Teruel;Total;2023;36.267
44217 Toril y Masegoso;Total;2023;33
44218 Tormón;Total;2023;33
44219 Tornos;Total;2023;191
44220 Torralba de los Sisones;Total;2023;148
44223 Torre de Arcas;Total;2023;82
44224 Torre de las Arcas;Total;2023;24
44225 Torre del Compte;Total;2023;118
44227 Torre los Negros;Total;2023;76
44221 Torrecilla de Alcañiz;Total;2023;440
44222 Torrecilla del Rebollar;Total;2023;125
44226 Torrelacárcel;Total;2023;135
44228 Torremocha de Jiloca;Total;2023;110
44229 Torres de Albarracín;Total;2023;191
44230 Torrevelilla;Total;2023;169
44231 Torrijas;Total;2023;36
44232 Torrijo del Campo;Total;2023;502
44234 Tramacastiel;Total;2023;62
44235 Tramacastilla;Total;2023;109
44236 Tronchón;Total;2023;61
44237 Urrea de Gaén;Total;2023;447
44238 Utrillas;Total;2023;3.088
44239 Valacloche;Total;2023;26
44240 Valbona;Total;2023;192
44241 Valdealgorfa;Total;2023;589
44243 Valdecuenca;Total;2023;31
44244 Valdelinares;Total;2023;80
44245 Valdeltormo;Total;2023;313
44246 Valderrobres;Total;2023;2.517
44247 Valjunquera;Total;2023;331
44249 Vallecillo, El;Total;2023;37
44250 Veguillas de la Sierra;Total;2023;20
44251 Villafranca del Campo;Total;2023;302
44252 Villahermosa del Campo;Total;2023;93
44256 Villanueva del Rebollar de la Sierra;Total;2023;44
44257 Villar del Cobo;Total;2023;163
44258 Villar del Salz;Total;2023;59
44260 Villarluengo;Total;2023;181
44261 Villarquemado;Total;2023;865
44262 Villarroya de los Pinares;Total;2023;168
44263 Villastar;Total;2023;543
44264 Villel;Total;2023;326
44265 Vinaceite;Total;2023;200
44266 Visiedo;Total;2023;130
44267 Vivel del Río Martín;Total;2023;67
44268 Zoma, La;Total;2023;27
