Municipios;Sexo;Periodo;Total
45 Toledo;Total;2023;728.496
45001 Ajofrín;Total;2023;2.340
45002 Alameda de la Sagra;Total;2023;4.149
45003 Albarreal de Tajo;Total;2023;735
45004 Alcabón;Total;2023;762
45005 Alcañizo;Total;2023;283
45006 Alcaudete de la Jara;Total;2023;1.640
45007 Alcolea de Tajo;Total;2023;839
45008 Aldea en Cabo;Total;2023;204
45009 Aldeanueva de Barbarroya;Total;2023;452
45010 Aldeanueva de San Bartolomé;Total;2023;414
45011 Almendral de la Cañada;Total;2023;333
45012 Almonacid de Toledo;Total;2023;926
45013 Almorox;Total;2023;2.396
45014 Añover de Tajo;Total;2023;5.215
45015 Arcicóllar;Total;2023;1.075
45016 Argés;Total;2023;6.961
45017 Azután;Total;2023;292
45018 Barcience;Total;2023;1.039
45019 Bargas;Total;2023;10.978
45020 Belvís de la Jara;Total;2023;1.492
45021 Borox;Total;2023;4.114
45022 Buenaventura;Total;2023;377
45023 Burguillos de Toledo;Total;2023;3.647
45024 Burujón;Total;2023;1.300
45025 Cabañas de la Sagra;Total;2023;2.107
45026 Cabañas de Yepes;Total;2023;295
45027 Cabezamesada;Total;2023;356
45028 Calera y Chozas;Total;2023;4.754
45029 Caleruela;Total;2023;202
45030 Calzada de Oropesa;Total;2023;498
45031 Camarena;Total;2023;4.439
45032 Camarenilla;Total;2023;629
45033 Campillo de la Jara, El;Total;2023;330
45034 Camuñas;Total;2023;1.765
45035 Cardiel de los Montes;Total;2023;398
45036 Carmena;Total;2023;848
45037 Carpio de Tajo, El;Total;2023;1.862
45038 Carranque;Total;2023;5.274
45039 Carriches;Total;2023;270
45040 Casar de Escalona, El;Total;2023;2.011
45041 Casarrubios del Monte;Total;2023;6.671
45042 Casasbuenas;Total;2023;178
45043 Castillo de Bayuela;Total;2023;905
45045 Cazalegas;Total;2023;1.973
45046 Cebolla;Total;2023;3.191
45047 Cedillo del Condado;Total;2023;4.204
45048 Cerralbos, Los;Total;2023;421
45049 Cervera de los Montes;Total;2023;500
45056 Chozas de Canales;Total;2023;4.751
45057 Chueca;Total;2023;254
45050 Ciruelos;Total;2023;642
45051 Cobeja;Total;2023;2.556
45052 Cobisa;Total;2023;4.452
45053 Consuegra;Total;2023;9.805
45054 Corral de Almaguer;Total;2023;5.219
45055 Cuerva;Total;2023;1.264
45058 Domingo Pérez;Total;2023;387
45059 Dosbarrios;Total;2023;2.223
45060 Erustes;Total;2023;225
45061 Escalona;Total;2023;3.669
45062 Escalonilla;Total;2023;1.469
45063 Espinoso del Rey;Total;2023;422
45064 Esquivias;Total;2023;5.778
45065 Estrella, La;Total;2023;298
45066 Fuensalida;Total;2023;12.329
45067 Gálvez;Total;2023;3.002
45068 Garciotum;Total;2023;215
45069 Gerindote;Total;2023;2.617
45070 Guadamur;Total;2023;1.802
45071 Guardia, La;Total;2023;2.136
45072 Herencias, Las;Total;2023;794
45073 Herreruela de Oropesa;Total;2023;317
45074 Hinojosa de San Vicente;Total;2023;381
45075 Hontanar;Total;2023;145
45076 Hormigos;Total;2023;949
45077 Huecas;Total;2023;849
45078 Huerta de Valdecarábanos;Total;2023;1.760
45079 Iglesuela del Tiétar, La;Total;2023;444
45080 Illán de Vacas;Total;2023;3
45081 Illescas;Total;2023;31.327
45082 Lagartera;Total;2023;1.306
45083 Layos;Total;2023;873
45084 Lillo;Total;2023;2.518
45085 Lominchar;Total;2023;2.639
45086 Lucillos;Total;2023;597
45087 Madridejos;Total;2023;10.169
45088 Magán;Total;2023;4.038
45089 Malpica de Tajo;Total;2023;1.649
45090 Manzaneque;Total;2023;394
45091 Maqueda;Total;2023;496
45092 Marjaliza;Total;2023;256
45093 Marrupe;Total;2023;157
45094 Mascaraque;Total;2023;430
45095 Mata, La;Total;2023;881
45096 Mazarambroz;Total;2023;1.259
