Municipios;Sexo;Periodo;Total
46 Valencia/València;Total;2023;2.656.291
46001 Ademuz;Total;2023;1.004
46002 Ador;Total;2023;1.699
46004 Agullent;Total;2023;2.400
46042 Aielo de Malferit;Total;2023;4.601
46043 Aielo de Rugat;Total;2023;163
46005 Alaquàs;Total;2023;29.825
46006 Albaida;Total;2023;6.102
46007 Albal;Total;2023;17.024
46008 Albalat de la Ribera;Total;2023;3.411
46009 Albalat dels Sorells;Total;2023;4.158
46010 Albalat dels Tarongers;Total;2023;1.428
46011 Alberic;Total;2023;10.815
46012 Alborache;Total;2023;1.389
46013 Alboraia/Alboraya;Total;2023;25.792
46014 Albuixech;Total;2023;4.343
46016 Alcàntera de Xúquer;Total;2023;1.414
46015 Alcàsser;Total;2023;10.575
46018 Alcublas;Total;2023;635
46020 Alcúdia de Crespins, l';Total;2023;5.361
46019 Alcúdia, l';Total;2023;12.197
46021 Aldaia;Total;2023;33.376
46022 Alfafar;Total;2023;21.879
46024 Alfara de la Baronia;Total;2023;611
46025 Alfara del Patriarca;Total;2023;3.455
46026 Alfarp;Total;2023;1.618
46027 Alfarrasí;Total;2023;1.183
46023 Alfauir;Total;2023;477
46028 Algar de Palancia;Total;2023;527
46029 Algemesí;Total;2023;27.438
46030 Algímia d'Alfara;Total;2023;1.109
46031 Alginet;Total;2023;14.442
46032 Almàssera;Total;2023;7.504
46033 Almiserà;Total;2023;279
46034 Almoines;Total;2023;2.519
46035 Almussafes;Total;2023;8.996
46036 Alpuente;Total;2023;667
46037 Alqueria de la Comtessa, l';Total;2023;1.523
46017 Alzira;Total;2023;46.421
46038 Andilla;Total;2023;311
46039 Anna;Total;2023;2.593
46040 Antella;Total;2023;1.114
46041 Aras de los Olmos;Total;2023;381
46003 Atzeneta d'Albaida;Total;2023;1.161
46044 Ayora;Total;2023;5.223
46046 Barx;Total;2023;1.476
46045 Barxeta;Total;2023;1.595
46047 Bèlgida;Total;2023;632
46048 Bellreguard;Total;2023;4.811
46049 Bellús;Total;2023;306
46050 Benagéber;Total;2023;168
46051 Benaguasil;Total;2023;11.877
46052 Benavites;Total;2023;674
46053 Beneixida;Total;2023;655
46054 Benetússer;Total;2023;15.879
46055 Beniarjó;Total;2023;1.872
46056 Beniatjar;Total;2023;217
46057 Benicolet;Total;2023;599
46904 Benicull de Xúquer;Total;2023;1.134
46060 Benifaió;Total;2023;11.984
46059 Benifairó de la Valldigna;Total;2023;1.554
46058 Benifairó de les Valls;Total;2023;2.320
46061 Beniflá;Total;2023;484
46062 Benigànim;Total;2023;5.716
46063 Benimodo;Total;2023;2.279
46064 Benimuslem;Total;2023;665
46065 Beniparrell;Total;2023;2.074
46066 Benirredrà;Total;2023;1.571
46067 Benissanó;Total;2023;2.385
46068 Benissoda;Total;2023;460
46069 Benissuera;Total;2023;185
46070 Bétera;Total;2023;26.759
46071 Bicorp;Total;2023;549
46072 Bocairent;Total;2023;4.115
46073 Bolbaite;Total;2023;1.334
46074 Bonrepòs i Mirambell;Total;2023;3.907
46075 Bufali;Total;2023;156
46076 Bugarra;Total;2023;783
46077 Buñol;Total;2023;9.579
46078 Burjassot;Total;2023;39.702
46079 Calles;Total;2023;431
46080 Camporrobles;Total;2023;1.189
46081 Canals;Total;2023;13.162
46082 Canet d'En Berenguer;Total;2023;7.265
46083 Carcaixent;Total;2023;20.777
46084 Càrcer;Total;2023;1.826
46085 Carlet;Total;2023;16.141
46086 Carrícola;Total;2023;102
46087 Casas Altas;Total;2023;146
46088 Casas Bajas;Total;2023;173
46089 Casinos;Total;2023;3.091
46257 Castelló;Total;2023;6.891
46090 Castelló de Rugat;Total;2023;2.322
46091 Castellonet de la Conquesta;Total;2023;149
46092 Castielfabib;Total;2023;297
46093 Catadau;Total;2023;2.939
46094 Catarroja;Total;2023;29.316
46095 Caudete de las Fuentes;Total;2023;693
46096 Cerdà;Total;2023;360
46107 Chella;Total;2023;2.445
46106 Chelva;Total;2023;1.645
46108 Chera;Total;2023;483
46109 Cheste;Total;2023;8.962
46111 Chiva;Total;2023;16.750
46112 Chulilla;Total;2023;687
46097 Cofrentes;Total;2023;1.130
46098 Corbera;Total;2023;3.118
46099 Cortes de Pallás;Total;2023;753
46100 Cotes;Total;2023;314
46105 Cullera;Total;2023;23.753
46113 Daimús;Total;2023;3.348
46114 Domeño;Total;2023;684
46115 Dos Aguas;Total;2023;340
46116 Eliana, l';Total;2023;19.054
46117 Emperador;Total;2023;717
46118 Enguera;Total;2023;4.781
46119 Énova, l';Total;2023;914
46120 Estivella;Total;2023;1.598
46121 Estubeny;Total;2023;114
46122 Faura;Total;2023;3.619
46123 Favara;Total;2023;2.664
46126 Foios;Total;2023;7.641
46128 Font de la Figuera, la;Total;2023;2.031
46127 Font d'en Carròs, la;Total;2023;3.858
46124 Fontanars dels Alforins;Total;2023;951
46125 Fortaleny;Total;2023;1.004
46129 Fuenterrobles;Total;2023;688
46131 Gandia;Total;2023;78.108
46902 Gátova;Total;2023;410
46130 Gavarda;Total;2023;1.058
46132 Genovés, el;Total;2023;2.778
46133 Gestalgar;Total;2023;569
46134 Gilet;Total;2023;3.818
46135 Godella;Total;2023;13.414
46136 Godelleta;Total;2023;4.148
46137 Granja de la Costera, la;Total;2023;288
46138 Guadasséquies;Total;2023;480
46139 Guadassuar;Total;2023;5.961
46140 Guardamar de la Safor;Total;2023;605
46141 Higueruelas;Total;2023;522
46142 Jalance;Total;2023;810
46144 Jarafuel;Total;2023;765
46154 Llanera de Ranes;Total;2023;1.054
46155 Llaurí;Total;2023;1.208
46147 Llíria;Total;2023;24.518
46152 Llocnou de la Corona;Total;2023;124
46153 Llocnou de Sant Jeroni;Total;2023;567
46151 Llocnou d'En Fenollet;Total;2023;908
46156 Llombai;Total;2023;2.687
46157 Llosa de Ranes, la;Total;2023;3.681
46150 Llutxent;Total;2023;2.324
46148 Loriguilla;Total;2023;2.171
46149 Losa del Obispo;Total;2023;520
46158 Macastre;Total;2023;1.437
46159 Manises;Total;2023;31.573
46160 Manuel;Total;2023;2.500
46161 Marines;Total;2023;1.955
46162 Massalavés;Total;2023;1.739
46163 Massalfassar;Total;2023;2.609
46164 Massamagrell;Total;2023;16.766
46165 Massanassa;Total;2023;10.146
46166 Meliana;Total;2023;10.918
46167 Millares;Total;2023;330
46168 Miramar;Total;2023;2.978
