Municipios;Sexo;Periodo;Total
47 Valladolid;Total;2023;521.071
47001 Adalia;Total;2023;51
47002 Aguasal;Total;2023;19
47003 Aguilar de Campos;Total;2023;266
47004 Alaejos;Total;2023;1.380
47005 Alcazarén;Total;2023;645
47006 Aldea de San Miguel;Total;2023;215
47007 Aldeamayor de San Martín;Total;2023;6.035
47008 Almenara de Adaja;Total;2023;23
47009 Amusquillo;Total;2023;103
47010 Arroyo de la Encomienda;Total;2023;21.946
47011 Ataquines;Total;2023;554
47012 Bahabón;Total;2023;81
47013 Barcial de la Loma;Total;2023;99
47014 Barruelo del Valle;Total;2023;51
47015 Becilla de Valderaduey;Total;2023;211
47016 Benafarces;Total;2023;69
47017 Bercero;Total;2023;177
47018 Berceruelo;Total;2023;37
47019 Berrueces;Total;2023;98
47020 Bobadilla del Campo;Total;2023;282
47021 Bocigas;Total;2023;76
47022 Bocos de Duero;Total;2023;80
47023 Boecillo;Total;2023;4.297
47024 Bolaños de Campos;Total;2023;245
47025 Brahojos de Medina;Total;2023;102
47026 Bustillo de Chaves;Total;2023;72
47027 Cabezón de Pisuerga;Total;2023;3.823
47028 Cabezón de Valderaduey;Total;2023;36
47029 Cabreros del Monte;Total;2023;56
47030 Campaspero;Total;2023;1.035
47031 Campillo, El;Total;2023;202
47032 Camporredondo;Total;2023;153
47033 Canalejas de Peñafiel;Total;2023;233
47034 Canillas de Esgueva;Total;2023;70
47035 Carpio;Total;2023;945
47036 Casasola de Arión;Total;2023;221
47037 Castrejón de Trabancos;Total;2023;181
47038 Castrillo de Duero;Total;2023;130
47039 Castrillo-Tejeriego;Total;2023;157
47040 Castrobol;Total;2023;52
47041 Castrodeza;Total;2023;146
47042 Castromembibre;Total;2023;51
47043 Castromonte;Total;2023;331
47044 Castronuevo de Esgueva;Total;2023;387
47045 Castronuño;Total;2023;790
47046 Castroponce;Total;2023;133
47047 Castroverde de Cerrato;Total;2023;195
47048 Ceinos de Campos;Total;2023;183
47049 Cervillego de la Cruz;Total;2023;95
47050 Cigales;Total;2023;5.360
47051 Ciguñuela;Total;2023;356
47052 Cistérniga;Total;2023;9.182
47053 Cogeces de Íscar;Total;2023;143
47054 Cogeces del Monte;Total;2023;641
47055 Corcos;Total;2023;218
47056 Corrales de Duero;Total;2023;103
47057 Cubillas de Santa Marta;Total;2023;389
47058 Cuenca de Campos;Total;2023;198
47059 Curiel de Duero;Total;2023;121
47060 Encinas de Esgueva;Total;2023;213
47061 Esguevillas de Esgueva;Total;2023;266
47062 Fombellida;Total;2023;180
47063 Fompedraza;Total;2023;106
47064 Fontihoyuelo;Total;2023;36
47065 Fresno el Viejo;Total;2023;854
47066 Fuensaldaña;Total;2023;2.076
47067 Fuente el Sol;Total;2023;149
47068 Fuente-Olmedo;Total;2023;37
47069 Gallegos de Hornija;Total;2023;108
47070 Gatón de Campos;Total;2023;33
47071 Geria;Total;2023;486
47073 Herrín de Campos;Total;2023;113
47074 Hornillos de Eresma;Total;2023;190
47075 Íscar;Total;2023;6.326
47076 Laguna de Duero;Total;2023;22.672
47077 Langayo;Total;2023;253
47079 Llano de Olmedo;Total;2023;45
47078 Lomoviejo;Total;2023;165
47080 Manzanillo;Total;2023;53
47081 Marzales;Total;2023;45
47082 Matapozuelos;Total;2023;1.008
47083 Matilla de los Caños;Total;2023;103
47084 Mayorga;Total;2023;1.418
47086 Medina de Rioseco;Total;2023;4.483
47085 Medina del Campo;Total;2023;20.090
47087 Megeces;Total;2023;422
47088 Melgar de Abajo;Total;2023;113
47089 Melgar de Arriba;Total;2023;168
47090 Mojados;Total;2023;3.331
47091 Monasterio de Vega;Total;2023;81
47092 Montealegre de Campos;Total;2023;101
47093 Montemayor de Pililla;Total;2023;848
47094 Moral de la Reina;Total;2023;139
47095 Moraleja de las Panaderas;Total;2023;40
47096 Morales de Campos;Total;2023;131
47097 Mota del Marqués;Total;2023;330
47098 Mucientes;Total;2023;667
47099 Mudarra, La;Total;2023;163
47100 Muriel;Total;2023;116
47101 Nava del Rey;Total;2023;1.925
47102 Nueva Villa de las Torres;Total;2023;282
47103 Olivares de Duero;Total;2023;321
47104 Olmedo;Total;2023;3.563
47105 Olmos de Esgueva;Total;2023;193
47106 Olmos de Peñafiel;Total;2023;41
47109 Palazuelo de Vedija;Total;2023;160
47110 Parrilla, La;Total;2023;490
47111 Pedraja de Portillo, La;Total;2023;1.175
47112 Pedrajas de San Esteban;Total;2023;3.382
47113 Pedrosa del Rey;Total;2023;150
47114 Peñafiel;Total;2023;5.172
47115 Peñaflor de Hornija;Total;2023;337
47116 Pesquera de Duero;Total;2023;424
47117 Piña de Esgueva;Total;2023;313
47118 Piñel de Abajo;Total;2023;157
47119 Piñel de Arriba;Total;2023;89
47121 Pollos;Total;2023;590
47122 Portillo;Total;2023;2.371
47123 Pozal de Gallinas;Total;2023;530
47124 Pozaldez;Total;2023;494
