Municipios;Sexo;Periodo;Total
49 Zamora;Total;2023;166.366
49002 Abezames;Total;2023;64
49003 Alcañices;Total;2023;1.048
49004 Alcubilla de Nogales;Total;2023;107
49005 Alfaraz de Sayago;Total;2023;123
49006 Algodre;Total;2023;142
49007 Almaraz de Duero;Total;2023;393
49008 Almeida de Sayago;Total;2023;410
49009 Andavías;Total;2023;430
49010 Arcenillas;Total;2023;448
49011 Arcos de la Polvorosa;Total;2023;214
49012 Argañín;Total;2023;74
49013 Argujillo;Total;2023;214
49014 Arquillinos;Total;2023;116
49015 Arrabalde;Total;2023;213
49016 Aspariegos;Total;2023;228
49017 Asturianos;Total;2023;263
49018 Ayoó de Vidriales;Total;2023;278
49019 Barcial del Barco;Total;2023;243
49020 Belver de los Montes;Total;2023;253
49021 Benavente;Total;2023;17.261
49022 Benegiles;Total;2023;276
49023 Bermillo de Sayago;Total;2023;998
49024 Bóveda de Toro, La;Total;2023;664
49025 Bretó;Total;2023;178
49026 Bretocino;Total;2023;209
49027 Brime de Sog;Total;2023;121
49028 Brime de Urz;Total;2023;103
49029 Burganes de Valverde;Total;2023;617
49030 Bustillo del Oro;Total;2023;84
49031 Cabañas de Sayago;Total;2023;139
49032 Calzadilla de Tera;Total;2023;292
49033 Camarzana de Tera;Total;2023;736
49034 Cañizal;Total;2023;423
49035 Cañizo;Total;2023;204
49036 Carbajales de Alba;Total;2023;487
49037 Carbellino;Total;2023;185
49038 Casaseca de Campeán;Total;2023;97
49039 Casaseca de las Chanas;Total;2023;361
49040 Castrillo de la Guareña;Total;2023;121
49041 Castrogonzalo;Total;2023;431
49042 Castronuevo;Total;2023;206
49043 Castroverde de Campos;Total;2023;259
49044 Cazurra;Total;2023;71
49046 Cerecinos de Campos;Total;2023;244
49047 Cerecinos del Carrizal;Total;2023;108
49048 Cernadilla;Total;2023;113
49050 Cobreros;Total;2023;536
49052 Coomonte;Total;2023;175
49053 Coreses;Total;2023;1.036
49054 Corrales del Vino;Total;2023;928
49055 Cotanes del Monte;Total;2023;82
49056 Cubillos;Total;2023;303
49057 Cubo de Benavente;Total;2023;119
49058 Cubo de Tierra del Vino, El;Total;2023;315
49059 Cuelgamures;Total;2023;79
49061 Entrala;Total;2023;138
49062 Espadañedo;Total;2023;111
49063 Faramontanos de Tábara;Total;2023;334
49064 Fariza;Total;2023;494
49065 Fermoselle;Total;2023;1.142
49066 Ferreras de Abajo;Total;2023;464
49067 Ferreras de Arriba;Total;2023;356
49068 Ferreruela;Total;2023;431
49069 Figueruela de Arriba;Total;2023;326
49071 Fonfría;Total;2023;783
49075 Fresno de la Polvorosa;Total;2023;116
49076 Fresno de la Ribera;Total;2023;342
49077 Fresno de Sayago;Total;2023;151
49078 Friera de Valverde;Total;2023;130
49079 Fuente Encalada;Total;2023;93
49080 Fuentelapeña;Total;2023;639
49082 Fuentes de Ropel;Total;2023;380
49081 Fuentesaúco;Total;2023;1.588
49083 Fuentesecas;Total;2023;48
49084 Fuentespreadas;Total;2023;290
49085 Galende;Total;2023;996
49086 Gallegos del Pan;Total;2023;112
49087 Gallegos del Río;Total;2023;473
49088 Gamones;Total;2023;96
49090 Gema;Total;2023;195
49091 Granja de Moreruela;Total;2023;246
49092 Granucillo;Total;2023;112
49093 Guarrate;Total;2023;315
49094 Hermisende;Total;2023;233
49095 Hiniesta, La;Total;2023;306
49096 Jambrina;Total;2023;146
49097 Justel;Total;2023;81
49098 Losacino;Total;2023;195
49099 Losacio;Total;2023;96
49100 Lubián;Total;2023;306
49101 Luelmo;Total;2023;147
49102 Maderal, El;Total;2023;175
49103 Madridanos;Total;2023;456
49104 Mahide;Total;2023;320
49105 Maire de Castroponce;Total;2023;140
49107 Malva;Total;2023;108
49108 Manganeses de la Lampreana;Total;2023;450
49109 Manganeses de la Polvorosa;Total;2023;628
49110 Manzanal de Arriba;Total;2023;356
49112 Manzanal de los Infantes;Total;2023;136
49111 Manzanal del Barco;Total;2023;127
49113 Matilla de Arzón;Total;2023;158
49114 Matilla la Seca;Total;2023;35
49115 Mayalde;Total;2023;163
49116 Melgar de Tera;Total;2023;352
49117 Micereces de Tera;Total;2023;425
49118 Milles de la Polvorosa;Total;2023;198
49119 Molacillos;Total;2023;240
49120 Molezuelas de la Carballeda;Total;2023;47
49121 Mombuey;Total;2023;396
49122 Monfarracinos;Total;2023;980
49123 Montamarta;Total;2023;551
49124 Moral de Sayago;Total;2023;263
49126 Moraleja de Sayago;Total;2023;297
49125 Moraleja del Vino;Total;2023;1.775
49128 Morales de Rey;Total;2023;525
49129 Morales de Toro;Total;2023;917
49130 Morales de Valverde;Total;2023;155
49127 Morales del Vino;Total;2023;3.079
49131 Moralina;Total;2023;220
49132 Moreruela de los Infanzones;Total;2023;321
49133 Moreruela de Tábara;Total;2023;287
49134 Muelas de los Caballeros;Total;2023;202
49135 Muelas del Pan;Total;2023;590
49136 Muga de Sayago;Total;2023;322
49137 Navianos de Valverde;Total;2023;166
49138 Olmillos de Castro;Total;2023;197
49139 Otero de Bodas;Total;2023;160
49141 Pajares de la Lampreana;Total;2023;297
49143 Palacios de Sanabria;Total;2023;239
49142 Palacios del Pan;Total;2023;239
49145 Pedralba de la Pradería;Total;2023;204
49146 Pego, El;Total;2023;282
49147 Peleagonzalo;Total;2023;300
49148 Peleas de Abajo;Total;2023;269
49149 Peñausende;Total;2023;373
49150 Peque;Total;2023;124
49151 Perdigón, El;Total;2023;669
49152 Pereruela;Total;2023;506
49153 Perilla de Castro;Total;2023;159
49154 Pías;Total;2023;99
49155 Piedrahita de Castro;Total;2023;110
49156 Pinilla de Toro;Total;2023;196
49157 Pino del Oro;Total;2023;178
49158 Piñero, El;Total;2023;225
49160 Pobladura de Valderaduey;Total;2023;37
49159 Pobladura del Valle;Total;2023;277
49162 Porto;Total;2023;171
49163 Pozoantiguo;Total;2023;202
