Municipios;Sexo;Periodo;Total
50 Zaragoza;Total;2023;977.413
50001 Abanto;Total;2023;86
50002 Acered;Total;2023;139
50003 Agón;Total;2023;134
50004 Aguarón;Total;2023;580
50005 Aguilón;Total;2023;268
50006 Ainzón;Total;2023;1.055
50007 Aladrén;Total;2023;64
50008 Alagón;Total;2023;7.257
50009 Alarba;Total;2023;94
50010 Alberite de San Juan;Total;2023;82
50011 Albeta;Total;2023;141
50012 Alborge;Total;2023;105
50013 Alcalá de Ebro;Total;2023;240
50014 Alcalá de Moncayo;Total;2023;151
50015 Alconchel de Ariza;Total;2023;76
50016 Aldehuela de Liestos;Total;2023;51
50017 Alfajarín;Total;2023;2.439
50018 Alfamén;Total;2023;1.472
50019 Alforque;Total;2023;65
50020 Alhama de Aragón;Total;2023;925
50021 Almochuel;Total;2023;20
50022 Almolda, La;Total;2023;548
50023 Almonacid de la Cuba;Total;2023;227
50024 Almonacid de la Sierra;Total;2023;775
50025 Almunia de Doña Godina, La;Total;2023;7.914
50026 Alpartir;Total;2023;570
50027 Ambel;Total;2023;248
50028 Anento;Total;2023;111
50029 Aniñón;Total;2023;676
50030 Añón de Moncayo;Total;2023;214
50031 Aranda de Moncayo;Total;2023;129
50032 Arándiga;Total;2023;266
50033 Ardisa;Total;2023;76
50034 Ariza;Total;2023;1.059
50035 Artieda;Total;2023;80
50036 Asín;Total;2023;101
50037 Atea;Total;2023;137
50038 Ateca;Total;2023;1.697
50039 Azuara;Total;2023;527
50040 Badules;Total;2023;75
50041 Bagüés;Total;2023;18
50042 Balconchán;Total;2023;17
50043 Bárboles;Total;2023;289
50044 Bardallur;Total;2023;232
50045 Belchite;Total;2023;1.530
50046 Belmonte de Gracián;Total;2023;178
50047 Berdejo;Total;2023;37
50048 Berrueco;Total;2023;33
50901 Biel;Total;2023;167
50050 Bijuesca;Total;2023;95
50051 Biota;Total;2023;855
50052 Bisimbre;Total;2023;84
50053 Boquiñeni;Total;2023;780
50054 Bordalba;Total;2023;49
50055 Borja;Total;2023;5.076
50056 Botorrita;Total;2023;574
50057 Brea de Aragón;Total;2023;1.522
50058 Bubierca;Total;2023;59
50059 Bujaraloz;Total;2023;967
50060 Bulbuente;Total;2023;242
50061 Bureta;Total;2023;212
50062 Burgo de Ebro, El;Total;2023;2.660
50063 Buste, El;Total;2023;64
50064 Cabañas de Ebro;Total;2023;487
50065 Cabolafuente;Total;2023;46
50066 Cadrete;Total;2023;4.486
50067 Calatayud;Total;2023;19.677
50068 Calatorao;Total;2023;2.889
50069 Calcena;Total;2023;75
50070 Calmarza;Total;2023;58
50071 Campillo de Aragón;Total;2023;119
50072 Carenas;Total;2023;186
50073 Cariñena;Total;2023;3.397
50074 Caspe;Total;2023;10.336
50075 Castejón de Alarba;Total;2023;89
50076 Castejón de las Armas;Total;2023;86
50077 Castejón de Valdejasa;Total;2023;202
50078 Castiliscar;Total;2023;217
50079 Cervera de la Cañada;Total;2023;272
50080 Cerveruela;Total;2023;37
50081 Cetina;Total;2023;564
50092 Chiprana;Total;2023;531
50093 Chodes;Total;2023;94
50082 Cimballa;Total;2023;87
50083 Cinco Olivas;Total;2023;104
50084 Clarés de Ribota;Total;2023;74
50085 Codo;Total;2023;213
50086 Codos;Total;2023;228
50087 Contamina;Total;2023;38
50088 Cosuenda;Total;2023;335
50089 Cuarte de Huerva;Total;2023;14.701
50090 Cubel;Total;2023;148
50091 Cuerlas, Las;Total;2023;41
50094 Daroca;Total;2023;1.957
50095 Ejea de los Caballeros;Total;2023;17.135
50096 Embid de Ariza;Total;2023;31
50098 Encinacorba;Total;2023;183
50099 Épila;Total;2023;4.494
50100 Erla;Total;2023;363
50101 Escatrón;Total;2023;1.174
50102 Fabara;Total;2023;1.065
50104 Farlete;Total;2023;408
50105 Fayón;Total;2023;422
50106 Fayos, Los;Total;2023;128
50107 Figueruelas;Total;2023;1.250
50108 Fombuena;Total;2023;57
50109 Frago, El;Total;2023;126
50110 Frasno, El;Total;2023;363
50111 Fréscano;Total;2023;200
50113 Fuendejalón;Total;2023;756
50114 Fuendetodos;Total;2023;150
